統合開発環境|とうごうかいはつかんきょう|Integrated Development Environment
玄兎|げんと|moon
セイロン肉桂|セイロンにっけい|cinnamon tree (Cinnamomum zeylanicum)
セイロンニッケイ||cinnamon tree (Cinnamomum zeylanicum)
藪肉桂|やぶにっけい|Japanese cinnamon (Cinnamomum japonicum)
ヤブニッケイ||Japanese cinnamon (Cinnamomum japonicum)
カシア||cassia (Cinnamomum aromaticum)
匆々|そうそう|busy; hurried; rushed
匆々|そうそう|Yours Sincerely; Yours in haste
怱々|そうそう|busy; hurried; rushed
怱々|そうそう|Yours Sincerely; Yours in haste
匆匆|そうそう|busy; hurried; rushed
匆匆|そうそう|Yours Sincerely; Yours in haste
怱怱|そうそう|busy; hurried; rushed
怱怱|そうそう|Yours Sincerely; Yours in haste
承句|しょうく|development of a text
承句|しょうく|the second line in a four-line Chinese poem
転句|てんく|turning or twisting part of a text
お草々|おそうそう|neglectful (i.e. in the treatment of one's guests)
お草草|おそうそう|neglectful (i.e. in the treatment of one's guests)
御草々|おそうそう|neglectful (i.e. in the treatment of one's guests)
御草草|おそうそう|neglectful (i.e. in the treatment of one's guests)
お草々様|おそうそうさま|neglectful (i.e. in the treatment of one's guests)
お草草様|おそうそうさま|neglectful (i.e. in the treatment of one's guests)
御草々様|おそうそうさま|neglectful (i.e. in the treatment of one's guests)
御草草様|おそうそうさま|neglectful (i.e. in the treatment of one's guests)
草々不一|そうそうふいつ|Sincerely yours (with the nuance of "please excuse the brevity of this letter")
草草不一|そうそうふいつ|Sincerely yours (with the nuance of "please excuse the brevity of this letter")
規制機関|きせいきかん|regulatory body
脳頭蓋|のうとうがい|cranium
突沸|とっぷつ|explosive boil (after a liquid has been heated to its boiling point); bumping
カナダ人|カナダじん|Canadian (person)
惻々|そくそく|keenly; heartily; heartrendingly
惻惻|そくそく|keenly; heartily; heartrendingly
スタンディングオベーション||standing ovation
満場総立ち|まんじょうそうだち|standing ovation
陰茎折症|いんけいせっしょう|penile fracture
売りに出す|うりにだす|to offer for sale; to put on the market
之繞を掛ける|しんにゅうをかける|to exaggerate
英語字幕|えいごじまく|English subtitles
起座呼吸|きざこきゅう|orthopnoea; orthopnea
起坐呼吸|きざこきゅう|orthopnoea; orthopnea
お座敷|おざしき|tatami room
お座敷|おざしき|dinner party in a tatami room with a geisha or maiko
御座敷|おざしき|tatami room
御座敷|おざしき|dinner party in a tatami room with a geisha or maiko
お座敷がかかる|おざしきがかかる|to be invited (often to perform for an audience); to be called
御座敷がかかる|おざしきがかかる|to be invited (often to perform for an audience); to be called
お座敷が掛かる|おざしきがかかる|to be invited (often to perform for an audience); to be called
御座敷が掛かる|おざしきがかかる|to be invited (often to perform for an audience); to be called
ペイロニー病|ペイロニーびょう|Peyronie's disease
ペロニー病|ペロニーびょう|Peyronie's disease
ペーロニー病|ペーロニーびょう|Peyronie's disease
文書印紙税|ぶんしょいんしぜい|document duty stamp
ＰＢＸ|ピービーエックス|Private Branch eXchange; PBX
ＥＥＰＲＯＭ|イーイープロム|electrically erasable programmable read-only memory; EEPROM; E2PROM
ＯＥＭ|オーイーエム|original equipment manufacturer; OEM
ＤＭＡ|ディーエムエー|direct memory access; DMA
ＩＳＤＮ|アイエスディーエン|integrated services digital network; ISDN
ＩＯ|アイオー|input-output
ＤＢＭＳ|ディービーエムエス|database management system; DBMS
ならともかく||it's different when ... but; it's not so bad when ... but
液封|えきふう|liquid seal; liquid ring
と思われる|とおもわれる|be considered; be deemed; thought to be
診療費|しんりょうひ|medical consultation fee
ハイパースペース||hyperspace
アレルギーテスト||allergy testing
アレルギー・テスト||allergy testing
アレルギー症状|アレルギーしょうじょう|allergy symptoms
アレルギー性|アレルギーせい|allergenic; allergic
アレルギー性炎症|アレルギーせいえんしょう|allergic inflammation
アレルゲン皮膚反応|アレルゲンひふはんのう|allergen skin test
アレロタクシス||allelotaxis; allelotaxy
アロカシア||alocasia
アワード||award
アウォード||award
アンアイデンティファイド||unidentified
アングリー||angry
アングルドーザー||angle dozer
アングルブロック||angle block; angle iron
アングル・ブロック||angle block; angle iron
アンシアル||uncial; uncial letter
アンセム||anthem
アンソロ||anthology
アンタゴニスト||antagonist
アンタレス||Antares (star in the constellation Scorpio); Alpha Scorpii
アンダーカット||undercut
アンダカット||undercut
アンダーカバー||undercover
アンダートーン||undertone
アンダーバスト||under bust (measurement, corsette, etc.)
アンダー・バスト||under bust (measurement, corsette, etc.)
アンチエイリアス||anti-aliasing
アントシアニン||anthocyanin
アンノウン||unknown
アンノーン||unknown
アンビリーバボー||unbelievable
アンプレッショニスム||Impressionism
アンプレショニスム||Impressionism
アンブレイカブル||unbreakable
アンブレラ||umbrella
アンポピュラー||unpopular
アヴィーナサティヴァ||avena sativa
イーメールカード||e-mail card
イーメール・カード||e-mail card
イールド||yield
イールドカーブ||yield curve
イールド・カーブ||yield curve
イエスかノーか||yes or no; yes-no; all or nothing
イクサイトメント||excitement
イナゴマメ||carob; locust bean
イベントスケジューリング||event-scheduling
イメージカード||image card
イメージ・カード||image card
イメージトレーニング||training method in sports, etc. where one imagines how a scenario would play out; mental rehearsal; mental preparation; visualization (for practicing a skill in one's mind)(practising); practicing under simulated conditions (e.g. while watching a video); mental dry run
イメージ・トレーニング||training method in sports, etc. where one imagines how a scenario would play out; mental rehearsal; mental preparation; visualization (for practicing a skill in one's mind)(practising); practicing under simulated conditions (e.g. while watching a video); mental dry run
イメージファイル||image file
イメージ・ファイル||image file
イメージプリンタ||image printer
イメージ・プリンタ||image printer
イライラさせる||to get beneath someone's skin; to in someone's hair; to irritate
大変身|だいへんしん|makeover; major change
知り渡る|しりわたる|to be well known
生活を送る|せいかつをおくる|to lead (a) life (usu. preceded by the type of life)
ペン回し|ペンまわし|pen spinning; spinning a pen around between the fingers
サステイナブルディベロップメント||sustainable development
サステイナブル・ディベロップメント||sustainable development
サステナブル||sustainable
サステイナブル||sustainable
サスティナブル||sustainable
サステーナブル||sustainable
サステイナビリティ||sustainability
サステナビリティ||sustainability
一極|いっきょく|monopole; singular pole; unipole
イラステシティ||elasticity
イレクト||elect
イレクト||erect
インクジェット||ink jet
インク・ジェット||ink jet
結腸吸収|けっちょうきゅうしゅう|colon absorption
改行コード|かいぎょうコード|newline character (either or both of CR and LF depending on system)
故障中|こしょうちゅう|out-of-order
回し蹴り|まわしげり|roundhouse kick; turning kick
穴マンコ|けつマンコ|anus
穴まんこ|けつまんこ|anus
ケツマンコ||anus
巻き爪|まきづめ|ingrown toenail
誘電泳動|ゆうでんえいどう|dielectrophoresis
インシデンス||incidence
インシネレタ||incinerator
インシネレター||incinerator
ごみ焼き炉|ごみやきろ|incinerator; refuse furnace
インシュレータ||insulator
インジニアス||ingenious
インジーニャス||ingenious
インジャンクション||injunction
インスタレーション||installation
インスタントカメラ||instant camera
インスタント・カメラ||instant camera
インスティチュート||institute
インストアマーチャンダイジング||in-store merchandising
イン・ストア・マーチャンダイジング||in-store merchandising
インストルメント||instrument
インストゥルメント||instrument
インスパイアー||to inspire
インスパイアー||inspiration
インスパイア||to inspire
インスパイア||inspiration
インターナル||internal
応答長|おうとうちょう|impulse response length
剤形|ざいけい|dosage form
剤型|ざいけい|dosage form
坐剤|ざざい|suppository
座剤|ざざい|suppository
浸剤|しんざい|infusion (medicinal)
リニメント||liniment
ソープレスソープ||soapless soap (i.e. synthetic detergent)
ソープレス・ソープ||soapless soap (i.e. synthetic detergent)
比誘電率|ひゆうでんりつ|dielectric constant; relative permittivity; specific inductive capacity
相反則不軌|そうはんそくふき|reciprocity failure
プリン頭|プリンあたま|black hair that has been dyed blond after the roots begin to grow in at the top giving an appearance much like custard pudding; pudding head
果たて|はたて|end; limit; extremity
極|はたて|end; limit; extremity
尽|はたて|end; limit; extremity
果|はたて|end; limit; extremity
尽く|ずく|relying entirely on ...; using solely ...
尽く|ずく|with the sole purpose of ...
尽く|ずく|based on (mutual consent, etc.)
尽く|づく|relying entirely on ...; using solely ...
尽く|づく|with the sole purpose of ...
尽く|づく|based on (mutual consent, etc.)
尽|ずく|relying entirely on ...; using solely ...
尽|ずく|with the sole purpose of ...
尽|ずく|based on (mutual consent, etc.)
尽|づく|relying entirely on ...; using solely ...
尽|づく|with the sole purpose of ...
尽|づく|based on (mutual consent, etc.)
ずく無し|ずくなし|bum; slacker; good-for-nothing; loser
尽無し|ずくなし|bum; slacker; good-for-nothing; loser
ずくが無い|ずくがない|unmotivated; unenthusiastic
ずく||putting oneself into something; exerting oneself
ＴＥＵ|ティーイーユー|twenty foot equivalent unit (container); TEU
ケラレ||vignetting (darkening of the perimeter of a photographic image)
けられ||vignetting (darkening of the perimeter of a photographic image)
潤びる|ほとびる|to be rehydrated; to be reconstituted; to swell from absorbed moisture
同じゅうする|おなじゅうする|to be the same; to coincide; to correspond
琴瑟|きんしつ|qin and se (two different kinds of Chinese zither)
琴瑟|きんしつ|happy marriage
相和する|あいわする|to get along well together; to be in tune with one another; to harmonize with each other; to go well together
垂んとする|なんなんとする|to close in on (30 years of age, etc.); to approach; to get close to
垂んとす|なりなんとす|to close in on (30 years of age, etc.); to approach; to get close to
垂んとす|なんなんとす|to close in on (30 years of age, etc.); to approach; to get close to
曝気|ばっき|aeration
ばっ気|ばっき|aeration
オーダシティ||audacity
オーダスィティ||audacity
オーダセティ||audacity
符号付き|ふごうつき|signed
符号付|ふごうつき|signed
上級准尉|じょうきゅうじゅんい|chief warrant officer
更生保護|こうせいほご|rehabilitation; social readjustment; aftercare; parole
カムイ||god; deity; divinity; spirit; kami
鶏足|けいそく|chicken leg
急流下り|きゅうりゅうくだり|river rafting
野糞|のぐそ|defecating outdoors; faeces lying on the ground (feces)
ギャーザー||gather (e.g. in cloth)
国際刑事裁判所|こくさいけいじさいばんしょ|International Criminal Court; ICC
民兵組織|みんぺいそしき|militia; paramilitary group
国連安保理事会|こくれんあんぽりじかい|United Nations Security Council
エンドロール||credits roll (at the end of a show or movie); end credit roll
鮒侍|ふなざむらい|cowardly, good-for-nothing samurai from the countryside
雪だるま式|ゆきだるましき|snowballing (phenomenon, effect)
雪達磨式|ゆきだるましき|snowballing (phenomenon, effect)
突然目|とつぜんめ|somewhat sudden
外発的|がいはつてき|extrinsic (psychology)
内発的|ないはつてき|intristic (psychology); spontaneous; arising from within; voluntary
ポルフィリン症|ポルフィリンしょう|porphyria
感応精神病|かんのうせいしんびょう|folie a deux
集団ヒステリー|しゅうだんヒステリー|mass hysteria
更科蕎麦|さらしなそば|high quality soba
塩水黽|しおあめんぼ|Asclepios shiranui (species of pond skater)
シオアメンボ||Asclepios shiranui (species of pond skater)
粒状斑|りゅうじょうはん|granule
前胸背板|ぜんきょうはいばん|pronotum
腿節|たいせつ|femur (in entomology)
跳ね起き|はねおき|kip-up (acrobatics)
前転跳び|ぜんてんとび|forward handspring (gymnastics)
後転跳び|こうてんとび|back handspring (gymnastics)
ハーフインターチェンジ||half interchange (an interchange that lacks an exit or an entrance in either or both directions)
ハーフ・インターチェンジ||half interchange (an interchange that lacks an exit or an entrance in either or both directions)
フルインターチェンジ||full interchange (an interchange that has exits and entrances in both directions)
フル・インターチェンジ||full interchange (an interchange that has exits and entrances in both directions)
抉り出す|えぐりだす|to gouge; to scoop out
耐屈曲|たいくっきょく|flexibility; bend-tolerance
体系学|たいけいがく|systematics
一家を成す|いっかをなす|to establish a school of; to make a home of one's own
非を諭す|ひをさとす|to rebuke someone (e.g. for faults)
非を悟る|ひをさとる|to realize one's error; to realize one's errors
厳責|げんせき|strong reprimand; rebuke
空港税|くうこうぜい|airport-imposed taxes; airport tax
北極線|ほっきょくせん|Arctic Circle (latitude)
南極線|なんきょくせん|Antarctic Circle (latitude)
クリスプブレッド||crisp bread
クリスプ・ブレッド||crisp bread
トランスジェニック生物|トランスジェニックせいぶつ|transgenic organism
トランスジェンダー||transgender; transgendered individual
トランス・ジェンダー||transgender; transgendered individual
奇利|きり|unexpected benefit; sudden profit
電力供給会社|でんりょくきょうきゅうかいしゃ|power supply company; power distribution company
発電会社|はつでんかいしゃ|power generation company
伝達会社|でんたつかいしゃ|(power, electricity) transmission company
プラスオン||extras; addition; supplement
プラス・オン||extras; addition; supplement
大猟獣|だいりょうじゅう|big game
相対す|あいたいす|to face each other; to be opposite one another
相対す|あいたいす|to be in opposition; to conflict
相対勘定|あいたいかんじょう|contra account
相対する|あいたいする|to face each other; to be opposite one another
相対する|あいたいする|to be in opposition; to conflict
握り返す|にぎりかえす|to grasp back; to squeeze back; to grab back
総排出腔|そうはいしゅつこう|cloaca
総排出腔|そうはいしゅつくう|cloaca
狩猟動物|しゅりょうどうぶつ|game animal
猟獣|りょうじゅう|game animal
オーディオブック||audio book (book read onto CD or tape)
オーディオ・ブック||audio book (book read onto CD or tape)
理論値|りろんち|theoretical value
理論づける|りろんづける|to theorize
理論付ける|りろんづける|to theorize
ろ紙クロマトグラフィー|ろしクロマトグラフィー|paper chromatography
濾紙クロマトグラフィー|ろしクロマトグラフィー|paper chromatography
老化防止剤|ろうかぼうしざい|age resister; antioxidant
ろ紙電気泳動|ろしでんきえいどう|paper electrophoresis
濾紙電気泳動|ろしでんきえいどう|paper electrophoresis
ろ紙ディスク|ろしディスク|filter paper disk
濾紙ディスク|ろしディスク|filter paper disk
ロスマリン油|ロスマリンゆ|rosemary oil
アブサン油|アブサンゆ|absinthe oil; wormwood oil
ロイコマイシン||leucomycin
ローザニリン||rosanilin; rosaniline
レラキシン||relaxin
レブリン||levulin
レソルシノール||resorcinol
レセプター||receptor
燐蛋白質|りんたんぱくしつ|phosphoprotein
リンタンパク質|リンタンパクしつ|phosphoprotein
ホスファターゼ||phosphatase
フォスファターゼ||phosphatase
提案依頼書|ていあんいらいしょ|request for proposals; RFP; invitation for bids
提案要請書|ていあんようせいしょ|request for proposals; RFP; invitation for bids
入札依頼書|にゅうさついらいしょ|request for proposals; RFP; invitation for bids, tenders
生変|しょうへん|rebirth
モグラ叩き|モグラたたき|whack-a-mole (game)
本権|ほんけん|property right to an estate; title
特技兵|とくぎへい|specialist (US Army enlisted rank)
承認証|しょうにんしょう|seal of approval
承認証明書|しょうにんしょうめいしょ|certificate of approval
承認印|しょうにんいん|seal of approval
姫電|ひめでん|highly decorated cell phone
デコ電|デコでん|decorated cell phone
名入れ|ないれ|putting a name (self, company, etc.) on something (e.g. engraving, printing, etc.)
空中ブランコ曲芸師|くうちゅうブランコきょくげいし|trapeze artist; aerial artist
閑|かん|spare time; free time; leisure
比抵抗|ひていこう|resistivity; specific resistance
比抵抗計|ひていこうけい|resistivity meter
仲良しこよし|なかよしこよし|intimate friend; close friend; bosom buddy; chum
仲好し小好し|なかよしこよし|intimate friend; close friend; bosom buddy; chum
落札者|らくさつしゃ|tender winner; successful bidder; contract awardee
拒否処分|きょひしょぶん|(judicial) denial
仮の差止|かりのさしとめ|temporary injunction; preliminary injunction
仮の差し止め|かりのさしとめ|temporary injunction; preliminary injunction
圧注|あっちゅう|douche
試合場|しあいじょう|ring; playing field; stadium
膣圧|ちつあつ|vaginal tightness; vaginal pressure
設計明細書|せっけいめいさいしょ|project specifications; specs
入札設計図書|にゅうさつせっけいずしょ|design specifications (for public tender); drawings and specifications
実施形態|じっしけいたい|embodiment
発泡ワイン|はっぽうワイン|sparkling wine; spumante; mousseux
拘束衣|こうそくい|straitjacket
胸躍る|むねおどる|heart-pounding; exciting; thrilling; heartrending
胸躍る|むねおどる|to have one's heart pound; to be thrilled
胸おどる|むねおどる|heart-pounding; exciting; thrilling; heartrending
胸おどる|むねおどる|to have one's heart pound; to be thrilled
領海侵犯|りょうかいしんぱん|intrusion into territorial waters; violation of territorial waters
領土侵犯|りょうどしんぱん|violation of territorial sovereignty; intrusion into territory
インサイト||insight
インシュージアスト||enthusiast
インスージアスト||enthusiast
インターコム||intercom; intercommunication system
インター・コム||intercom; intercommunication system
インターネットサービス||Internet service; Internet-based service
インターネット・サービス||Internet service; Internet-based service
インターネットショッピング||Internet shopping
インターネット・ショッピング||Internet shopping
インターネットビジネス||Internet business
インターネット・ビジネス||Internet business
インターネットマーケティング||Internet marketing
インターネット・マーケティング||Internet marketing
インターバンクローン||inter-bank loan
インターバンク・ローン||inter-bank loan
インターブロックギャップ||interblock gap; IBG
インターブロック・ギャップ||interblock gap; IBG
インターミッション||intermission
インタリオ||intaglio
インダクタ||inductor
インダクター||inductor
インダクタンス||inductance
インテグレーテッドマーケティング||integrated marketing
インテリジェントステーション||intelligent station
インテリジェント・ステーション||intelligent station
インディー||indie
インデクシング||indexing
インデックスアドレッシング||index addressing
インデックス・アドレッシング||index addressing
予後診断医|よごしんだんい|prognostician
アラム||alum
アラム||Aram
アラルガンド||allargando
袋棚|ふくろだな|tea ceremony stand with an enclosed shelf (invented by Takeno Jouou)
袋棚|ふくろだな|small cupboard or closed shelf on the side of a tokonoma
診断医|しんだんい|diagnostician
席替え|せきがえ|moving to new seats; moving to new desks
席がえ|せきがえ|moving to new seats; moving to new desks
二級酒|にきゅうしゅ|second-grade alcohol
関ヶ原の戦い|せきがはらのたたかい|Battle of Sekigahara (1600)
関ケ原の戦い|せきがはらのたたかい|Battle of Sekigahara (1600)
関ヶ原の戦|せきがはらのたたかい|Battle of Sekigahara (1600)
大域変数|たいいきへんすう|global variable
雑性花|ざっせいか|polygamous flower
アロステリズム||allosterism
アロステリック||allosteric
アロタイプ||allotype
アンギナ||angina
アンギュラー||angular
アングロカトリック||Anglo-Catholic
アングロ・カトリック||Anglo-Catholic
アンザス||Australia, New Zealand and the United States; ANZUS
アンザック||ANZAC; Anzac; Australian and New Zealand Army Corps (WWI)
アンザック||Anzac biscuit (type of oatmeal biscuit)
アンザックデー||Anzac Day
アンザック・デー||Anzac Day
アンザックビスケット||Anzac biscuit (type of oatmeal biscuit)
アンザック・ビスケット||Anzac biscuit (type of oatmeal biscuit)
アンチアメリカ||anti-American
アンフィプロステュロス||amphiprostyle
アンマネージド||unmanaged
ワンパス||one-pass (e.g. compiler)
ワンプライスショップ||one-price store
ワンプーアオバト||wompoo pigeon (Ptilinopus magnificus)
似非インテリ|えせインテリ|pseudointellectual
ごた混ぜ|ごたまぜ|jumble; hodgepodge
ごちゃ混ぜ|ごちゃまぜ|mess; jumble; muddle; chaos
適さない|てきさない|unsuited; unfit; ill-fitted
打刀|うちがたな|katana; var. of Japanese long sword
許状|きょじょう|licence; license; certificate; permit
許状|きょじょう|(letter of) pardon
茶花|ちゃばな|seasonal flowers arranged for a tea ceremony; flowers in a tea room
達率|たつりつ|coefficient; rate
個包装|こほうそう|individual packaging; individual wrapping
赦免状|しゃめんじょう|letter of pardon; pardon
増さる|まさる|to increase; to grow
真猿|まさる|monkey (esp. the Japanese macaque, Macaca fuscata)
原猿類|げんえんるい|prosimian
真猿類|しんえんるい|simian; anthropoid
流行性結膜炎|りゅうこうせいけつまくえん|pink eye; epidemic keratoconjunctivitis
流行性角結膜炎|りゅうこうせいかくけつまくえん|pink eye; epidemic keratoconjunctivitis
軟毛|なんもう|vellus hair; down
軟毛|なんもう|pubescence
軟毛|なんもう|peach fuzz
灰匙|はいさじ|ash scoop (tea ceremony)
後炭|ごずみ|second adding of charcoal to the fire (in tea ceremony)
後炭|のちすみ|second adding of charcoal to the fire (in tea ceremony)
後の炭|のちのすみ|second adding of charcoal to the fire (tea ceremony)
正炭|しょうすみ|first adding of charcoal to the fire (tea ceremony)
Ｐタイル|ピータイル|vinyl floor tile (typically 30 cm square)
出て来る|でてくる|to come out; to appear; to turn up; to emerge
出てくる|でてくる|to come out; to appear; to turn up; to emerge
小鬼|こおに|imp; elf; pixie; goblin; devilkin
朱で描く|あかでえがく|to miniate; to paint red
台子|だいす|large utensil stand (tea ceremony)
天目|てんもく|tenmoku; ceramics (esp. tea bowls) with a dark glaze that resembles oil spotting
天目|てんもく|tenmoku tea-bowl; dark-glazed conical tea-bowl of Chinese origin
天目台|てんもくだい|stand for tea bowls (tea ceremony)
蓋置き|ふたおき|rest for the lid of a teakettle (tea ceremony)
仕服|しふく|silk pouch with drawstring for holding a tea caddy (tea ceremony)
仕覆|しふく|silk pouch with drawstring for holding a tea caddy (tea ceremony)
一次回路|いちじかいろ|primary circuit
一次回|いちじかい|first time; initial
年が越せる|としがこせる|to able to enter the New Year (i.e. have work finished, debts paid, etc.)
提携先|ていけいさき|business partner
先買権|せんばいけん|right of first refusal; (right of) preemption; purchase option
無防備都市宣言|むぼうびとしせんげん|open city declaration
無防備都市|むぼうびとし|open city; defenseless city
相互運用|そうごうんよう|interoperation
腹ごなし|はらごなし|exercise to help digestion
腹熟し|はらごなし|exercise to help digestion
時数|じすう|number of hours
工数管理|こうすうかんり|man-hour management; manpower management
昼間時数|ちゅうかんじすう|daytime hours
夕張メロン|ゆうばりメロン|Yūbari melon (sweet orange melon grown in Yūbari City, Hokkaido)
ぐい呑|ぐいのみ|large sake cup
ぐい呑|ぐいのみ|gulping down a drink; taking a swig at something
ぐい呑み|ぐいのみ|large sake cup
ぐい呑み|ぐいのみ|gulping down a drink; taking a swig at something
ぐい飲み|ぐいのみ|large sake cup
ぐい飲み|ぐいのみ|gulping down a drink; taking a swig at something
階段昇降機|かいだんしょうこうき|stairlift; (home) chair lift
七三分け|しちさんわけ|side parting; hair parted to one side
連節バス|れんせつバス|articulated bus; bendy bus
鯨汁|くじらじる|whale soup
ホイップアーウイル夜鷹|ホイップアーウイルよたか|whip-poor-will (Caprimulgus vociferus); whippoorwill
ホイッパーウィル夜鷹|ホイッパーウィルよたか|whip-poor-will (Caprimulgus vociferus); whippoorwill
ホイップアーウイルヨタカ||whip-poor-will (Caprimulgus vociferus); whippoorwill
ホイッパーウィルヨタカ||whip-poor-will (Caprimulgus vociferus); whippoorwill
シフォンケーキ||chiffon (cake); sponge (cake)
シフォン・ケーキ||chiffon (cake); sponge (cake)
顆粒性|かりゅうせい|granular
英国海軍|えいこくかいぐん|Royal Navy (UK)
九浅一深|きゅうせんいっしん|nine shallow, one deep (ancient Chinese sexual technique)
金時豆|きんときまめ|red kidney bean
社大|しゃだい|Socialist Masses Party
沖縄社会大衆党|おきなわしゃかいたいしゅうとう|Okinawa Socialist Masses Party
社会大衆党|しゃかいたいしゅうとう|Socialist Masses Party (pre-war political party; established in 1932, eliminated by the government in 1940)
朝ドラ|あさドラ|morning soap opera; morning television serial
弥立つ|よだつ|to stand up straight; to stand on end (e.g. of hair); to have the creeps
弥立つ|いよだつ|to stand up straight; to stand on end (e.g. of hair); to have the creeps
身の毛の弥立つ|みのけのよだつ|to have one's hair stand on end; hair raising
身の毛のよだつ|みのけのよだつ|to have one's hair stand on end; hair raising
使用期限|しようきげん|expiry date; use-by date; date of expiry
歴史時代|れきしじだい|historical times; historical period
理解を示す|りかいをしめす|to show understanding; to appreciate; to be positive about
歩行者用信号|ほこうしゃようしんごう|(pedestrian) crosswalk signal
鼻が詰まる|はながつまる|to have a stuffed nose; to have a stuffy nose
フェライト||ferrite
地鉄|じてつ|ferrite
絹雲母|きぬうんも|sericite
白雲母|しろうんも|muscovite; white mica; talc
白雲母|はくうんも|muscovite; white mica; talc
没ネーム|ぼつネーム|manga that has been rejected by an editor
ボツネーム||manga that has been rejected by an editor
大角鹿|おおつのじか|giant fallow deer (extinct)
栗ぜんざい|くりぜんざい|sweet made with soft beans (e.g. adzuki) and chestnuts
ゆうちょ銀行|ゆうちょぎんこう|JP Bank (former Postal Savings Bank, created when the Postal Services were privatized)
郵貯銀行|ゆうちょぎんこう|JP Bank (former Postal Savings Bank, created when the Postal Services were privatized)
業績連動払い|ぎょうせきれんどうはらい|performance-based pay; achievement-based pay; payment linked to performance
動き掛ける|うごきかける|to make somebody move
動きかける|うごきかける|to make somebody move
交代勤務|こうたいきんむ|shift work
交替勤務|こうたいきんむ|shift work
管理監督者|かんりかんとくしゃ|supervisor; manager
拙訳|せつやく|poor translation; clumsy translation
拙訳|せつやく|my translation
住宅バブル崩壊|じゅうたくバブルほうかい|collapse of the housing bubble
残量|ざんりょう|remaining quantity; residual quantity
肩高|けんこう|withers (height from ground to shoulder blades in animals)
フェネック||fennec fox (Vulpes zerda)
そぐう||to be suitable; to be appropriate; to match
司法判断|しほうはんだん|judicial ruling; judicial decision; judgment; judgement
螺|にし|small spiral-shelled snail
辛螺|にし|small spiral-shelled snail
ニシ||small spiral-shelled snail
赤螺|あかにし|veined rapa whelk (Rapana venosa)
アカニシ||veined rapa whelk (Rapana venosa)
物洗貝|ものあらがい|Japanese big-ear radix (pond snail, Radix auricularia japonica)
モノアラガイ||Japanese big-ear radix (pond snail, Radix auricularia japonica)
アルキメデスの螺線|アルキメデスのらせん|Archimedean spiral
対数螺線|たいすうらせん|logarithmic spiral; equiangular spiral
アルキメデスの公理|アルキメデスのこうり|axiom of Archimedes
螺子プロペラ|ねじプロペラ|screw propeller
螺旋推進器|らせんすいしんき|screw propeller
螺子ポンプ|ねじポンプ|screw pump
螺旋水揚げ機|らせんみずあげき|screw pump
螺線面|らせんめん|helicoid
螺線|らせん|helix
螺線|らせん|spiral
縞牛の舌|しまうしのした|zebra sole (Zebrias zebrinus)
縞牛舌|しまうしのした|zebra sole (Zebrias zebrinus)
シマウシノシタ||zebra sole (Zebrias zebrinus)
蔓巻|つるまき|zebra sole (Zebrias zebrinus)
ツルマキ||zebra sole (Zebrias zebrinus)
弦巻|つるまき|reel for a spare bowstring
弦袋|つるぶくろ|reel for a spare bowstring
ヘリコイド||helicoid
ヘリカルスプリング||helical spring
ヘリカル・スプリング||helical spring
斜歯歯車|はすばはぐるま|helical gear
太陽儀|たいようぎ|heliometer
太陽鏡|たいようきょう|helioscope
ヘリオトロピン||heliotropin
ピペロナール||piperonal
ヘリオメーター||heliometer
公理的方法|こうりてきほうほう|axiomatic method
公理論|こうりろん|axiomatic theory
公理系|こうりけい|axiomatic system
無矛盾性|むむじゅんせい|consistency (of an axiomatic system)
対数方眼紙|たいすうほうがんし|logarithmic graph paper
対数尺|たいすうしゃく|log rule
フタレイン||phthalein
黄麻布|おうまふ|burlap; hessian
財閥解体|ざいばつかいたい|dissolution of zaibatsu
臍回り|へそまわり|circumference of the navel; treasure trail; sagittal hair
布帛|ふはく|fabric; cloth
罰せられる|ばっせられる|to be subject to punishment; be punished
弥生土器|やよいどき|Yayoi pottery
バッファオーバラン||buffer overrun
バッファ・オーバラン||buffer overrun
簡易慣用字体|かんいかんようじたい|simplified form (of a kanji); any of 22 simplified non-joyo kanji variants commonly used in print
消費主義|しょうひしゅぎ|consumerism
消費者主権|しょうひしゃしゅけん|consumer sovereignty
消費文化|しょうひぶんか|consumer culture
アンダーザテーブル||under-the-table
アンダー・ザ・テーブル||under-the-table
倭国|わこく|Yamato; ancient Japan; name by which Chinese rulers used to call Japan
和国|わこく|Yamato; ancient Japan; name by which Chinese rulers used to call Japan
平積み|ひらづみ|flat display; stacking something flat (e.g. lying on its side, faceup)
おんり||to get down (from being carried); to get off (a vehicle)
推認|すいにん|presumption; inference
尻っぽ|しりっぽ|tail
金蛇|かなへび|lacertid (any lizard of family Lacertidae, esp. the Japanese grass lizard, Takydromus tachydromoides)
蛇舅母|かなへび|lacertid (any lizard of family Lacertidae, esp. the Japanese grass lizard, Takydromus tachydromoides)
カナヘビ||lacertid (any lizard of family Lacertidae, esp. the Japanese grass lizard, Takydromus tachydromoides)
飛蜥蜴|とびとかげ|flying dragon (any gliding lizard of genus Draco)
トビトカゲ||flying dragon (any gliding lizard of genus Draco)
木登蜥蜴|きのぼりとかげ|Ryukyu tree lizard (Japalura polygonata)
木登り蜥蜴|きのぼりとかげ|Ryukyu tree lizard (Japalura polygonata)
キノボリトカゲ||Ryukyu tree lizard (Japalura polygonata)
トカゲ目|トカゲもく|Squamata (order of scaled reptiles, sometimes esp. the Sauria or Lacertilia)
