飛蝗目|ばったもく|Orthoptera
単原子分子|たんげんしぶんし|monoatomic molecule
ポルティコ||portico
ポーチコ||portico
ポルチコ||portico
ポーティコ||portico
眼圧|がんあつ|ocular tension; intraocular pressure; IOP
抗炎症剤|こうえんしょうざい|anti-inflammatory drug; anti-inflammatory agent
交換可能|こうかんかのう|exchangeable; convertible; transferable; replaceable
小嚢|しょうのう|follicle; saccule; vesicle; little sac
代償満足|だいしょうまんぞく|vicarious satisfaction
非侵襲的|ひしんしゅうてき|non-invasive
尻叩き|しりたたき|spanking
尻叩き|しりたたき|traditional ceremony where the newly-wed wife, upon entering her new home, was hit on the rump with a straw bundle etc., to ensure her fertility
尻たたき|しりたたき|spanking
尻たたき|しりたたき|traditional ceremony where the newly-wed wife, upon entering her new home, was hit on the rump with a straw bundle etc., to ensure her fertility
ファンカー||car using a fan to create a ground effect; fan car
ファン・カー||car using a fan to create a ground effect; fan car
県警察本部|けんけいさつほんぶ|prefectural police headquarters
分子イメージング|ぶんしイメージング|molecular imaging
学園長|がくえんちょう|headmaster; principal; dean; provost; rector
県警察|けんけいさつ|prefectural police
県警察学校|けんけいさつがっこう|prefectural police academy; prefectural police training school
ハラペーニョ||jalapeno pepper; jalapeno
ハラペニョ||jalapeno pepper; jalapeno
ヘリウムガス||helium gas
ヘリウム・ガス||helium gas
分解検査|ぶんかいけんさ|overhaul; check-up; inspection
岩石系|がんせきけい|rock system
岩石系列|がんせきけいれつ|rock series; lithosequence
心臓弁|しんぞうべん|heart valve; cardiac valve
底質|ていしつ|bottom material; bed material; sludge; sediment; substratum
蛍光色|けいこうしょく|fluorescent color; fluorescent colour
パーケール||percale (fine closely woven cotton fabric)
誇らか|ほこらか|proud
膨らか|ふくらか|plump; full; well-rounded
脹らか|ふくらか|plump; full; well-rounded
脹らか|ほこらか|plump; full; well-rounded
膨らかす|ふくらかす|to expand; to inflate
脹らかす|ふくらかす|to expand; to inflate
結晶水|けっしょうすい|water of crystallization; crystallization water
結晶構造|けっしょうこうぞう|crystal structure; crystalline structure
結晶格子|けっしょうこうし|crystal lattice
結晶片岩|けっしょうへんがん|crystalline schist
片岩|へんがん|schist
結晶面|けっしょうめん|crystal plane; crystalline plane; crystal face
結晶分化作用|けっしょうぶんかさよう|crystallization differentiation
結晶性知能|けっしょうせいちのう|crystallized intelligence
流動性知能|りゅうどうせいちのう|fluid intelligence
結晶質|けっしょうしつ|crystalline material; crystalline substance
結晶軸|けっしょうじく|crystal axis
結晶光学|けっしょうこうがく|crystal optics
結晶化学|けっしょうかがく|crystal chemistry
汗の結晶|あせのけっしょう|fruits of one's labour; crystals of sweat
血と汗の結晶|ちとあせのけっしょう|result of one's blood, sweat, and tears; fruits of one's labour
準結晶|じゅんけっしょう|quasicrystal; paracrystal
単結晶|たんけっしょう|monocrystal; single crystal
機械技術|きかいぎじゅつ|machine technology; mechanical technology
ズウォティ||złoty (Polish currency); zloty
ズロチ||złoty (Polish currency); zloty
ズウォチ||złoty (Polish currency); zloty
ゴム草履|ゴムぞうり|rubber thongs; rubber flip-flops
染色法|せんしょくほう|staining method; staining techniques
最大積載量|さいだいせきさいりょう|maximum carrying capacity; maximum payload
クローン化|クローンか|cloning
ヒト遺伝子|ヒトいでんし|human gene
複合免疫不全|ふくごうめんえきふぜん|combined immunodeficiency
グレーズ||glaze
グレーズ||graze
工業地域|こうぎょうちいき|industrial area; industrial district; industrial zone
トルテ||torte
皇位継承者|こういけいしょうしゃ|heir to the throne; successor to the throne
総まとめ|そうまとめ|overall summary; (e.g. news) roundup
総纏め|そうまとめ|overall summary; (e.g. news) roundup
準備不足|じゅんびぶそく|ill-preparedness; insufficient preparation; lack of preparation
反芻動物|はんすうどうぶつ|ruminant
反すう動物|はんすうどうぶつ|ruminant
支払利息|しはらいりそく|interest expense; interest paid
過去時制|かこじせい|past tense; preterit tense
過去最多|かこさいた|record highest (in number); most on record
圧迫面接|あっぱくめんせつ|stress interview
反形而上学|はんけいじじょうがく|anti-metaphysics
アクセルペダル||accelerator pedal; gas pedal; throttle pedal
アクセル・ペダル||accelerator pedal; gas pedal; throttle pedal
アジュバント||adjuvant
アトラジン||atrazine
アネロイド||aneroid
アフリカ人|アフリカじん|African
アメリカドル||American dollar; United States dollar; US dollar
アメリカ・ドル||American dollar; United States dollar; US dollar
アーリヤー||aliyah; immigration to Israel
アリーヤー||aliyah; immigration to Israel
アリヤー||aliyah; immigration to Israel
アレルギー反応|アレルギーはんのう|allergic reaction
アンチグラム||antigram
インシュリンショック||insulin shock
インスリンショック||insulin shock
インシュリン・ショック||insulin shock
インスリン・ショック||insulin shock
カタル性|カタルせい|catarrhal
開板|かいはん|publishing (esp. using woodblock printing)
開版|かいはん|publishing (esp. using woodblock printing)
アクセルパウルゼンジャンプ||Axel Paulsen jump (figure skating)
アクセル・パウルゼン・ジャンプ||Axel Paulsen jump (figure skating)
アクセルジャンプ||Axel jump (figure skating)
アクセル・ジャンプ||Axel jump (figure skating)
初冠雪|はつかんせつ|first snow to settle on a mountain
初冠|ういこうぶり|crowning a boy for the first time at a coming-of-age ceremony
初冠|ういかぶり|crowning a boy for the first time at a coming-of-age ceremony
初冠|ういかむり|crowning a boy for the first time at a coming-of-age ceremony
初冠|ういかんむり|crowning a boy for the first time at a coming-of-age ceremony
初冠|ういかんむり|noh cap with a rolled or drooping tail (indicative of nobility)
初冠|しょかん|crowning a boy for the first time at a coming-of-age ceremony
飯炊き女|めしたきおんな|female cook; kitchenmaid
飯炊き女|めしたきおんな|woman who served both as a waitress and a prostitute in Osaka teahouses
乾雪|かんせつ|dry snow
湿雪|しっせつ|wet snow
真澄鏡|まそかがみ|perfectly clear mirror
真澄鏡|ますかがみ|perfectly clear mirror
真澄鏡|まそみかがみ|perfectly clear mirror
真十鏡|まそかがみ|perfectly clear mirror
十寸鏡|ますかがみ|perfectly clear mirror
化け物屋敷|ばけものやしき|haunted mansion; haunted house; enchanted house
化物屋敷|ばけものやしき|haunted mansion; haunted house; enchanted house
幽怪|ゆうかい|ghost; apparition; spirit
吹き渡る|ふきわたる|to blow across
吹渡る|ふきわたる|to blow across
貧村|ひんそん|poor village
痩村|やせむら|poor village; desolated village
引き移る|ひきうつる|to move; to move to a new location
引移る|ひきうつる|to move; to move to a new location
コミカレ||community college
呱々の声をあげる|ここのこえをあげる|to be born (of a baby); to come into the world
呱々の声を上げる|ここのこえをあげる|to be born (of a baby); to come into the world
呱呱の声をあげる|ここのこえをあげる|to be born (of a baby); to come into the world
呱呱の声を上げる|ここのこえをあげる|to be born (of a baby); to come into the world
如|ごと|like; similar to; same as
如|こと|like; similar to; same as
如|もころ|like; similar to; same as
若|もころ|like; similar to; same as
事がない|ことがない|(something) has never occurred; to have never done (something); such a thing has not happened
事がない|ことがない|never happens; there is never a time when
ことが無い|ことがない|(something) has never occurred; to have never done (something); such a thing has not happened
ことが無い|ことがない|never happens; there is never a time when
事が無い|ことがない|(something) has never occurred; to have never done (something); such a thing has not happened
事が無い|ことがない|never happens; there is never a time when
事はない|ことはない|there is no need to ...
事はない|ことはない|never happens; there is never a time when
ことは無い|ことはない|there is no need to ...
ことは無い|ことはない|never happens; there is never a time when
事は無い|ことはない|there is no need to ...
事は無い|ことはない|never happens; there is never a time when
事と成る|こととなる|it has been decided (so) that; it has been arranged (so) that
福楽|ふくらく|happiness and comfort; happiness and peace
纓|えい|tail (of a traditional Japanese cap)
纓|えい|chinstrap
巻纓|けんえい|rolled tail (of a traditional Japanese hat); looped tail
巻纓|かんえい|rolled tail (of a traditional Japanese hat); looped tail
巻纓|まきえい|rolled tail (of a traditional Japanese hat); looped tail
垂纓|すいえい|hanging tail (of a traditional Japanese hat); drooping tail
垂纓|たれえい|hanging tail (of a traditional Japanese hat); drooping tail
垂れ纓|たれえい|hanging tail (of a traditional Japanese hat); drooping tail
立纓|りゅうえい|erect tail (of a traditional Japanese hat)
得たり顔|えたりがお|triumphant look
得顔|えたりがお|triumphant look
糸屋|いとや|yarn seller
デクデク||plump; fat
でくでく||plump; fat
給餌|きゅうじ|feeding (an animal)
自動給餌器|じどうきゅうじき|automatic pet feeder
賓頭盧|びんずる|Pindola; Pindola Bharadvaja (one of four Arhats asked by the Buddha to remain in the world to propagate Buddhist law)
辻講釈|つじごうしゃく|stories (esp. war stories) or lectures told by someone near a road or temple while begging for money
辻噺|つじばなし|stories (esp. war stories) or lectures told by someone near a road or temple while begging for money
対立候補|たいりつこうほ|rival candidate; opposing candidate
蝦夷葱|えぞねぎ|chives (Allium schoenoprasum var. schoenoprasum)
エゾネギ||chives (Allium schoenoprasum var. schoenoprasum)
猩々紅冠鳥|しょうじょうこうかんちょう|northern cardinal (Cardinalis cardinalis); common cardinal
猩猩紅冠鳥|しょうじょうこうかんちょう|northern cardinal (Cardinalis cardinalis); common cardinal
ショウジョウコウカンチョウ||northern cardinal (Cardinalis cardinalis); common cardinal
スキム||skim
セイレーン||siren (in Greek mythology)
セイレン||siren (in Greek mythology)
セイレーネス||siren (in Greek mythology)
ヤツバキクイムシ||spruce bark beetle (Ips typographus)
柄樽|えだる|red and black lacquered sake cask with horn-like handles, used for ceremonies
痰唾|たんつば|sputum; phlegm
音高|おんこう|pitch (of a sound)
茶利|ちゃり|funny word or gesture
茶利|ちゃり|funny part (in a puppet show, kabuki, etc.)
茶利|ちゃり|a woman's temple hair
面当てがましい|つらあてがましい|spiteful; snide
面当がましい|つらあてがましい|spiteful; snide
女髪結い|おんなかみゆい|female hairdresser; coiffeuse
女髪結|おんなかみゆい|female hairdresser; coiffeuse
馬鹿囃子|ばかばやし|orchestra present at Japanese festival; festival music (may be sung from a festival float)
馬鹿ばやし|ばかばやし|orchestra present at Japanese festival; festival music (may be sung from a festival float)
ばか囃子|ばかばやし|orchestra present at Japanese festival; festival music (may be sung from a festival float)
愛嬌者|あいきょうもの|pleasant person; attractive person; animal liked by all because of its cuteness
愛敬者|あいきょうもの|pleasant person; attractive person; animal liked by all because of its cuteness
白浪物|しらなみもの|tale featuring robbers; kabuki play featuring robbers
淫売婦|いんばいふ|prostitute
淫賣婦|いんばいふ|prostitute
浴殿|よくでん|bathhouse; bathroom
社交クラブ|しゃこうクラブ|social club
新内|しんない|type of Joruri recitation
石英ガラス|せきえいガラス|fused silica; fused quartz; quartz glass; silica glass
透明ガラス|とうめいガラス|clear glass; plain glass
ソーダ石灰ガラス|ソーダせっかいガラス|soda-lime-silica glass; soda-lime glass (most common type of glass)
フロートガラス||float glass
フロート・ガラス||float glass
複層ガラス|ふくそうガラス|multi-layered glass (e.g. double or triple glazing); insulated glazing
耐熱ガラス|たいねつガラス|heat-resistant glass (e.g. Pyrex); refractory glass
ウランガラス||uranium glass
ウラン・ガラス||uranium glass
スキムボード||skimboard
額烏帽子|ひたいえぼし|black silk or paper triangle worn over the forehead (usu. worn by children)
一中節|いっちゅうぶし|type of Joruri (dramatic recitation accompanied by a shamisen)
海象|かいしょう|marine phenomenon
成丈|なりたけ|as much as one can; as much as possible
成り丈|なりたけ|as much as one can; as much as possible
洋服店|ようふくてん|clothier; Western clothes' shop
突き立つ|つきたつ|to pierce through; to stand (of something sharp or pointy); to thrust (up)
片肌脱|かたはだぬぎ|one shoulder exposed (e.g. because one sleeve of the kimono is undone)
片肌脱ぎ|かたはだぬぎ|one shoulder exposed (e.g. because one sleeve of the kimono is undone)
阿菊虫|おきくむし|chrysalis of a swallowtail butterfly (esp. of species Atrophaneura alcinous)
螠虫|おきくむし|chrysalis of a swallowtail butterfly (esp. of species Atrophaneura alcinous)
簪屋|かんざしや|ornate hairpin store
髪挿屋|かんざしや|ornate hairpin store
高足駄|たかあしだ|geta with high supports; tall clogs
仙宮|せんきゅう|hermit's residence
仙宮|せんきゅう|retired emperor's palace
呼起|こき|recollection; something called to mind
放ち出|はなちいで|extension of the main room of a home (in traditional palatial-style architecture)
放ち出|はなちで|extension of the main room of a home (in traditional palatial-style architecture)
放ち出で|はなちいで|extension of the main room of a home (in traditional palatial-style architecture)
小座敷|こざしき|small tatami room
小座敷|こざしき|extension of the main room of a home (in traditional palatial-style architecture)
小座敷|こざしき|room smaller than four and a half tatami (in tea ceremony)
鴨南蛮|かもなんばん|noodles with duck meat and Welsh onions
打裂羽織|ぶっさきばおり|haori coat used by soldiers
打裂き羽織|ぶっさきばおり|haori coat used by soldiers
打割羽織|ぶっさきばおり|haori coat used by soldiers
ヘビークリーム||heavy cream
ヘビー・クリーム||heavy cream
整備室|せいびしつ|office (usu. for construction, maintenance, services, etc.)
スンニ派|スンニは|Sunni (Islam); Sunnah
スンニ||Sunni (Islam)
国防相|こくぼうしょう|defense minister; defence minister
空白区|くうはくく|vacant constituency
刊本|かんぽん|published book; printed book
やもめ暮らし|やもめぐらし|widowhood; widowerhood; viduity
寡婦暮らし|やもめぐらし|widowhood; widowerhood; viduity
寡暮らし|やもめぐらし|widowhood; widowerhood; viduity
寡暮し|やもめぐらし|widowhood; widowerhood; viduity
鰥暮らし|やもめぐらし|widowhood; widowerhood; viduity
鰥暮し|やもめぐらし|widowhood; widowerhood; viduity
小政党|しょうせいとう|small political party
先物価格|さきものかかく|forward price; futures price; futures quotation
国際指標|こくさいしひょう|international index
剰銭|じょうせん|remaining money; change
直様|じきさま|immediately; promptly
直様|じきざま|immediately; promptly
河渠|かきょ|waterway; canal; river
渠河|きょが|waterway; canal; river
渠帥|きょすい|chief of bandits
巨帥|きょすい|chief of bandits
病兵|びょうへい|sick soldier
荒漠|こうばく|desolate (e.g. plains); ruined
峻酷|しゅんこく|severe (personality); unaffected by love
峻刻|しゅんこく|severe (personality); unaffected by love
峻峭|しゅんしょう|tall and steep
峻峭|しゅんしょう|severe and dignified; severe and cruel
媚を売る|こびをうる|to coquet (of a woman); to entice a customer (of a prostitute)
媚を売る|こびをうる|to flatter; to butter up
媚びを売る|こびをうる|to coquet (of a woman); to entice a customer (of a prostitute)
媚びを売る|こびをうる|to flatter; to butter up
襟白粉|えりおしろい|white powder for use on the neck (e.g. by geisha)
白首|しろくび|woman who puts thick white powder on her neck; low class prostitute
白首|しらくび|woman who puts thick white powder on her neck; low class prostitute
学匠|がくしょう|scholar
学匠|がくしょう|person studying Buddhism
蓬頭|ほうとう|unkempt hair
蓬頭|おぼとれがしら|unkempt hair
砂路|いさごじ|sand path; sand road
砂子路|いさごじ|sand path; sand road
私窩子|しかし|prostitute; harlot
シュッシュッ||choo-choo; chug-chug; chuff-chuff; hiss-hiss
シュッシュッ||brush-brush; scrub-scrub
しゅっしゅっ||choo-choo; chug-chug; chuff-chuff; hiss-hiss
しゅっしゅっ||brush-brush; scrub-scrub
麝香揚羽|じゃこうあげは|Chinese windmill (species of red-bodied swallowtail butterfly, Atrophaneura alcinous)
麝香鳳蝶|じゃこうあげは|Chinese windmill (species of red-bodied swallowtail butterfly, Atrophaneura alcinous)
ジャコウアゲハ||Chinese windmill (species of red-bodied swallowtail butterfly, Atrophaneura alcinous)
鴉髻|あけい|jet-black hair
楊梅瘡|ようばいそう|syphillis
鼠繻子|ねずみじゅす|gray satin fabric
どしり||sound of a heavy object falling
ドシリ||sound of a heavy object falling
大学別曹|だいがくべっそう|Heian-period boarding school (for children of a specific noble clan) established near the former central university of Kyoto
七大私学|しちだいしがく|seven boarding schools established in Kyoto by noble families during the early Heian period
学生|がくしょう|Heian-period student of government administration
学生|がくしょう|Buddhist scholar; researcher at a Buddhist temple; person studying Buddhism
学生|がくしょう|learning; scholarship
学生|がくそう|Heian-period student of government administration
学生|がくそう|Buddhist scholar; researcher at a Buddhist temple; person studying Buddhism
学生|がくそう|learning; scholarship
対の屋|たいのや|side house (to the east, west, or north of a main residence; home to women, children and servants)
対屋|たいのや|side house (to the east, west, or north of a main residence; home to women, children and servants)
母屋桁|もやげた|purlin (structural beam in a roof); purline
母屋|もや|purlin (structural beam in a roof); purline
母屋|もや|main building (of a manor)
母屋|もや|central room (in traditional palatial-style architecture)
母屋|むや|purlin (structural beam in a roof); purline
母屋|むや|main building (of a manor)
母屋|むや|central room (in traditional palatial-style architecture)
身屋|もや|purlin (structural beam in a roof); purline
身屋|もや|main building (of a manor)
身屋|もや|central room (in traditional palatial-style architecture)
身屋|むや|purlin (structural beam in a roof); purline
身屋|むや|main building (of a manor)
身屋|むや|central room (in traditional palatial-style architecture)
身舎|もや|purlin (structural beam in a roof); purline
身舎|もや|main building (of a manor)
身舎|もや|central room (in traditional palatial-style architecture)
北の対|きたのたい|northern side house (to the rear of a main residence; often home to one's wife)
支那語|しなご|Chinese language
渡殿|わたどの|roofed corridor connecting two buildings (in traditional palatial-style architecture)
渡殿|わたりどの|roofed corridor connecting two buildings (in traditional palatial-style architecture)
渡り殿|わたりどの|roofed corridor connecting two buildings (in traditional palatial-style architecture)
西の対|にしのたい|western side house (in traditional palatial-style architecture)
酢昆布|すこんぶ|sour konbu prepared with black vinegar
東の対|ひがしのたい|eastern side house (in traditional palatial-style architecture)
東の対|ひんがしのたい|eastern side house (in traditional palatial-style architecture)
透渡殿|すきわたどの|roofed path (lacking walls) connecting the main residence and the side houses (in traditional palatial architecture)
透渡殿|すいわたどの|roofed path (lacking walls) connecting the main residence and the side houses (in traditional palatial architecture)
南庭|なんてい|grounds south of a building; southern garden
南庭|なんてい|garden south of the Hall for State Ceremonies (in the Kyoto Imperial Palace)
画舫|がぼう|exquisitely decorated pleasure boat
人力車夫|じんりきしゃふ|rickshaw man
手弄り|てまさぐり|playing with something with one's fingers
手弄り|てまさぐり|searching with one's fingers (e.g. in the dark)
手まさぐり|てまさぐり|playing with something with one's fingers
手まさぐり|てまさぐり|searching with one's fingers (e.g. in the dark)
丸煮|まるに|boiling something whole (e.g. vegetable, fish); cooking something whole
関船|せきぶね|type of fast military boat used from the Warring states period until the Edo period
安宅船|あたけぶね|large warship of the Muromachi and early Edo periods
阿武船|あたけぶね|large warship of the Muromachi and early Edo periods
早舟|はやぶね|fast-moving rowboat
早舟|はやぶね|type of fast military ship
早舟|はやふね|fast-moving rowboat
早舟|はやふね|type of fast military ship
早船|はやぶね|fast-moving rowboat
早船|はやぶね|type of fast military ship
早船|はやふね|fast-moving rowboat
早船|はやふね|type of fast military ship
舸|はやぶね|fast-moving rowboat
舸|はやぶね|type of fast military ship
舸|はやふね|fast-moving rowboat
舸|はやふね|type of fast military ship
舟棚|ふなだな|planking (on a wooden ship)
船棚|ふなだな|planking (on a wooden ship)
船枻|ふなだな|planking (on a wooden ship)
打ち櫂|うちがい|type of oar
打櫂|うちがい|type of oar
酒虫|さかむし|mythical spirit residing in a person's body that generates a desire to drink (also said to turn water into alcohol)
酒虫|さけむし|mythical spirit residing in a person's body that generates a desire to drink (also said to turn water into alcohol)
酒虫|しゅちゅう|mythical spirit residing in a person's body that generates a desire to drink (also said to turn water into alcohol)
打麦場|だばくじょう|threshing floor; place for threshing wheat
象貌|しょうぼう|appearance; figure
奇古|きこ|old and strange
棋局|ききょく|go or shogi board
棋局|ききょく|position of a game of go or shogi
棊局|ききょく|go or shogi board
棊局|ききょく|position of a game of go or shogi
門付歌|かどづけうた|song sung door-to-door
門付け歌|かどづけうた|song sung door-to-door
蛮僧|ばんそう|foreign priest; Western priest
蕃僧|ばんそう|foreign priest; Western priest
鳥追棒|とりおいぼう|stick used to drive off birds (during the New Year's procession)
鳥追い歌|とりおいうた|song sung by children during the New Year's bird-driving procession (later adopted by door-to-door musicians)
鳥追歌|とりおいうた|song sung by children during the New Year's bird-driving procession (later adopted by door-to-door musicians)
房中術|ぼうちゅうじゅつ|ability in the bedroom; art of lovemaking
房術|ぼうじゅつ|ability in the bedroom; art of lovemaking
病閹|びょうえん|long illness that will not heal
釣殿|つりどの|buildings on the east and west side of the southern pond (in traditional palatial-style architecture)
釣り殿|つりどの|buildings on the east and west side of the southern pond (in traditional palatial-style architecture)
築垣|ついがき|mud wall with a roof
築垣|ついかき|mud wall with a roof
築垣|つきがき|mud wall with a roof
築牆|ついがき|mud wall with a roof
築牆|ついかき|mud wall with a roof
築牆|つきがき|mud wall with a roof
蔀戸|しとみど|latticed shutters (in traditional Japanese and Chinese architecture)
壁代|かべしろ|curtain separating a central room from the aisles around it (in palatial-style architecture)
採尿|さいにょう|urine sampling; urine collection; giving one's urine
持仏|じぶつ|one's own Buddha statue
持佛堂|じぶつどう|hall or room where a private Buddha statue or ancestor tablets are kept
武徳殿|ぶとくでん|building on the greater palace grounds used by the emperor for viewing horse racing, horseback archery, etc.
武徳殿|ぶとくでん|martial arts practice hall at Heian Shrine (est. in 1895 by the Dai Nippon Butoku Kai, now defunct)
焚火の間|たきびのま|room with a sunken hearth
馬場殿|うまばどの|building for observing horse racing, horseback archery, etc. (sometimes specifically that used by the emperor on the greater palace grounds)
馬場殿|ばばどの|building for observing horse racing, horseback archery, etc. (sometimes specifically that used by the emperor on the greater palace grounds)
馬場殿|うまばのおとど|building for observing horse racing, horseback archery, etc. (sometimes specifically that used by the emperor on the greater palace grounds)
馬場の殿|うまばのおとど|building for observing horse racing, horseback archery, etc. (sometimes specifically that used by the emperor on the greater palace grounds)
車宿り|くるまやどり|building where one keeps oxcarts and other conveyances inside a private estate
車宿り|くるまやどり|resting area for one's oxcart, wagon, etc.
見世女郎|みせじょろう|low-class prostitute who was kept in a sort of cage at the front of the establishment (Edo period)
端女郎|はしじょろう|low class licensed prostitute (Edo period)
局女郎|つぼねじょろう|prostitute of the lowest class (Edo period)
献進|けんしん|offering a gift (to a superior)
権臣|けんしん|influential vassal; powerful retainer; powerful courtier
細工所|さいくじょ|workshop
細工所|さいくじょ|Heian and Kamakura-period furniture workshop (established in temples and various government bodies)
細工所|さいくじょ|Edo period office which administered tenders for arms, armor, etc.
細工所|さいくどころ|Heian and Kamakura-period furniture workshop (established in temples and various government bodies)
細工所|さいくどころ|Edo period office which administered tenders for arms, armor, etc.
射儀|しゃぎ|archery ceremony; ceremony related to archery
出居|いでい|sitting outdoors
出居|いでい|room that served both as a reception room and as a living room in a Heian-period mansion
出居|いでい|temporary sitting place installed in the garden at the imperial court, used on the occasion of archery or sumo ceremonies
出居|でい|sitting outdoors
出居|でい|room that served both as a reception room and as a living room in a Heian-period mansion
出居|でい|temporary sitting place installed in the garden at the imperial court, used on the occasion of archery or sumo ceremonies
膳所|ぜんしょ|kitchen
麈尾|しゅび|priest's flapper made from the tail of a large deer; long stick with the tail of a large deer attached
草房|そうぼう|thatched hut
炎靄|えんあい|hot summer air
片息|かたいき|difficult breathing; heavy breathing; gasping
肩息|かたいき|difficult breathing; heavy breathing; gasping
泥塑|でいそ|unfired clay figurine
御帳台|みちょうだい|curtained sleeping platform in shinden-style residences (used by people of high rank)
向拝|ごはい|pent roof built atop the stairs of a shrine or temple
向拝|こうはい|pent roof built atop the stairs of a shrine or temple
御拝|ごはい|pent roof built atop the stairs of a shrine or temple
階隠し|はしかくし|pent roof built atop the stairs of a shrine or a building in a classic aristocratic villa
階隠し|はしがくし|pent roof built atop the stairs of a shrine or a building in a classic aristocratic villa
塗り籠め|ぬりごめ|interior closed room with heavily plastered walls in a Heian palace
塗り篭め|ぬりごめ|interior closed room with heavily plastered walls in a Heian palace
塗籠め|ぬりごめ|interior closed room with heavily plastered walls in a Heian palace
塗篭め|ぬりごめ|interior closed room with heavily plastered walls in a Heian palace
塗籠|ぬりごめ|interior closed room with heavily plastered walls in a Heian palace
塗篭|ぬりごめ|interior closed room with heavily plastered walls in a Heian palace
衝立障子|ついたてそうじ|partitioning screen
衝立障子|ついたてしょうじ|partitioning screen
障屏|しょうへい|partitions in a Japanese house (e.g. screens, sliding doors, etc.)
障蔽|しょうへい|partitions in a Japanese house (e.g. screens, sliding doors, etc.)
信施|しんせ|almsgiving because of faith
信施|しんぜ|almsgiving because of faith
貧道|ひんどう|imperfect (Buddhist) training; imperfection in one's (Buddhist) training; incomplete training; poor training
貧道|ひんどう|I; me
道仏|どうぶつ|Taoism and Buddhism
童僕|どうぼく|young male servant; page
僮僕|どうぼく|young male servant; page
無釉|むゆう|unglazed (e.g. pottery)
朱泥|しゅでい|unglazed reddish brown pottery (originally from China)
負郭|ふかく|land near a castle
油漏れ|あぶらもれ|oil leak
油もれ|あぶらもれ|oil leak
鋤鍬|すきくわ|farming implement
鋤鍬|すきとくわ|farming implement
朧ろ|おぼろ|hazy; dim; faint
朧ろ|おぼろ|minced meat; minced fish
朧|おぼろ|hazy; dim; faint
朧|おぼろ|minced meat; minced fish
曖曖|あいあい|dim; faint; unclear
曖々|あいあい|dim; faint; unclear
肉豆蒄|にくずく|common nutmeg (tree) (Myristica fragrans)
ニクズク||common nutmeg (tree) (Myristica fragrans)
珍陀|チンタ|red wine
簇簇|そうそう|gathering; swarming
簇簇|ぞくぞく|gathering; swarming
簇々|そうそう|gathering; swarming
簇々|ぞくぞく|gathering; swarming
戦略物資|せんりゃくぶっし|strategic resources; strategic materials
揮散|きさん|vaporization; volatilization; sublimation
本品|ほんぴん|this product; this item; this article
鉄甲船|てっこうせん|iron-reinforced warships built by Oda Nobunaga
牛商人|うしあきゅうど|ox seller; ox vendor
泥絵|どろえ|distemper painting
泥絵|どろえ|painting made with gold or silver paint (usu. on a dark background)
泥絵|でいえ|distemper painting
泥絵|でいえ|painting made with gold or silver paint (usu. on a dark background)
外教|がいきょう|foreign religion (from Japan's perspective, esp. Christianity)
外教|がいきょう|religion other than Buddhism
外教|げきょう|religion other than Buddhism
禁遏|きんあつ|prohibition
白板|はくばん|whiteboard; white board
武家造り|ぶけづくり|samurai-house style (Kamakura period)
武家造|ぶけづくり|samurai-house style (Kamakura period)
遠侍|とおさぶらい|guard house in a samurai style house (Kamakura period)
常御所|つねのごしょ|room or pavilion of residence for the master of the house (Heian period palatial-style architecture)
常御所|つねのごしょ|room where the emperor usually lives in the imperial palace
侍所|さむらいどころ|Board of Retainers; Kamakura- and Muromachi-period government office
侍所|さむらいどころ|samurai guard house (Heian and Kamakura periods)
侍所|さぶらいどころ|Board of Retainers; Kamakura- and Muromachi-period government office
侍所|さぶらいどころ|samurai guard house (Heian and Kamakura periods)
雅楽寮|ががくりょう|government office in charge of court music (ritsuryo period)
雅楽寮|うたりょう|government office in charge of court music (ritsuryo period)
雅楽寮|うたづかさ|government office in charge of court music (ritsuryo period)
雅楽寮|うたつかさ|government office in charge of court music (ritsuryo period)
雅楽寮|うたのつかさ|government office in charge of court music (ritsuryo period)
歌人|うたびと|skillful tanka poet
歌人|うたびと|official in charge of court poetry and music (ritsuryo period)
歌人|うたびと|poet
蒼梧|そうご|Chinese parasol-tree (Firmiana simplex); Chinese bottletree; Japanese varnishtree; phoenix-tree
袖裏|そでうら|lining of a sleeve; sleeve lining
青蛇|あおくちなわ|snake (esp. Japanese rat snake)
青蛇|あおんじょう|snake (esp. Japanese rat snake)
胆気|たんき|courage; guts; nerves of steel
飛過|とびすぎ|passing by flying
飛過|とびすぎ|fickle heart; man who frequently meets with harlots
廊|ろう|corridor; passage; hall
都城|とじょう|castle town
南大門|なんだいもん|main southern gate (of a temple, castle town, etc.)
茅門|かやもん|thatched-roof gate (used as the entrance to a garden, esp. of a tea ceremony house)
茅門|ぼうもん|thatched-roof gate (used as the entrance to a garden, esp. of a tea ceremony house)
茅門|ぼうもん|my home
萱門|かやもん|thatched-roof gate (used as the entrance to a garden, esp. of a tea ceremony house)
露地門|ろじもん|gate to the garden of a tea ceremony house
茶庭|ちゃてい|teahouse garden
茶庭|ちゃにわ|teahouse garden
中門|ちゅうもん|gate in the middle of the corridor connecting an annex to a pond-side building (in traditional palatial-style architecture)
中門|ちゅうもん|central gate (between the main gate and main hall of a temple)
中門|ちゅうもん|central gate (separating the inner and outer gardens of a teahouse)
内露地|うちろじ|inner teahouse garden (within the central gate)
内路地|うちろじ|inner teahouse garden (within the central gate)
