王妃|おうひ|queen
菊人形|きくにんぎょう|beautiful but stupid girl
菊石|きくいし|ammonite (traditional name)
鞠|まり|ball (for sport, games, etc.)
鞠|まり|kemari; type of football played by courtiers in ancient Japan
毬|まり|ball (for sport, games, etc.)
毬|まり|kemari; type of football played by courtiers in ancient Japan
球|まり|ball (for sport, games, etc.)
吉凶|きっきょう|good or bad luck; fortune
吉祥|きっしょう|lucky omen; happy; auspicious
吉祥|きちじょう|lucky omen; happy; auspicious
吉兆|きっちょう|lucky omen; good omen
吉徴|きっちょう|lucky omen; good omen
吉報|きっぽう|good news
吃り|どもり|stammer; stutter; faltering; speech impediment
吃り|どもり|person with a speech impediment
吃る|どもる|to stammer; to stutter
吃音|きつおん|stammering; stuttering; dysphemia
吃驚|びっくり|to be surprised; to be amazed; to be frightened; to be astonished; to get startled; to jump
吃驚|びっくり|surprise (e.g. surprise party)
喫驚|びっくり|to be surprised; to be amazed; to be frightened; to be astonished; to get startled; to jump
喫驚|びっくり|surprise (e.g. surprise party)
ビックリ||to be surprised; to be amazed; to be frightened; to be astonished; to get startled; to jump
ビックリ||surprise (e.g. surprise party)
喫する|きっする|to eat; to drink; to smoke; to take
喫する|きっする|to suffer (e.g. defeat); to receive a blow
喫煙|きつえん|smoking
喫烟|きつえん|smoking
喫煙者|きつえんしゃ|smoker
喫水線|きっすいせん|waterline (ship)
吃水線|きっすいせん|waterline (ship)
喫茶|きっさ|tea drinking
喫茶|きっさ|teahouse; tearoom; coffee lounge; coffee shop; (rather formal) cafe
喫茶店|きっさてん|coffee shop; tearoom; coffee lounge; coffeehouse; cafe
喫茶店|きっちゃてん|coffee shop; tearoom; coffee lounge; coffeehouse; cafe
桔梗|ききょう|Chinese bellflower; Platycodon grandiflorum
橘|たちばな|tachibana (inedible citrus, Citrus tachibana)
詰まらせる|つまらせる|to clog; to block; to choke up; to jam; to obstruct
詰まる|つまる|to be packed (with); to be full (space, schedule, etc.)
詰まる|つまる|to be blocked (road, pipe, etc.); to be clogged; to be plugged up
詰まる|つまる|to shorten (width, interval, etc.); to shrink (shirt, word form, etc.); to narrow
詰まる|つまる|to be at a loss; to be hard pressed
詰まる|つまる|to end up; to be settled
詰まる|つまる|to become a geminate consonant
詰まる|つまる|to hit the ball near the handle of the bat
詰む|つむ|to become fine (of fabric)
詰む|つむ|to be checkmated
詰む|つむ|to be hard pressed; to be at a loss; to reach the limits
詰め|つめ|stuffing; packing
詰め|つめ|end (esp. the foot of a bridge)
詰め|つめ|lowest-ranking guest at tea ceremony
詰め|つめ|tea master
詰め|つめ|endgame (esp. in shogi or used figuratively)
詰め|つめ|sweet eel sauce
詰め|つめ|middle-aged woman
詰め|つめ|appointment to a particular workplace
詰め|つめ|using as the sole ground of judgement (judgment)
詰め|つめ|continuing; keep doing for period of time
詰め|づめ|stuffing; packing
詰め|づめ|end (esp. the foot of a bridge)
詰め|づめ|lowest-ranking guest at tea ceremony
詰め|づめ|tea master
詰め|づめ|endgame (esp. in shogi or used figuratively)
詰め|づめ|sweet eel sauce
詰め|づめ|middle-aged woman
詰め|づめ|appointment to a particular workplace
詰め|づめ|using as the sole ground of judgement (judgment)
詰め|づめ|continuing; keep doing for period of time
詰|つめ|stuffing; packing
詰|つめ|end (esp. the foot of a bridge)
詰|つめ|lowest-ranking guest at tea ceremony
詰|つめ|tea master
詰|つめ|endgame (esp. in shogi or used figuratively)
詰|つめ|sweet eel sauce
詰|つめ|middle-aged woman
詰|つめ|appointment to a particular workplace
詰|つめ|using as the sole ground of judgement (judgment)
詰|つめ|continuing; keep doing for period of time
詰|づめ|stuffing; packing
詰|づめ|end (esp. the foot of a bridge)
詰|づめ|lowest-ranking guest at tea ceremony
詰|づめ|tea master
詰|づめ|endgame (esp. in shogi or used figuratively)
詰|づめ|sweet eel sauce
詰|づめ|middle-aged woman
詰|づめ|appointment to a particular workplace
詰|づめ|using as the sole ground of judgement (judgment)
詰|づめ|continuing; keep doing for period of time
詰める|つめる|to stuff into; to jam; to cram; to pack; to fill; to plug; to stop up
詰める|つめる|to shorten; to move closer together
詰める|つめる|to reduce (spending); to conserve
詰める|つめる|to focus intently on; to strain oneself to do
詰める|つめる|to work out (details)
詰める|つめる|to be on duty; to be stationed
詰める|つめる|to corner (esp. an opponent's king in shogi); to trap; to checkmate
詰める|つめる|to cut off (one's finger as an act of apology); to catch (one's finger in a door, etc.)
詰める|つめる|to continue ...; to keep doing ... without a break
詰める|つめる|to do ... completely; to do ... thoroughly
詰める|つめる|to force someone into a difficult situation by ...
詰め掛ける|つめかける|to crowd (a house); to throng to (a door)
詰掛ける|つめかける|to crowd (a house); to throng to (a door)
詰めかける|つめかける|to crowd (a house); to throng to (a door)
詰め寄る|つめよる|to draw near; to draw closer
詰め寄る|つめよる|to press someone (e.g. for an answer)
詰寄る|つめよる|to draw near; to draw closer
詰寄る|つめよる|to press someone (e.g. for an answer)
詰め合わせる|つめあわせる|to pack an assortment of goods, etc.
詰め合せる|つめあわせる|to pack an assortment of goods, etc.
詰合わせる|つめあわせる|to pack an assortment of goods, etc.
詰合せる|つめあわせる|to pack an assortment of goods, etc.
詰め込む|つめこむ|to cram; to stuff; to jam; to squeeze; to compress; to pack; to crowd
つめ込む|つめこむ|to cram; to stuff; to jam; to squeeze; to compress; to pack; to crowd
詰込む|つめこむ|to cram; to stuff; to jam; to squeeze; to compress; to pack; to crowd
詰る|なじる|to rebuke; to scold; to tell off
詰問|きつもん|cross-examination; close questioning; demanding an explanation
黍|きび|(common) millet (Panicum miliaceium); proso millet
黍|きみ|(common) millet (Panicum miliaceium); proso millet
稷|きび|(common) millet (Panicum miliaceium); proso millet
稷|きみ|(common) millet (Panicum miliaceium); proso millet
キビ||(common) millet (Panicum miliaceium); proso millet
吉備団子|きびだんご|sweet dumpling made with mochi flour and (sometimes) millet flour (famous product of Okayama)
吉備団子|きびだんご|millet dumplings
黍団子|きびだんご|sweet dumpling made with mochi flour and (sometimes) millet flour (famous product of Okayama)
黍団子|きびだんご|millet dumplings
却って|かえって|on the contrary; rather; all the more; instead
却下|きゃっか|rejection; dismissal
客|きゃく|guest; visitor
客|きゃく|customer; client; shopper; spectator; audience; tourist; sightseer; passenger
客|かく|guest; visitor
客|かく|customer; client; shopper; spectator; audience; tourist; sightseer; passenger
客扱い|きゃくあつかい|hospitality
客員|きゃくいん|guest (associate) member
客員|かくいん|guest (associate) member
客員研究員|きゃくいんけんきゅういん|visiting researcher
客引き|きゃくひき|touting; tout; barker; pander
客演|きゃくえん|guest appearance
客観|きゃっかん|objectivity; objective; object (philosophical)
客観|かっかん|objectivity; objective; object (philosophical)
客観|かくかん|objectivity; objective; object (philosophical)
客観的|きゃっかんてき|objective
客間|きゃくま|parlor; parlour; guest room
客止め|きゃくどめ|draw a full house
客室|きゃくしつ|guest room (at a hotel); guest cabin (on a boat); passenger cabin (on a plane)
客室|きゃくしつ|drawing room
客車|きゃくしゃ|passenger car
客車|かくしゃ|passenger car
客商売|きゃくしょうばい|hotel; service (restaurant, entertainment) business
客席|きゃくせき|guest seating (e.g. theater, stadium); passenger seat (e.g. taxi)
客席|きゃくせき|audience
客船|きゃくせん|passenger boat
客体|きゃくたい|object
客体|かくたい|object
客土|きゃくど|land which one visits; alien land; topsoil brought from another place to mix with the soil
客土|かくど|land which one visits; alien land; topsoil brought from another place to mix with the soil
脚韻|きゃくいん|rhyme; end rhyme
脚気|かっけ|beriberi
脚色|きゃくしょく|dramatization (e.g. of a novel); dramatisation; adaptation
脚色|きゃくしょく|dramatization; embellishment; exaggeration; embroidery
脚線美|きゃくせんび|beauty of slender female legs
脚注|きゃくちゅう|footnote
脚註|きゃくちゅう|footnote
脚付き|あしつき|something (equipped) with legs
脚付き|あしつき|sole of foot
脚付き|あしつき|one's manner of walking
足付き|あしつき|something (equipped) with legs
足付き|あしつき|sole of foot
足付き|あしつき|one's manner of walking
足つき|あしつき|something (equipped) with legs
足つき|あしつき|sole of foot
足つき|あしつき|one's manner of walking
脚部|きゃくぶ|leg
脚本|きゃくほん|script; screenplay; scenario
脚立|きゃたつ|stepladder; steps
脚榻|きゃたつ|stepladder; steps
脚絆|きゃはん|gaiters; leggings
脚半|きゃはん|gaiters; leggings
虐げる|しいたげる|to oppress; to persecute; to tyrannize
虐殺|ぎゃくさつ|atrocity; massive killing
虐政|ぎゃくせい|tyranny; despotism
虐待|ぎゃくたい|abuse; ill-treatment; maltreatment; mistreatment; cruelty
逆|ぎゃく|reverse; opposite
逆|ぎゃく|converse (of a hypothesis, etc.)
逆|ぎゃく|inverse (function)
逆さ|さかさ|inverted; upside down; reversed; back to front
倒さ|さかさ|inverted; upside down; reversed; back to front
逆に|ぎゃくに|conversely; on the contrary
逆らう|さからう|to go against; to oppose; to disobey; to defy
逆ポーランド式|ぎゃくポーランドしき|reverse Polish notation; RPN
逆境|ぎゃっきょう|adversity
逆効果|ぎゃくこうか|opposite effect; adverse effect; backfiring
逆効果|ぎゃっこうか|opposite effect; adverse effect; backfiring
逆行|ぎゃっこう|reverse movement; retrogression; going backwards; moving in the wrong direction; running counter to (e.g. the laws of nature); running against (e.g. the tide of the times)
逆行|ぎゃっこう|retrogradation; retrogression
逆行|ぎゃくこう|reverse movement; retrogression; going backwards; moving in the wrong direction; running counter to (e.g. the laws of nature); running against (e.g. the tide of the times)
逆行|ぎゃくこう|retrogradation; retrogression
逆行列|ぎゃくぎょうれつ|inverse matrix
逆恨み|さかうらみ|being resented in return
逆恨み|さかうらみ|unjustified resentment through misunderstanding
逆算|ぎゃくさん|counting backwards; calculating backwards
逆算|ぎゃくさん|inverse operation; reverse operation
逆子|さかご|breech presentation (feet or buttocks-first birth); breech delivery; breech birth
逆児|さかご|breech presentation (feet or buttocks-first birth); breech delivery; breech birth
逆襲|ぎゃくしゅう|counterattack
逆上|ぎゃくじょう|going into a frenzy; flying into a rage
逆上せる|のぼせる|to feel dizzy; to have blood rush to one's head
逆上せる|のぼせる|to lose one's cool
逆上せる|のぼせる|to be obsessed; to be infatuated
逆上せる|のぼせる|to become conceited
上気せる|のぼせる|to feel dizzy; to have blood rush to one's head
上気せる|のぼせる|to lose one's cool
上気せる|のぼせる|to be obsessed; to be infatuated
上気せる|のぼせる|to become conceited
逆数|ぎゃくすう|reciprocal; inverse number; multiplicative inverse
逆接|ぎゃくせつ|contrastive conjunction (but, however, etc.); contradictory conjunction
逆説|ぎゃくせつ|paradox
逆探知|ぎゃくたんち|phone trace; detecting the source of a telephone call
逆提案|ぎゃくていあん|counter-proposal
逆転|ぎゃくてん|(sudden) change; reversal; turn-around; coming from behind (baseball)
逆点|ぎゃくてん|(sudden) change; reversal; turn-around; coming from behind (baseball)
逆撫で|さかなで|rubbing the wrong way (e.g. a cat); irritating
逆撫で|ぎゃくなで|rubbing the wrong way (e.g. a cat); irritating
逆なで|さかなで|rubbing the wrong way (e.g. a cat); irritating
逆なで|ぎゃくなで|rubbing the wrong way (e.g. a cat); irritating
逆風|ぎゃくふう|headwind; adverse wind
逆噴射|ぎゃくふんしゃ|reverse thrust; retrofire (rocket, jet engine)
逆噴射|ぎゃくふんしゃ|sudden mental derangement
逆茂木|さかもぎ|abatis
逆戻り|ぎゃくもどり|retrogression; reversal; relapse; doubling back; backtracking
逆輸入|ぎゃくゆにゅう|reimportation
逆用|ぎゃくよう|abuse; misuse; taking advantage of
逆立ち|さかだち|handstand; headstand
逆立つ|さかだつ|to stand on end; to bristle up; to be ruffled
逆流|ぎゃくりゅう|counter-current; adverse tide; regurgitation (of blood)
逆鱗|げきりん|imperial wrath; one's superior's anger
丘上|きゅうじょう|hilltop
丘疹|きゅうしん|pimple; papule
丘陵|きゅうりょう|hill
丘陵地帯|きゅうりょうちたい|hill country; hilly area
久しい|ひさしい|long (time); long-continued; old (story)
久しく|ひさしく|for a long time
久しぶりに|ひさしぶりに|after a long time; for the first time in a while
久し振りに|ひさしぶりに|after a long time; for the first time in a while
久しぶり|ひさしぶり|a long time (since the last time); it's been a while (since I last saw, mailed, etc., you)
久し振り|ひさしぶり|a long time (since the last time); it's been a while (since I last saw, mailed, etc., you)
久懐|きゅうかい|long-cherished hope
久慈目|くじめ|spotbelly greenling (Hexagrammos agrammus)
クジメ||spotbelly greenling (Hexagrammos agrammus)
久方|ひさかた|sky; moon
久堅|ひさかた|sky; moon
久方ぶり|ひさかたぶり|long time (since the last time); many days
久方振り|ひさかたぶり|long time (since the last time); many days
久濶を叙す|きゅうかつをじょす|to apologize for a long neglect of friends (apologise)
仇敵|きゅうてき|bitter enemy
仇討ち|あだうち|vengeance; revenge; retaliation
あだ討ち|あだうち|vengeance; revenge; retaliation
仇討|あだうち|vengeance; revenge; retaliation
敵討ち|かたきうち|vengeance; revenge; retaliation
敵討|かたきうち|vengeance; revenge; retaliation
かたき討|かたきうち|vengeance; revenge; retaliation
かたき討ち|かたきうち|vengeance; revenge; retaliation
仇同士|かたきどうし|mutual enemies
仇同士|てきどうし|mutual enemies
敵同士|かたきどうし|mutual enemies
敵同士|てきどうし|mutual enemies
仇讎|きゅうしゅう|revenge; bitter enemy
休する|きゅうする|to come to an end
休する|きゅうする|to rest
休ませる|やすませる|to excuse (someone); to give a holiday to; to make (someone) rest
休まる|やすまる|to be rested; to feel at ease; to repose; to be relieved
安まる|やすまる|to be rested; to feel at ease; to repose; to be relieved
休み|やすみ|rest; recess; respite
休み|やすみ|vacation; holiday; absence; suspension
休み|やすみ|dormancy (of a silkworm prior to moulting)
休み休み|やすみやすみ|resting at times
休み休み|やすみやすみ|with careful thought; after proper consideration
休み所|やすみどころ|resting place; haven of rest
休み場|やすみば|resting place
休み茶屋|やすみぢゃや|wayside teahouse; tea house used as a resting place
休み茶屋|やすみじゃや|wayside teahouse; tea house used as a resting place
休茶屋|やすみぢゃや|wayside teahouse; tea house used as a resting place
休茶屋|やすみじゃや|wayside teahouse; tea house used as a resting place
休み中|やすみちゅう|closed; on break; private party
休む|やすむ|to be absent; to take a day off
休む|やすむ|to rest; to have a break
休む|やすむ|to go to bed; to (lie down to) sleep; to turn in; to retire
休む|やすむ|to stop doing some ongoing activity for a time; to suspend business
休める|やすめる|to rest; to suspend; to give relief
休意|きゅうい|peace; tranquility; tranquillity
休演|きゅうえん|suspending performance
休暇|きゅうか|holiday; day off; furlough; absence (from work)
休暇願い|きゅうかねがい|application for leave
休火山|きゅうかざん|dormant volcano
休会|きゅうかい|adjournment; recess
休会明け|きゅうかいあけ|reassembling of a legislature
休学|きゅうがく|temporary absence from school
休刊|きゅうかん|suspension of publication
休閑|きゅうかん|fallowing
休閑地|きゅうかんち|fallow land
休業|きゅうぎょう|closed (e.g. store); business suspended; shutdown; holiday
休業日|きゅうぎょうび|business holiday
休憩|きゅうけい|rest; break; recess; intermission
休けい|きゅうけい|rest; break; recess; intermission
休憩時間|きゅうけいじかん|rest time; intermission
休憩室|きゅうけいしつ|break room; lounge (e.g. in an onsen); resting room
休憩所|きゅうけいじょ|rest area; rest stop; service area; SA; parking area (e.g. off highways); PA
休校|きゅうこう|closing school (temporarily); dropping one's studies
休航|きゅうこう|suspension of sailings
休講|きゅうこう|lecture cancellation; cancelling (lecture, class, etc.)
休載|きゅうさい|nonappearance in print; stopping publication (of serialized content in newspapers, magazines, etc.)
休止|きゅうし|pause; cessation; rest
休止符|きゅうしふ|rest
休祥|きゅうしょう|good omen
休場|きゅうじょう|theater closure; theatre closure; stage absence
休場|きゅうじょう|wrestler's absence from the tournament
休職|きゅうしょく|temporary retirement; suspension from office
休診|きゅうしん|being closed (e.g. clinic); not seeing patients; not accepting patients
休診日|きゅうしんび|doctor's no-consultation day
休錘|きゅうすい|idle spindles
休戚|きゅうせき|weal and woe; welfare
休戦|きゅうせん|cease-fire; truce; armistice
休戦会談|きゅうせんかいだん|armistice conference
休戦記念日|きゅうせんきねんび|Armistice Day
休戦協定|きゅうせんきょうてい|cease-fire agreement
休戦条約|きゅうせんじょうやく|armistice treaty
休息|きゅうそく|rest; relief; relaxation
休足|きゅうそく|rest; relief; relaxation
休息時間|きゅうそくじかん|recess; break; breathing spell
休息所|きゅうそくじょ|lobby; lounge; recreation room; break room
休怠|きゅうたい|laziness; neglect
休廷|きゅうてい|court recess
休廷日|きゅうていび|no-court day
休転|きゅうてん|not running (elevator)
休電|きゅうでん|electricity cut-off
休電日|きゅうでんび|no-electricity day
休日|きゅうじつ|holiday; day off
休日明け|きゅうじつあけ|the day after a holiday
休泊所|きゅうはくじょ|temporary quarters
休符|きゅうふ|rest
休眠|きゅうみん|idle; dormant
休眠期|きゅうみんき|dormant season
休養|きゅうよう|rest; break; recreation
休養室|きゅうようしつ|rest or recreation room
及ばずながら|およばずながら|to the best of my ability, poor though it be
及ばず乍ら|およばずながら|to the best of my ability, poor though it be
及ばない|およばない|unnecessary
及ばない|およばない|unattainable
及び|および|and; as well as
及び腰|およびごし|bent back
及び腰|およびごし|indecisive attitude; timidity; lack of nerve
及び難い|およびがたい|hard to attain to
及びがたい|およびがたい|hard to attain to
及ぶ|およぶ|to reach; to amount to; to befall; to happen to; to extend
及ぶ|およぶ|to be up to the task; to come up to
及ぶ|およぶ|to compare with; to be a match (for)
及ぶ|およぶ|to commit (a crime)
及ぶ|およぶ|to require (to do) (usu. used in the negative)
及ぼす|およぼす|to exert; to cause; to exercise
及第|きゅうだい|passing an examination
及第者|きゅうだいしゃ|successful examinee
及第点|きゅうだいてん|passing mark
及落|きゅうらく|success or failure (in examinations)
吸い込む|すいこむ|to inhale; to breathe in; to suck up; to imbibe
吸い込む|すいこむ|to absorb; to soak up
吸込む|すいこむ|to inhale; to breathe in; to suck up; to imbibe
吸込む|すいこむ|to absorb; to soak up
吸いこむ|すいこむ|to inhale; to breathe in; to suck up; to imbibe
吸いこむ|すいこむ|to absorb; to soak up
吸い取る|すいとる|to suck up; to absorb; to squeeze (money)
吸取る|すいとる|to suck up; to absorb; to squeeze (money)
吸いとる|すいとる|to suck up; to absorb; to squeeze (money)
吸い付く|すいつく|to stick to
吸いつく|すいつく|to stick to
吸付く|すいつく|to stick to
吸う|すう|to smoke; to breathe in; to inhale
吸う|すう|to suck; to sip; to slurp
吸う|すう|to absorb; to soak up
吸う|すう|to kiss
喫う|すう|to smoke; to breathe in; to inhale
喫う|すう|to suck; to sip; to slurp
喫う|すう|to absorb; to soak up
喫う|すう|to kiss
吸引|きゅういん|absorption; suction; aspiration
吸引|きゅういん|attraction; draw
吸気|きゅうき|inhalation
吸気|きゅうき|intake (e.g. of air)
吸金剛|ここんごう|Hevajra; Eternal Vajra (tantric Buddhist deity)
吸血|きゅうけつ|bloodsucking; sucking blood
吸血鬼|きゅうけつき|vampire; bloodsucker
吸口|すいくち|mouthpiece; cigarette holder; cigarette filter (tip)
吸口|すいくち|fragrant garnish (for soup)
吸い口|すいくち|mouthpiece; cigarette holder; cigarette filter (tip)
吸い口|すいくち|fragrant garnish (for soup)
吸収|きゅうしゅう|absorption; suction; attraction
吸い上げる|すいあげる|to suck up; to pump up; to draw up; to absorb; to extract
吸い上げる|すいあげる|to siphon off (profits, etc.); to exploit
吸い上げる|すいあげる|to take up others' opinions, hopes, etc.
吸上げる|すいあげる|to suck up; to pump up; to draw up; to absorb; to extract
吸上げる|すいあげる|to siphon off (profits, etc.); to exploit
吸上げる|すいあげる|to take up others' opinions, hopes, etc.
吸塵|きゅうじん|dust vacuuming
吸着|きゅうちゃく|adsorption; attachment; adhesion; sorption
吸入|きゅうにゅう|inhalation
吸盤|きゅうばん|suction cup; suction pad; sucker
吸い物|すいもの|clear broth soup, with ingredients and garnish floating in and on it
吸物|すいもの|clear broth soup, with ingredients and garnish floating in and on it
宮崎県|みやざきけん|Miyazaki prefecture (Kyushu)
宮参り|みやまいり|shrine visit
宮司|ぐうじ|chief priest
宮城|きゅうじょう|Imperial Palace (esp. from 1888 to 1946)
宮城県|みやぎけん|Miyagi prefecture (Tōhoku area)
宮中|きゅうちゅう|imperial court
宮廷|きゅうてい|imperial court; royal court
宮殿|きゅうでん|palace
宮内庁|くないちょう|Imperial Household Agency
弓|ゆみ|bow (and arrow)
弓|ゆみ|archery
弓|ゆみ|bow (for a violin, etc.)
弓|ゆ|bow (and arrow)
弓|ゆ|archery
弓|ゆ|bow (for a violin, etc.)
弓具|きゅうぐ|things used in archery
弓なり|ゆみなり|arched; crescent-shaped; bow-shaped; segment
弓形|ゆみなり|arched; crescent-shaped; bow-shaped; segment
弓形|ゆみがた|arched; crescent-shaped; bow-shaped; segment
弓形|きゅうけい|arched; crescent-shaped; bow-shaped; segment
弓弦|ゆみづる|bowstring
弓弦|ゆづる|bowstring
弓弦|ゆづら|bowstring
弓術|きゅうじゅつ|(Japanese) archery
弓道|きゅうどう|(Japanese) archery
弓矢|ゆみや|bow and arrow
弓矢|きゅうし|bow and arrow
急|きゅう|sudden; abrupt; unexpected
急|きゅう|urgent; pressing
急|きゅう|steep; sharp; precipitous
急|きゅう|rapid; swift; fast
急|きゅう|emergency; crisis; danger
急|きゅう|urgency; hurrying; haste
急|きゅう|(in gagaku or noh) end of a song
急いで|いそいで|hurriedly
急かす|せかす|to hurry (up); to urge on; to press; to rush
急がば回れ|いそがばまわれ|more haste, less speed; slow and steady wins the race
急がば廻れ|いそがばまわれ|more haste, less speed; slow and steady wins the race
急きたてられる|せきたてられる|to be hurried; to be hastened; to be hard pressed
急き込む|せきこむ|to sound agitated, hurried, flustered; to be impatient
急込む|せきこむ|to sound agitated, hurried, flustered; to be impatient
急き立てる|せきたてる|to hurry (up); to press; to urge on
急きたてる|せきたてる|to hurry (up); to press; to urge on
せき立てる|せきたてる|to hurry (up); to press; to urge on
急立てる|せきたてる|to hurry (up); to press; to urge on
急ぎ|いそぎ|haste; hurry; expedition; speed; dispatch
急ぎ足|いそぎあし|fast pace; quick pace
急足|いそぎあし|fast pace; quick pace
急ぐ|いそぐ|to hurry; to rush; to hasten; to make something happen sooner
急な坂|きゅうなさか|sudden drop; precipitous slope
急患|きゅうかん|emergency case
急激|きゅうげき|sudden; precipitous; radical
急劇|きゅうげき|sudden; precipitous; radical
急行|きゅうこう|moving at high speed
急行|きゅうこう|express (e.g. train that bypasses many stations)
急行券|きゅうこうけん|express ticket
急降下|きゅうこうか|swoop; nose dive
急坂|きゅうはん|steep slope; steep gradient
急坂|きゅうさか|steep slope; steep gradient
急死|きゅうし|sudden death
急襲|きゅうしゅう|raid; assault; descent
急所|きゅうしょ|vital part (of the body); tender spot; weak point; vitals
急所|きゅうしょ|key point; essential point; crux (of a problem); heart (of a matter)
急所|きゅうしょ|male crotch (as a target in fighting)
急上昇|きゅうじょうしょう|sudden rise; steep climb; zoom
急場|きゅうば|emergency
急進|きゅうしん|rapid progress; radical
急進主義者|きゅうしんしゅぎしゃ|radical (person)
急須|きゅうす|small teapot
急須の口|きゅうすのくち|spout of a teapot
急性|きゅうせい|acute (e.g. illness)
急逝|きゅうせい|sudden death
急切|きゅうせつ|under pressure; urgency
急設|きゅうせつ|hurried construction; speedy laying
急送|きゅうそう|dispatch; despatch
急増|きゅうぞう|rapid increase; proliferation; surge; explosion
急造|きゅうぞう|hurried construction
急速|きゅうそく|rapid (e.g. progress)
急停車|きゅうていしゃ|(coming to a) sudden stop
急転直下|きゅうてんちょっか|suddenly and precipitately; take a sudden turn
急騰|きゅうとう|sudden rise; jump; sharp rise
急派|きゅうは|dispatch; despatch
急迫|きゅうはく|urgency; imminence
急病|きゅうびょう|sudden illness
急変|きゅうへん|sudden turn; sudden change
急変|きゅうへん|(suddenly occurring) accident; emergency
急募|きゅうぼ|urgent recruit
急務|きゅうむ|urgent business; pressing need; imperative
急用|きゅうよう|urgent business
急落|きゅうらく|sudden fall; sharp fall; sudden drop; sharp drop
急流|きゅうりゅう|swift current; rapids
急遽|きゅうきょ|hurriedly; in a hurry; in haste
急遽|きゅうきょ|sudden
急きょ|きゅうきょ|hurriedly; in a hurry; in haste
急きょ|きゅうきょ|sudden
急拠|きゅうきょ|hurriedly; in a hurry; in haste
急拠|きゅうきょ|sudden
救い|すくい|help; aid; relief; (religious) salvation; (Christian) grace; providence
救い出す|すくいだす|to rescue; to free
救い上げる|すくいあげる|to pick up and rescue
救う|すくう|to rescue from; to help out of; to save
救援|きゅうえん|relief; rescue
救急|きゅうきゅう|first-aid; emergency (aid)
救急ヘリコプター|きゅうきゅうヘリコプター|ambulance helicopter
救急車|きゅうきゅうしゃ|ambulance
救急箱|きゅうきゅうばこ|first-aid kit
救護|きゅうご|relief; aid
救護活動|きゅうごかつどう|relief (aid) work
救護班|きゅうごはん|relief squad; rescue party
救済|きゅうさい|relief; aid; rescue; salvation; help
救済策|きゅうさいさく|relief measure
救済者|きゅうさいしゃ|savior
救出|きゅうしゅつ|rescue; extricate; reclaim; deliverance
救出作戦|きゅうしゅつさくせん|rescue mission; evacuation operation
救助|きゅうじょ|relief; aid; rescue
救世|きゅうせい|salvation
救世|ぐぜ|salvation
救世|くせ|salvation
救世軍|きゅうせいぐん|Salvation Army
救世主|きゅうせいしゅ|saviour; messiah
救難|きゅうなん|rescue; salvage
救難ヘリコプター|きゅうなんヘリコプター|rescue helicopter
救貧|きゅうひん|poor relief
救命|きゅうめい|lifesaving
救命センター|きゅうめいセンター|hospital emergency room
救命ボート|きゅうめいボート|lifeboat
救命艇|きゅうめいてい|lifeboat
朽ちる|くちる|to rot; to decay
朽ちる|くちる|to die in obscurity
朽ちる|くちる|to be forgotten with time
朽ち果てる|くちはてる|to rot away; to crumble to dust; to decay completely; to fall to ruins; to rust away
朽ち果てる|くちはてる|to die in obscurity
朽果てる|くちはてる|to rot away; to crumble to dust; to decay completely; to fall to ruins; to rust away
朽果てる|くちはてる|to die in obscurity
求む|もとむ|to want; to wish for
求む|もとむ|to request; to demand
求む|もとむ|to seek; to search for; to pursue (pleasure); to hunt (a job)
求む|もとむ|to purchase; to buy
求め|もとめ|request; appeal; claim; demand
求め|もとめ|purchase
求める|もとめる|to want; to wish for
求める|もとめる|to request; to demand
求める|もとめる|to seek; to search for; to pursue (pleasure); to hunt (a job)
求める|もとめる|to purchase; to buy
求愛|きゅうあい|courting; wooing; making advances
求愛誇示|きゅうあいこじ|courtship display
求縁|きゅうえん|courtship
求刑|きゅうけい|recommended sentence; prosecution's demand for punishment
求婚|きゅうこん|marriage proposal; courtship
求婚広告|きゅうこんこうこく|matrimonial advertisement
求婚者|きゅうこんしゃ|suitor
求妻広告|きゅうさいこうこく|advertisement for a wife
求償|きゅうしょう|claim for damages
求職|きゅうしょく|job hunting; seeking employment
求職係|きゅうしょくがかり|applicant interviewer
求職広告|きゅうしょくこうこく|situation-wanted advertisement
求職者|きゅうしょくしゃ|job applicant
求心力|きゅうしんりょく|centripetal force
求心力|きゅうしんりょく|unifying force; cohesive power
求人|きゅうじん|offer of job (situation)
求人口|きゅうじんぐち|job vacancy
求人広告|きゅうじんこうこく|help wanted advertisements
求人誌|きゅうじんし|job advertisement
求人者|きゅうじんしゃ|employer; someone hunting for workers
求積|きゅうせき|mensuration
求道|きゅうどう|seeking for truth
求道|ぐどう|seeking for truth
求道者|きゅうどうしゃ|investigator; one who seeks the way
求法者|ぐほうしゃ|inquirer
汲み取る|くみとる|to scoop out; to pump out
汲み取る|くみとる|to understand; to surmise
くみ取る|くみとる|to scoop out; to pump out
くみ取る|くみとる|to understand; to surmise
汲みとる|くみとる|to scoop out; to pump out
汲みとる|くみとる|to understand; to surmise
酌み取る|くみとる|to scoop out; to pump out
酌み取る|くみとる|to understand; to surmise
汲取る|くみとる|to scoop out; to pump out
汲取る|くみとる|to understand; to surmise
汲み上げる|くみあげる|to draw (water, etc.); to scoop up; to pump up; to dip up
汲み上げる|くみあげる|to draw on (ideas) (from subordinates, the public, etc.); to take into account; to adopt
