尾根|おね|(mountain) ridge; spur
門松|かどまつ|New Year's pine decoration
門地|もんち|degree; lineage
門弟|もんてい|disciple; pupil; follower
門徒|もんと|follower; believer
門閥|もんばつ|lineage; pedigree; good family
門番|もんばん|gatekeeper; door guard; doorman; concierge; janitor
門扉|もんぴ|door(s) of a gate
匁|もんめ|monme (unit of weight, 3.75 g)
也|なり|to be (an affirmation)
也|なり|to be (location)
也|なり|sum of money (used to express an exact sum on a receipt, envelope, certificate, etc.)
冶|や|melting
冶金|やきん|metallurgy
冶金学|やきんがく|metallurgy (the science)
冶金学者|やきんがくしゃ|metallurgist
冶工|やこう|metallurgical worker
夜|よる|evening; night
夜|よ|evening; night
夜ごと|よごと|every night; nightly
夜毎|よごと|every night; nightly
夜なべ|よなべ|night work
夜な夜な|よなよな|every evening; night after night
夜もすがら|よもすがら|all night
終夜|よもすがら|all night
夜暗|やあん|dead of night; shades of night; black of night
夜闇|やあん|dead of night; shades of night; black of night
夜闇|よやみ|dead of night; shades of night; black of night
夜陰|やいん|shades of evening; dead of night
夜烏|よがらす|night crow
夜雨|やう|night rain
夜営|やえい|encamping at night
夜伽|よとぎ|attending someone through the night (guard, nurse)
夜伽|よとぎ|act of a woman sleeping with a man (at his bidding)
夜伽|よとぎ|keeping overnight vigil over body before burial
夜稼ぎ|よかせぎ|night work; burglary
夜会|やかい|evening party
夜会結び|やかいむすび|evening hairdo
夜会服|やかいふく|evening dress
夜回り|よまわり|night watch; night watchman
夜学|やがく|evening course; night-school
夜学校|やがっこう|night school
夜間|やかん|at night; nighttime
夜間営業|やかんえいぎょう|open at night
夜間勤務|やかんきんむ|night work
夜間撮影|やかんさつえい|night photography
夜間中学|やかんちゅうがく|evening middle school
夜間部|やかんぶ|night-school season
夜気|やき|night air; stillness of night; cool evening
夜汽車|よぎしゃ|night train
夜詰め|よづめ|night watch
夜宮|よみや|festival-eve vigil; eve of a festival vigil
宵宮|よみや|festival-eve vigil; eve of a festival vigil
夜業|やぎょう|night work; night shift
夜曲|やきょく|nocturne
夜勤|やきん|night shift
夜具|やぐ|bedding; bedclothes
夜空|よぞら|night sky
夜景|やけい|night view; night skyline; nightscape
夜警|やけい|night watchman
夜光|やこう|nocturnal luminescence; noctilucence
夜光時計|やこうどけい|luminous watch; luminous clock
夜光虫|やこうちゅう|phosphorescent animalcule; noctiluca
夜光塗料|やこうとりょう|luminous paint
夜攻め|よぜめ|night attack
夜叉|やしゃ|yaksha (Buddhist guardian deities sometimes depicted as demonic warriors)
夜桜|よざくら|cherry trees at evening
夜晒|よざらし|leaving things exposed outside all night
夜仕事|よしごと|night work
夜市|よいち|night market
夜襲|やしゅう|night attack; nocturnal assault
夜商い|よあきない|night trading
夜商人|よあきんど|night shopkeeper
夜上がり|よあがり|weather clearing at night
夜色|やしょく|shades of night; night scene
夜食|やしょく|supper; night meal; late-night snack; "fourth meal"; midnight snack
夜深い|よぶかい|(staying) up late at night
夜戦|やせん|night warfare
夜船|よふね|night boat
夜前|やぜん|last night
夜想曲|やそうきょく|nocturne
夜鷹|よたか|grey nightjar (Caprimulgus indicus)
夜鷹|よたか|nightjar (any bird of family Caprimulgidae); goatsucker
夜鷹|よたか|streetwalker; low class prostitute (Edo period)
夜鷹|よたか|soba vendors who walk around at night; soba sold by these vendors
蚊母鳥|よたか|grey nightjar (Caprimulgus indicus)
蚊母鳥|よたか|nightjar (any bird of family Caprimulgidae); goatsucker
蚊母鳥|ぶんぼちょう|grey nightjar (Caprimulgus indicus)
蚊母鳥|ぶんぼちょう|nightjar (any bird of family Caprimulgidae); goatsucker
怪鴟|よたか|grey nightjar (Caprimulgus indicus)
怪鴟|よたか|nightjar (any bird of family Caprimulgidae); goatsucker
ヨタカ||grey nightjar (Caprimulgus indicus)
ヨタカ||nightjar (any bird of family Caprimulgidae); goatsucker
ヨタカ||streetwalker; low class prostitute (Edo period)
ヨタカ||soba vendors who walk around at night; soba sold by these vendors
夜着|よぎ|night-clothes; heavy kimono-like quilt
夜中|よなか|middle of the night; dead of night
夜なか|よなか|middle of the night; dead of night
夜昼|よるひる|day and night
夜長|よなが|long night (esp. of autumn)
夜永|よなが|long night (esp. of autumn)
夜鳥|やちょう|nocturnal bird
夜通し|よどおし|all night; throughout the night
夜どおし|よどおし|all night; throughout the night
夜釣り|よづり|night angling; night fishing
夜釣|よづり|night angling; night fishing
夜盗|やとう|night burglar
夜盗虫|やとうむし|cutworm; army worm
夜盗虫|よとうむし|cutworm; army worm
夜討ち|ようち|night attack
夜逃げ|よにげ|night flight (without paying); skipping out by night; moonlight flit
夜働き|よばたらき|night work
夜道|よみち|street at night; making a night journey
夜凪|よなぎ|evening calm
夜尿症|やにょうしょう|bed-wetting; enuresis
夜這い|よばい|creeping at night into a woman's bedroom; stealing into a girl's bedroom at night to make love; sneaking visit
婚|よばい|creeping at night into a woman's bedroom; stealing into a girl's bedroom at night to make love; sneaking visit
婚い|よばい|creeping at night into a woman's bedroom; stealing into a girl's bedroom at night to make love; sneaking visit
夜泊|やはく|night mooring
夜風|よかぜ|night wind
夜分|やぶん|evening; night; nighttime
夜歩き|よあるき|walking around at night
夜霧|よぎり|night fog
夜明かし|よあかし|staying up all night; all-night vigil
夜明し|よあかし|staying up all night; all-night vigil
夜明け|よあけ|dawn; daybreak
夜明|よあけ|dawn; daybreak
夜明けの明星|よあけのみょうじょう|morning star
夜盲症|やもうしょう|night blindness
夜目にも明るい|よめにもあかるい|bright even in the dark; clearly visible at night
夜遊び|よあそび|nightlife; night amusements
夜来|やらい|overnight; since last night
夜嵐|よあらし|night storm
夜立ち|よだち|setting out at night
夜露|よつゆ|evening dew; night dew
夜露|やろ|evening dew; night dew
夜郎自大|やろうじだい|throwing one's weight around in a small group without knowing one's real worth in a larger world outside; being a big fish in a small pond
野|の|plain; field
野|の|hidden (structural) member
野|の|wild
野|や|plain; field
野|や|lacking a political post
野|ぬ|plain; field
埜|の|plain; field
埜|の|hidden (structural) member
埜|の|wild
埜|や|plain; field
埜|や|lacking a political post
埜|ぬ|plain; field
野猿|やえん|wild monkey
野外|やがい|outdoors; outside; open air
野外|やがい|fields; outskirts; suburbs
野外劇|やがいげき|pageant
野外撮影|やがいさつえい|outdoor photography
野球|やきゅう|baseball
野球場|やきゅうじょう|baseball ground; baseball stadium
野球部|やきゅうぶ|baseball club (i.e. baseball team of a university, corporation, etc.)
野牛|やぎゅう|buffalo
野鶏|やけい|fowl
野犬|やけん|stray dog; ownerless dog
野原|のはら|field
野菜|やさい|vegetable
野菜畑|やさいばたけ|vegetable garden; kitchen garden
野次|やじ|hooting; jeering; heckling
弥次|やじ|hooting; jeering; heckling
野次る|やじる|to jeer (at); to hoot; to boo; to catcall; to heckle
弥次る|やじる|to jeer (at); to hoot; to boo; to catcall; to heckle
ヤジる||to jeer (at); to hoot; to boo; to catcall; to heckle
野趣|やしゅ|rural beauty; rusticity; rustic beauty
野獣|やじゅう|beast; monster; wild animal
野心|やしん|ambition; aspiration
野心|やしん|sinister designs; treachery
野心家|やしんか|ambitious person
野人|やじん|rustic; country bumpkin; countryfolk
野人|やじん|ruffian; unrefined person
野人|やじん|non-politician; non-government person; civilian
野人|やじん|Yeren; legendary mountain-dwelling hominid (similar to a sasquatch, yeti, etc.) of China's Hubei province
野性|やせい|wildness (plants, animals, etc.); uncouth; rough; unpolished
野生|やせい|wild; growing wild; living in the wild
野生|やせい|I
野生動物|やせいどうぶつ|wild animal
野生動物保護団体|やせいどうぶつほごだんたい|wildlife protection organization (organisation)
野戦|やせん|field battle; field operations; open battle
野戦|やせん|battlefield; battlefront
野戦特科|やせんとっか|field artillery
野戦病院|やせんびょういん|field hospital
野戦砲兵|やせんほうへい|field artillery
野ねずみ|のねずみ|field mouse; meadow mouse
野鼠|のねずみ|field mouse; meadow mouse
ノネズミ||field mouse; meadow mouse
野草|のぐさ|wild grasses; field grass; wildflowers
野草|やそう|wild grasses; field grass; wildflowers
野鳥|やちょう|wild bird
野党|やとう|opposition party; political opposition; opposition
野蛮|やばん|savage; uncivilized; uncivilised; barbarian
野蛮人|やばんじん|barbarian; savage
野卑|やひ|vulgar; mean; base; coarse; crude
野鄙|やひ|vulgar; mean; base; coarse; crude
野暮|やぼ|boorish; unsophisticated; unrefined; uncouth; tasteless; insensitive; thoughtless; dumb
ヤボ||boorish; unsophisticated; unrefined; uncouth; tasteless; insensitive; thoughtless; dumb
野放し|のばなし|leaving something to take care of itself
野放図|のほうず|unregulated; unruly; wild; unbridled
野放途|のほうず|unregulated; unruly; wild; unbridled
野望|やぼう|ambition; aspiration
野良|のら|field; farm
野良|のら|rural; agricultural
野良|のら|stray (e.g. dog, cat)
野良|のら|unauthorised (esp. mobile phone application)
野良犬|のらいぬ|stray dog
野良仕事|のらしごと|farm work; field labour; field labor
野良猫|のらねこ|stray cat; alley cat
のら猫|のらねこ|stray cat; alley cat
野郎|やろう|guy; fellow; chap; buddy
野郎|やろう|bastard; asshole; arsehole; son of a bitch
野ばら|のばら|wild rose
野ばら|のばら|multiflora rose (Rosa multiflora)
野バラ|のバラ|wild rose
野バラ|のバラ|multiflora rose (Rosa multiflora)
野薔薇|のばら|wild rose
野薔薇|のばら|multiflora rose (Rosa multiflora)
ノバラ||wild rose
ノバラ||multiflora rose (Rosa multiflora)
弥久|びきゅう|extending over a long time
弥生|やよい|third month of the lunar calendar
弥生|やよい|Yayoi period (ca. 300 BCE - 300 CE)
弥生|いやおい|third month of the lunar calendar
弥生|いやおい|thick growth (of grass, etc.)
弥生|いやおい|Yayoi period (ca. 300 BCE - 300 CE)
弥生時代|やよいじだい|Yayoi period (c. 300 BCE-300 CE)
弥縫|びほう|patching up
矢|や|arrow
矢|や|wedge; chock
矢|さ|arrow
矢|さ|wedge; chock
箭|や|arrow
箭|や|wedge; chock
箭|さ|arrow
箭|さ|wedge; chock
矢印|やじるし|arrow (mark or symbol); directional marker or indicator
→|やじるし|arrow (mark or symbol); directional marker or indicator
←|やじるし|arrow (mark or symbol); directional marker or indicator
↑|やじるし|arrow (mark or symbol); directional marker or indicator
↓|やじるし|arrow (mark or symbol); directional marker or indicator
矢鱈|やたら|indiscriminately; blindly; at random; recklessly; thoughtlessly; excessively; profusely
矢鱈|やたら|indiscriminate; random; excessive
矢面|やおもて|bearing the full brunt of something
矢面に立つ|やおもてにたつ|to bear the full brunt of
厄|やく|misfortune; bad luck; evil; disaster
厄介|やっかい|trouble; burden; nuisance; bother; worry
厄介|やっかい|care; dependence; support; kindness; obligation; staying (with a person)
厄介事|やっかいごと|trouble; difficulty; burden
厄介ごと|やっかいごと|trouble; difficulty; burden
厄介者|やっかいもの|dependent; parasite; hanger-on; burden
厄介払い|やっかいばらい|driving off a troublesome person; getting rid of a nuisance
厄介物|やっかいもの|nuisance; encumbrance
厄災|やくさい|calamity; disaster; accident
厄前|やくまえ|the year before the unlucky year
厄難|やくなん|calamity; evil; misfortune
厄日|やくび|unlucky day; evil day
厄年|やくどし|unlucky year; critical age
厄負け|やくまけ|victimized by the unlucky year; victimised by the unlucky year
厄払い|やくはらい|exorcism; ceremonial cleansing from evil influence
厄払い|やくばらい|exorcism; ceremonial cleansing from evil influence
厄落とし|やくおとし|escape from evil; exorcism
厄落し|やくおとし|escape from evil; exorcism
役|えき|war; campaign; battle
役|えき|unpaid work (ritsuryo system); forced labor
役|えだち|war; campaign; battle
役|えだち|unpaid work (ritsuryo system); forced labor
役|やく|use; service; role
役|やく|post; position
役|やく|scoring combination (e.g. in mahjong, card games, etc.); hand
役に立つ|やくにたつ|to be helpful; to be useful
役にたつ|やくにたつ|to be helpful; to be useful
やくに立つ|やくにたつ|to be helpful; to be useful
役員|やくいん|officer; official; executive; staff
役割|やくわり|part; assigning (allotment of) parts; role; duties
役割り|やくわり|part; assigning (allotment of) parts; role; duties
役者|やくしゃ|actor; actress
役所|やくしょ|government office; public office
役場|やくば|town hall
役職|やくしょく|post; official position
役職|やくしょく|managerial position; executive position
役人|やくにん|government official
役得|やくとく|emoluments; perquisite; side benefit
役柄|やくがら|role
役目|やくめ|duty; role; function
役立つ|やくだつ|to be useful; to be helpful; to serve the purpose
役だつ|やくだつ|to be useful; to be helpful; to serve the purpose
約|やく|approximately; about
約|やく|promise
約|やく|shortening; reduction; simplification
約|やく|contraction (in phonetics)
約款|やっかん|agreement; stipulation; article; clause
約数|やくすう|divisor; factor; measure
約束|やくそく|promise; agreement; arrangement; one's word; contract; pact; appointment; engagement; date
約束|やくそく|convention; rule
約束|やくそく|destiny; fate
約定|やくじょう|agreement; stipulation; contract
約半分|やくはんぶん|approximately half
薬|くすり|medicine; pharmaceuticals; (legal) drugs; pill; ointment; salve
薬|くすり|efficacious chemical (gunpowder, pesticide, etc.)
薬|くすり|(pottery) glaze
薬|くすり|small bribe
薬屋|くすりや|pharmacy; chemist; drug store
薬価|やっか|National Health Insurance drug price; NHI drug price
薬価|やくか|National Health Insurance drug price; NHI drug price
薬学|やくがく|(study of) pharmacy; pharmaceutics
薬局|やっきょく|pharmacy; chemist (shop); drugstore
薬効物|やっこうぶつ|medically effective ingredient
薬剤|やくざい|medicine; drug
薬剤師|やくざいし|chemist; pharmacist; apothecary
薬師|やくし|Bhaisajyaguru; Pindola; The Healing Buddha
薬指|くすりゆび|ring finger; fourth finger
くすり指|くすりゆび|ring finger; fourth finger
薬草|やくそう|medicinal plants
薬箱|くすりばこ|medicine box
薬品|やくひん|medicine; chemicals
薬品会社|やくひんがいしゃ|pharmaceutical company
薬物|やくぶつ|medicines; drugs
薬味|やくみ|condiment (e.g. grated or chopped topping such as daikon, wasabi, ginger, green onion, red pepper); spice
薬莢|やっきょう|(ammunition) cartridge; shell case
薬きょう|やっきょう|(ammunition) cartridge; shell case
訳|わけ|conclusion from reasoning, judgement or calculation based on something read or heard; reason; cause; meaning; circumstances; situation
訳が分からない|わけがわからない|incomprehensible; uncomprehending
訳がわからない|わけがわからない|incomprehensible; uncomprehending
わけが分からない|わけがわからない|incomprehensible; uncomprehending
訳が分らない|わけがわからない|incomprehensible; uncomprehending
訳す|やくす|to translate; to interpret
訳語|やくご|translational equivalent; term(s) used in translation; gloss; equivalent term in another language
訳者|やくしゃ|translator
訳書|やくしょ|translation
訳注|やくちゅう|translation with notes; translator's notes
訳本|やくほん|translated book
躍りかかる|おどりかかる|to spring at; to leap upon
躍り掛かる|おどりかかる|to spring at; to leap upon
躍り懸かる|おどりかかる|to spring at; to leap upon
躍り掛る|おどりかかる|to spring at; to leap upon
躍り懸る|おどりかかる|to spring at; to leap upon
躍り込む|おどりこむ|to jump into; to rush into
躍り上がる|おどりあがる|to spring up; to leap to one's feet; to jump up and down
踊り上がる|おどりあがる|to spring up; to leap to one's feet; to jump up and down
おどり上がる|おどりあがる|to spring up; to leap to one's feet; to jump up and down
踊る|おどる|to dance (orig. a hopping dance)
躍る|おどる|to jump; to leap
躍る|おどる|to pound (of one's heart, i.e. with excitement); to throb
躍る|おどる|to be messily written
跳る|おどる|to jump; to leap
跳る|おどる|to pound (of one's heart, i.e. with excitement); to throb
跳る|おどる|to be messily written
躍起|やっき|desperation; eagerness
躍進|やくしん|making rapid progress; making great advances; rush; dash; onslaught
躍動|やくどう|lively motion; throb
躍如|やくじょ|vivid; lifelike; graphic
柳|やなぎ|willow (any tree of genus Salix)
柳|やなぎ|weeping willow (Salix babylonica)
楊|やなぎ|willow (any tree of genus Salix)
楊|やなぎ|weeping willow (Salix babylonica)
楊柳|やなぎ|willow (any tree of genus Salix)
楊柳|やなぎ|weeping willow (Salix babylonica)
楊柳|ようりゅう|willow (any tree of genus Salix)
ヤナギ||willow (any tree of genus Salix)
ヤナギ||weeping willow (Salix babylonica)
柳腰|やなぎごし|slim waist
柳腰|やなぎごし|waist of a willow tree
柳川鍋|やながわなべ|loach stew; loaches boiled in soy sauce with stewed eggs and slivered burdock root
柳眉|りゅうび|beautiful eyebrows
柳び|りゅうび|beautiful eyebrows
藪をつついて蛇を出す|やぶをつついてへびをだす|to stir up trouble for oneself; to scare out a snake by poking at the brush
薮をつついて蛇を出す|やぶをつついてへびをだす|to stir up trouble for oneself; to scare out a snake by poking at the brush
藪を突いて蛇を出す|やぶをつついてへびをだす|to stir up trouble for oneself; to scare out a snake by poking at the brush
薮を突いて蛇を出す|やぶをつついてへびをだす|to stir up trouble for oneself; to scare out a snake by poking at the brush
やぶ蛇|やぶへび|unnecessary trouble brought upon oneself; stirring up a hornet's nest
薮蛇|やぶへび|unnecessary trouble brought upon oneself; stirring up a hornet's nest
藪蛇|やぶへび|unnecessary trouble brought upon oneself; stirring up a hornet's nest
薮蛇になる|やぶへびになる|you'll only make work for yourself; to stir up a hornet's nest; to put one's foot in one's mouth
薮蛇に成る|やぶへびになる|you'll only make work for yourself; to stir up a hornet's nest; to put one's foot in one's mouth
愉快|ゆかい|pleasant; delightful; enjoyable; joyful; cheerful; amusing; happy
愉楽|ゆらく|pleasure
油|あぶら|oil
油を絞る|あぶらをしぼる|to chew out; to reprimand severely; to rake over the coals; to give a sound scolding; to tell someone off; to scold; to rebuke
油を絞る|あぶらをしぼる|to press oil
油を搾る|あぶらをしぼる|to chew out; to reprimand severely; to rake over the coals; to give a sound scolding; to tell someone off; to scold; to rebuke
油を搾る|あぶらをしぼる|to press oil
油をしぼる|あぶらをしぼる|to chew out; to reprimand severely; to rake over the coals; to give a sound scolding; to tell someone off; to scold; to rebuke
油をしぼる|あぶらをしぼる|to press oil
油を売る|あぶらをうる|to loaf (particularly on the job); to idle one's time away; to dawdle
油井|ゆせい|oil well
油絵|あぶらえ|oil painting
脂汗|あぶらあせ|cold sweat; greasy sweat
膏汗|あぶらあせ|cold sweat; greasy sweat
油汗|あぶらあせ|cold sweat; greasy sweat
油気|あぶらけ|oiliness; greasiness
脂気|あぶらけ|oiliness; greasiness
油菜|あぶらな|rape (seed oil plant, Brassica campestris)
アブラナ||rape (seed oil plant, Brassica campestris)
油脂|ゆし|fat; fats and oils
油蝉|あぶらぜみ|large brown cicada (Graptopsaltria nigrofuscata); aburazemi
鳴蜩|あぶらぜみ|large brown cicada (Graptopsaltria nigrofuscata); aburazemi
アブラゼミ||large brown cicada (Graptopsaltria nigrofuscata); aburazemi
油断|ゆだん|negligence; carelessness; inattention; unpreparedness
油断大敵|ゆだんたいてき|Unpreparedness is one's greatest enemy; He that is too secure is not safe
油虫|あぶらむし|aphid; plant louse
油虫|あぶらむし|cockroach
油虫|あぶらむし|Japanese house bat (Pipistrellus abramus)
油虫|あぶらむし|hanger-on; parasite
油虫|あぶらむし|visitor to a red-light district who's only there to look
あぶら虫|あぶらむし|aphid; plant louse
あぶら虫|あぶらむし|cockroach
あぶら虫|あぶらむし|Japanese house bat (Pipistrellus abramus)
あぶら虫|あぶらむし|hanger-on; parasite
あぶら虫|あぶらむし|visitor to a red-light district who's only there to look
蚜虫|あぶらむし|aphid; plant louse
蚜虫|あぶらむし|cockroach
蚜虫|あぶらむし|Japanese house bat (Pipistrellus abramus)
蚜虫|あぶらむし|hanger-on; parasite
蚜虫|あぶらむし|visitor to a red-light district who's only there to look
アブラムシ||aphid; plant louse
アブラムシ||cockroach
アブラムシ||Japanese house bat (Pipistrellus abramus)
アブラムシ||hanger-on; parasite
アブラムシ||visitor to a red-light district who's only there to look
油田|ゆでん|oil field
油揚げ|あぶらあげ|fried tofu
油揚げ|あぶらあげ|frying in oil; deep-fried food
油揚げ|あぶらげ|fried tofu
油揚げ|あぶらげ|frying in oil; deep-fried food
油揚|あぶらあげ|fried tofu
油揚|あぶらあげ|frying in oil; deep-fried food
油揚|あぶらげ|fried tofu
油揚|あぶらげ|frying in oil; deep-fried food
癒える|いえる|to recover; to be healed
癒す|いやす|to heal; to cure
癒やす|いやす|to heal; to cure
癒着|ゆちゃく|adhesion; conglutination
癒着|ゆちゃく|collusion; collusive relationship
諭す|さとす|to admonish; to persuade; to warn; to remonstrate
諭旨|ゆし|official suggestion; official advice; official instruction
諭示|ゆし|admonition; injunction; instruction; message
輸液|ゆえき|transfusion
輸血|ゆけつ|blood transfusion
輸出|ゆしゅつ|export
輸出|ゆしゅつ|efferent
輸出|しゅしゅつ|export
輸出|しゅしゅつ|efferent
輸出規制|ゆしゅつきせい|export controls
輸出入|ゆしゅつにゅう|export and import
輸送|ゆそう|transport; transportation
輸送機|ゆそうき|transport aircraft; transport plane
輸入|ゆにゅう|importation; import; introduction
輸入|ゆにゅう|afferent
輸入|しゅにゅう|importation; import; introduction
輸入|しゅにゅう|afferent
輸入額|ゆにゅうがく|level of imports
輸贏|ゆえい|gain or loss; victory or defeat
輸贏|しゅえい|gain or loss; victory or defeat
只|ただ|ordinary; common; usual
只|ただ|free of charge
只|ただ|unaffected; as is; safe
只|ただ|only; merely; just; simply
只|ただ|but; however; nevertheless
唯|ただ|ordinary; common; usual
唯|ただ|free of charge
唯|ただ|unaffected; as is; safe
唯|ただ|only; merely; just; simply
唯|ただ|but; however; nevertheless
徒|ただ|ordinary; common; usual
徒|ただ|free of charge
徒|ただ|unaffected; as is; safe
徒|ただ|only; merely; just; simply
徒|ただ|but; however; nevertheless
但|ただ|ordinary; common; usual
但|ただ|free of charge
但|ただ|unaffected; as is; safe
但|ただ|only; merely; just; simply
但|ただ|but; however; nevertheless
常|ただ|ordinary; common; usual
常|ただ|free of charge
常|ただ|unaffected; as is; safe
常|ただ|only; merely; just; simply
常|ただ|but; however; nevertheless
タダ||ordinary; common; usual
タダ||free of charge
タダ||unaffected; as is; safe
タダ||only; merely; just; simply
タダ||but; however; nevertheless
唯でさえ|ただでさえ|even at the best of times; already; (even) under normal circumstances; in addition to; as it is
唯一|ゆいいつ|only; sole; unique
唯一|ゆいつ|only; sole; unique
唯一無二|ゆいいつむに|one and only; unique
唯一無二|ゆいつむに|one and only; unique
唯我独尊|ゆいがどくそん|self-conceit; self-centeredness; vainglory
唯我論|ゆいがろん|solipsism (phil.)
ただ今|ただいま|Here I am; I'm home!
ただ今|ただいま|presently; right away; right now; just now
唯今|ただいま|Here I am; I'm home!
唯今|ただいま|presently; right away; right now; just now
只今|ただいま|Here I am; I'm home!
只今|ただいま|presently; right away; right now; just now
唯心論|ゆいしんろん|spiritualism; idealism; mentalism
唯美主義|ゆいびしゅぎ|estheticism
唯物論|ゆいぶつろん|materialism
唯理論|ゆいりろん|rationalism
佑助|ゆうじょ|assistance
優|やさ|gentle; affectionate
優|ゆう|gentle
優|ゆう|elegant; classy
優|ゆう|superior; skilled
優|ゆう|excellent (in marking, grading, etc.)
優|ゆう|actor
優しい|やさしい|tender; kind; gentle; graceful; affectionate; amiable
優しげ|やさしげ|gentle; kind; sweet-looking
優に|ゆうに|easily; sufficiently; well; skillfully
優れた|すぐれた|great; excellent; outstanding
優れる|すぐれる|to surpass; to outstrip; to excel
勝れる|すぐれる|to surpass; to outstrip; to excel
傑れる|すぐれる|to surpass; to outstrip; to excel
優渥|ゆうあく|gracious
優位|ゆうい|predominance; ascendancy; superiority
優位性|ゆういせい|superiority; predominance
優越|ゆうえつ|supremacy; predominance; being superior to
優越感|ゆうえつかん|superiority complex; sense of superiority
優越権|ゆうえつけん|special rights; predominant rights
優越性|ゆうえつせい|supremacy; predominance
優越複合|ゆうえつふくごう|superiority complex
優艶|ゆうえん|charming; fascinating; beautiful; elegant; graceful; sweet; delicate
優婉|ゆうえん|charming; fascinating; beautiful; elegant; graceful; sweet; delicate
優雅|ゆうが|elegance; grace; refinement
優遇|ゆうぐう|favorable treatment; favourable treatment; hospitality; warm reception; good treatment; hearty welcome
優形|やさがた|slender figure
優姿|やさすがた|graceful figure
優者|ゆうしゃ|superior individual
優秀|ゆうしゅう|superiority; excellence
優秀品|ゆうしゅうひん|high-grade merchandise
優柔|ゆうじゅう|indecisive; irresolute; weak
優柔不断|ゆうじゅうふだん|indecisiveness; shilly-shally; irresolution; vacillation; indecision
優女|やさおんな|gentle woman; affectionate woman
優女|やさめ|gentle woman; affectionate woman
優女|ゆうじょ|gentle woman; affectionate woman
優女|ゆうじょ|beautiful graceful woman
優勝|ゆうしょう|overall victory; championship
優勝旗|ゆうしょうき|championship pennant
優勝者|ゆうしょうしゃ|prize winner; pennant winner; victor
優勝馬|ゆうしょうば|winning horse
優勝杯|ゆうしょうはい|championship cup
優勝劣敗|ゆうしょうれっぱい|survival of the fittest
優勢|ゆうせい|superiority; superior power; predominance; preponderance
優性|ゆうせい|dominance
優性|ゆうせい|dominant
優生|ゆうせい|eugenic
優生学|ゆうせいがく|eugenics
優生結婚|ゆうせいけっこん|eugenic marriage
優先|ゆうせん|preference; priority; precedence
優先扱い|ゆうせんあつかい|priority treatment; preferential treatment
優先外貨|ゆうせんがいか|preferred foreign currency
優先株|ゆうせんかぶ|preferred stock; preference shares
優先権|ゆうせんけん|priority; preference; preferential right
優先順位|ゆうせんじゅんい|priority; order of precedence
優先的|ゆうせんてき|preferential
優待|ゆうたい|preferential treatment; hospitality; warm reception; welcome
優待券|ゆうたいけん|complimentary ticket
優男|やさおとこ|man with a gentle nature
優男|やさおとこ|man of delicate features; man of slender build
優男|やさおとこ|effeminate man; feeble man
優男|やさお|man with a gentle nature
優男|やさお|man of delicate features; man of slender build
優男|やさお|effeminate man; feeble man
優等|ゆうとう|(academic) excellence; superiority; honors (e.g. graduating with); cum laude
優等賞|ゆうとうしょう|honor prize; honour prize
優等賞状|ゆうとうしょうじょう|grand-prize diploma
優等生|ゆうとうせい|honor student; honours student
優等卒業生|ゆうとうそつぎょうせい|honor graduate; honours graduate
優曇華|うどんげ|udumbara (mythical Indian plant often identified with the cluster fig, Ficus glomerata)
優曇華|うどんげ|something very rare (from the legend that it flowers once in 3000 years)
優曇華|うどんげ|Japanese fiber banana flower
優曇華|うどんげ|green lacewing eggs
優美|ゆうび|grace; refinement; elegance; daintiness
優良|ゆうりょう|superior; excellent; fine
優良株|ゆうりょうかぶ|blue-chip stock; gilt-edged stock
優良児|ゆうりょうじ|superior child
優良馬|ゆうりょうば|thoroughbred horse
優良品|ゆうりょうひん|superior articles
優劣|ゆうれつ|(relative) merits; superiority or inferiority; quality
優諚|ゆうじょう|gracious imperial message
勇|ゆう|bravery; courage; heroism
勇ましい|いさましい|brave; valiant; gallant; courageous
勇ましい|いさましい|stirring; vigorous; rousing
勇み足|いさみあし|overeagerness; rashness
勇み足|いさみあし|forward step-out
勇み肌|いさみはだ|gallantry
勇み立つ|いさみたつ|to cheer up; to be encouraged (by); to be in high spirits
勇む|いさむ|to be in high spirits; to be encouraged; to be lively; to cheer up
勇往|ゆうおう|spirited advance; energetically going forward
勇往邁進|ゆうおうまいしん|dash and go; pushing forward
勇敢|ゆうかん|brave; heroic; gallant
勇敢さ|ゆうかんさ|bravery; heroism; gallantry
勇気|ゆうき|courage; bravery; valour; valor; nerve; boldness
勇気づけ|ゆうきづけ|having a burst of courage
勇気付け|ゆうきづけ|having a burst of courage
勇気づける|ゆうきづける|to encourage; to cheer
勇気付ける|ゆうきづける|to encourage; to cheer
勇決|ゆうけつ|decisiveness
勇健|ゆうけん|sound health
勇士|ゆうし|brave warrior; hero; brave man
勇者|ゆうしゃ|hero; the brave; man of valour (valor)
勇者|ゆうじゃ|hero; the brave; man of valour (valor)
勇将|ゆうしょう|brave general; great soldier
勇進|ゆうしん|dashing forward bravely
勇図|ゆうと|ambitious undertaking
勇戦|ゆうせん|brave fight; desperate fight
勇壮|ゆうそう|heroic; brave; majestic; soul-stirring; lively; gallant
雄壮|ゆうそう|heroic; brave; majestic; soul-stirring; lively; gallant
勇断|ゆうだん|resolute decision
勇飛|ゆうひ|flying jump; great achievement
勇夫|ゆうふ|valiant man
勇婦|ゆうふ|heroine; brave woman
勇武|ゆうぶ|bravery; valor; valour; military prowess
勇名|ゆうめい|fame (for one's bravery); great renown
