上右|うえみぎ|upper right (corner)
ガス・ストーブ||gas stove; gas heater
クリームチーズ||cream cheese
クリーム・チーズ||cream cheese
準体助詞|じゅんたいじょし|particle that attaches to a phrase and acts on the whole phrase
飛距離|ひきょり|distance (e.g. jump, flight of arrow, carry of golf ball, etc.)
当てもない|あてもない|random; aimless
当ても無い|あてもない|random; aimless
等価交換|とうかこうかん|fair exchange; equivalent exchange; exchange of equal value
ティースプーン||teaspoon
デーン人|デーンじん|Danish person; Danes; Dane
ラストシーン||last scene (e.g. of a movie)
ラスト・シーン||last scene (e.g. of a movie)
のです||the expectation is that ...; the reason is that ...; the fact is that ...; it is that ...
のだ||the expectation is that ...; the reason is that ...; the fact is that ...; it is that ...
んです||the expectation is that ...; the reason is that ...; the fact is that ...; it is that ...
んだ||the expectation is that ...; the reason is that ...; the fact is that ...; it is that ...
サファリスタイル||camouflage clothes
サファリ・スタイル||camouflage clothes
スーパーファミコン||Super Nintendo Entertainment System; SNES
スーパー・ファミコン||Super Nintendo Entertainment System; SNES
ゴールデントライアングル||Golden Triangle (area near the borders of Burma, Thailand and Laos)
ゴールデン・トライアングル||Golden Triangle (area near the borders of Burma, Thailand and Laos)
ダイアルイン||direct telephone number
ダイアル・イン||direct telephone number
メットイン||scooter with a compartment under the seat to hold a helmet
勤しむ|いそしむ|to endeavor; to endeavour; to work hard (at)
心の狭い|こころのせまい|narrow-minded; shallow
ら抜き|らぬき|'ra'-removed; the practice of skipping the 'ra' from the 'rareru' verb conjugation
ら抜き言葉|らぬきことば|'ra'-removed word (i.e. lacking the 'ra' in the 'rareru' verb conjunction)
御目文字|おめもじ|personal meeting (esp. used by females)
お目文字|おめもじ|personal meeting (esp. used by females)
お目もじ|おめもじ|personal meeting (esp. used by females)
伏長|ふせなが|going (e.g. of a flight of stairs); length
伏せ長|ふせなが|going (e.g. of a flight of stairs); length
蹴上げ|けあげ|riser (in a building); rise
蹴上|けあげ|riser (in a building); rise
階高|かいだか|height of storey; floor height
わあ||wow! (surprise); oh! (startled); eek!; gee!
わあ||yeah! (joy); alright!; hurray!
わあ||waah! (crying); boohoo!
わあっ||wow! (surprise); oh! (startled); eek!; gee!
わあっ||yeah! (joy); alright!; hurray!
わあっ||waah! (crying); boohoo!
わっ||wow! (surprise); oh! (startled); eek!; gee!
わっ||yeah! (joy); alright!; hurray!
わっ||waah! (crying); boohoo!
消防署長|しょうぼうしょちょう|fire captain; fire marshal
身に覚えがある|みにおぼえがある|to have the memory of having done something oneself
身に覚えが有る|みにおぼえがある|to have the memory of having done something oneself
身に覚えのある|みにおぼえのある|to have the memory of having done something oneself (subordinate phrase)
身に覚えの有る|みにおぼえのある|to have the memory of having done something oneself (subordinate phrase)
湖|こ|lake (in place names)
港市|こうし|harbour city (harbor)
城|じょう|castle (in place names)
エゲレス||Great Britain; United Kingdom
値付け|ねづけ|pricing; (price) positioning
疑団|ぎだん|a doubt that lurks in one's soul and that cannot be resolved
被葬者|ひそうしゃ|the entombed; the person buried (usually in burial mounds, etc.)
帝国議会|ていこくぎかい|Imperial Diet; legislative assembly of Japan (1889-1947)
帝国議会|ていこくぎかい|Imperial Diet; legislative assembly of the Holy Roman Empire
膝皿貝|ひざらがい|chiton (any marine mollusk of the class Polyplacophora); sea cradle
膝皿貝|ひざらがい|Japanese chiton (Acanthopleura japonica)
火皿貝|ひざらがい|chiton (any marine mollusk of the class Polyplacophora); sea cradle
火皿貝|ひざらがい|Japanese chiton (Acanthopleura japonica)
石鼈|ひざらがい|chiton (any marine mollusk of the class Polyplacophora); sea cradle
石鼈|ひざらがい|Japanese chiton (Acanthopleura japonica)
石鼈|じいがせ|chiton (any marine mollusk of the class Polyplacophora); sea cradle
石鼈|じいがせ|Japanese chiton (Acanthopleura japonica)
爺が背|じいがせ|chiton (any marine mollusk of the class Polyplacophora); sea cradle
爺が背|じいがせ|Japanese chiton (Acanthopleura japonica)
ヒザラガイ||chiton (any marine mollusk of the class Polyplacophora); sea cradle
ヒザラガイ||Japanese chiton (Acanthopleura japonica)
落下物|らっかぶつ|falling object; fallen object
性が合う|しょうがあう|to get along well with
対前年比|たいぜんねんひ|relative change from last year
上げ床|あげゆか|raised floor
揚げ床|あげどこ|raised seedbed
上げ床|あげどこ|raised seedbed
揚床|あげどこ|raised seedbed
上床|あげどこ|raised seedbed
ガスヒーポン||gas heat pump
ガス・ヒーポン||gas heat pump
センリョウ科|センリョウか|Chloranthaceae; family of flowering plants
液溜|えきだめ|reservoir (of liquid)
液溜め|えきだめ|reservoir (of liquid)
液だめ|えきだめ|reservoir (of liquid)
口数が多い|くちかずがおおい|talkative
幼稚園児|ようちえんじ|kindergartener; pre-schooler
イングリッシュ||English
イングリッシュ||Engrish
男爵芋|だんしゃくいも|Irish Cobbler potato
男爵薯|だんしゃくいも|Irish Cobbler potato
４ＷＤ|よんダブリューディー|four-wheel drive (vehicle)
サーティフィケート||certificate
サーティフィケイト||certificate
サティフィケット||certificate
人事課長|じんじかちょう|head of personnel department
人事を尽くして天命を待つ|じんじをつくしててんめいをまつ|Man proposes, God disposes; Man does what man can do then awaits the verdict of heaven or fate
生|せい|life; living
生|せい|I; me; myself
生|しょう|life; living
人事記録|じんじきろく|personnel record
中心街|ちゅうしんがい|high street; town centre (center)
紛れもない|まぎれもない|certain; unmistaken; evident; obvious; beyond doubt
紛れも無い|まぎれもない|certain; unmistaken; evident; obvious; beyond doubt
万歳三唱|ばんざいさんしょう|three cheers
相争う|あいあらそう|to fight with each other; to fight amongst yourselves
日本初|にほんはつ|first (of its kind) in Japan
日本初|にっぽんはつ|first (of its kind) in Japan
以外になさそう|いがいになさそう|the only way (is to ..)
駐仏|ちゅうふつ|stationed in France; resident to France (e.g. of Ambassadors, etc.)
貸金業|かしきんぎょう|money lending business
保険業|ほけんぎょう|(the) insurance business
御業|みわざ|the works (of the gods)
御技|みわざ|the works (of the gods)
住空間|じゅうくうかん|living space
潮汁|うしおじる|thin soup of fish or shellfish boiled in seawater
潮煮|うしおに|fish, shellfish, etc. boiled in salted water
満つ|みつ|to be full
満つ|みつ|to wax (e.g. moon)
満つ|みつ|to rise (e.g. tide)
満つ|みつ|to mature; to expire
充つ|みつ|to be full
充つ|みつ|to wax (e.g. moon)
充つ|みつ|to rise (e.g. tide)
充つ|みつ|to mature; to expire
満たない|みたない|less than; fraction of; below
満たざる|みたざる|less than; fraction of; below
糞面白くない|くそおもしろくない|totally uninteresting
月代|さかやき|shaved part of the forehead
月代|つきしろ|shaved part of the forehead
検見|けみ|Edo period inspection of rice plants
毛見|けみ|Edo period inspection of rice plants
検見|けんみ|inspection; audit
検見|けんみ|patrol
五音|ごいん|pentatonic scale
五音|ごおん|pentatonic scale
後じん|こうじん|metanephros; third stage of kidney development
後腎|こうじん|metanephros; third stage of kidney development
良さげ|よさげ|seemingly good; (of) good appearance; looking good
良さ気|よさげ|seemingly good; (of) good appearance; looking good
善さげ|よさげ|seemingly good; (of) good appearance; looking good
善さ気|よさげ|seemingly good; (of) good appearance; looking good
剣歯虎|けんしこ|saber-toothed tiger (sabre)
剣闘士|けんとうし|gladiator
二等車|にとうしゃ|second class carriage
２等車|にとうしゃ|second class carriage
写真画|しゃしんが|digitally altered photograph (e.g. made to look like an oil painting)
油絵タッチ|あぶらえタッチ|oil painting look (on processed photographs, etc.)
来夏|らいか|next summer
プレーリードッグ||prairie dog
プレーリー・ドッグ||prairie dog
カピバラ||capybara
老犬|ろうけん|old dog
相矛盾|あいむじゅん|mutually contradictory
安全牌|あんぜんパイ|tile that may be discarded without risking benefiting an opponent
安全牌|あんぜんパイ|no-risk choice; easily handled person
安全パイ|あんぜんパイ|tile that may be discarded without risking benefiting an opponent
安全パイ|あんぜんパイ|no-risk choice; easily handled person
救命救急センター|きゅうめいきゅうきゅうセンター|emergency and critical care centre (center)
コロトロン||corotron (electrostatic charging device using a corona discharge)
笏|しゃく|shaku (flat wooden or ivory baton carried in the right hand when in ceremonial imperial or Shinto garb)
死体検案書|したいけんあんしょ|post-mortem certificate
育休|いくきゅう|childcare leave; leave taken after the compulsory maternity leave
共同署名|きょうどうしょめい|joint signatures
同署|どうしょ|the (above-mentioned) authorities; police (from said station)
器物損壊|きぶつそんかい|property damage (not including ships, buildings, planes and documents)
ブルーシート||blue sheeting; blue tarpaulin
ブルー・シート||blue sheeting; blue tarpaulin
ブロガー||blogger (writer of a weblog)
とっちる||to be flustered; to be confused
とちる||to flub (one's lines)
とちる||to be flustered; to be confused
とちる||to bungle; to mess up; to blunder
不味る|まずる|to bungle; to make things awkward
患者家族|かんじゃかぞく|patient and relatives
行ってらっしゃい|いってらっしゃい|have a good day; take care; see you
言い得て妙|いいえてみょう|perfectly fitting phrase
言いえて妙|いいえてみょう|perfectly fitting phrase
フットサル||futsal; indoor 5-man football
クリップボード||clipboard
あごで使う|あごでつかう|to set somebody to work in an arrogant fashion; to push somebody around; to indicate by pointing one's chin
あごで使う|あごでつかう|to chatter; to jaw; to jabber
アゴで使う|アゴでつかう|to set somebody to work in an arrogant fashion; to push somebody around; to indicate by pointing one's chin
アゴで使う|アゴでつかう|to chatter; to jaw; to jabber
顎で使う|あごでつかう|to set somebody to work in an arrogant fashion; to push somebody around; to indicate by pointing one's chin
顎で使う|あごでつかう|to chatter; to jaw; to jabber
恥をかく|はじをかく|to be embarrassed; to lose face
恥を掻く|はじをかく|to be embarrassed; to lose face
癒着胎盤|ゆちゃくたいばん|placenta accreta
ジリ貧|ジリひん|gradually becoming poor; situation getting gradually worse and worse
じり貧|じりひん|gradually becoming poor; situation getting gradually worse and worse
無垢材|むくざい|solid wood (as opposed to veneer); natural wood
読み札|よみふだ|cards with words or phrases written on them, used in Japanese karuta games
読札|よみふだ|cards with words or phrases written on them, used in Japanese karuta games
缶蹴り|かんけり|"kick the can" game
山号|さんごう|honorific mountain name prefixed to a temple's name
入寺|にゅうじ|entering a temple; visiting a temple
入寺|にゅうじ|joining a temple as a priest or head priest
初祖|しょそ|the first generation of a family; school (of thought) or religious sect
襖絵|ふすまえ|images drawn or painted on fusuma
作庭|さくてい|creating a garden; gardener
苔庭|こけにわ|moss garden
道号|どうごう|monk's self-chosen pseudonym
臨済宗|りんざいしゅう|Rinzai school of Zen Buddhism
どさっと||with a thud
ドサっと||with a thud
様子見|ようすみ|wait-and-see
大洪水|だいこうずい|great flood, esp. one sent by a deity; flood myth
しないのではないか||I think (something) won't (something); probably (something) isn't (something)
ないのではないか||I think (something) won't (something); probably (something) isn't (something)
がさっ||with a swoosh; at one fell swoop
ガサッ||with a swoosh; at one fell swoop
はいはい||yeah, yeah (used for casual, half-hearted, or insincere agreement); sure
はいはい||hey!
はいはい||hello (on phone, replying to "moshimoshi")
はいはい||giddy-up (to a horse); gee-up; giddap
へいへい||yeah, yeah (used for casual, half-hearted, or insincere agreement); sure
へいへい||hey!
パツキン||blond hair ("kinpatsu" read backwards)
音なし|おとなし|silence; without sound
音無し|おとなし|silence; without sound
だ||be; is
だ||indicates past or completed action
だ||indicates light imperative
副流煙|ふくりゅうえん|(secondary) tobacco smoke
間接喫煙|かんせつきつえん|passive smoking; secondhand smoke
逆鱗に触れる|げきりんにふれる|to infuriate your superior; to incur the anger of one's boss; to bring (a superior's) wrath down upon (one)
逆鱗に触れる|げきりんにふれる|to provoke the Emperor's displeasure
なんて||such as; (things) like
なんて||exclamation
観相術|かんそうじゅつ|(the art of) physiognomy
完膚|かんぷ|unwounded skin
害者|がいしゃ|victim of a crime
外事課|がいじか|foreign affairs section
外字新聞|がいじしんぶん|foreign-language newspaper
外挿法|がいそうほう|extrapolation method
学債|がくさい|school bond or debenture
握らせる|にぎらせる|to let a person take hold of; to bribe by slipping money into a person's hand
扱ぐ|こぐ|to pull up by the roots
暗礁に乗り上げる|あんしょうにのりあげる|to run aground; to strike a rock; to be stranded on a reef
暗礁に乗り上げる|あんしょうにのりあげる|to reach a deadlock; to come to a standstill; to run into difficulties; to hit a snag
闇から闇に葬る|やみからやみにほうむる|to cover up; to hush up; to shroud in darkness
位人臣を極める|くらいじんしんをきわめる|to rise to the highest possible rank
為にする|ためにする|to have an ulterior motive; to have an axe to grind
一山越す|ひとやまこす|to go over the hump; to get successfully through the bulk of the work
一芝居|ひとしばい|trick; act
一笑に付する|いっしょうにふする|to laugh something off; to shrug a matter off
一代雑種|いちだいざっしゅ|F1 hybrid; first filial hybrid; first cross
一面的|いちめんてき|one-sided
一縷の望み|いちるののぞみ|gleam (ray) of hope
引かされる|ひかされる|to be moved; to be drawn
手玉に取る|てだまにとる|to lead someone around by the nose
手玉にとる|てだまにとる|to lead someone around by the nose
广|まだれ|kanji "dotted cliff" radical (radical 53)
麻垂れ|まだれ|kanji "dotted cliff" radical (radical 53)
危機を脱する|ききをだっする|to escape danger
小鰺刺|こあじさし|little tern (the official bird of Chiba); sterna albifrons
コアジサシ||little tern (the official bird of Chiba); sterna albifrons
電話会議|でんわかいぎ|phone conference; conference call
済印|すみいん|"completed" (rubber) stamp
済み印|すみいん|"completed" (rubber) stamp
痘痕も靨|あばたもえくぼ|love is blind; (when in love) even pockmarks are dimples
痘痕もえくぼ|あばたもえくぼ|love is blind; (when in love) even pockmarks are dimples
アバタもエクボ||love is blind; (when in love) even pockmarks are dimples
歌舞伎座|かぶきざ|kabuki troupe; kabuki theater (theatre)
歌舞伎座|かぶきざ|Kabuki-za (theatre in Tokyo)
其方退け|そっちのけ|ignoring (one thing) for (another)
其方退け|そちのけ|ignoring (one thing) for (another)
そっち退け|そっちのけ|ignoring (one thing) for (another)
そち退け|そちのけ|ignoring (one thing) for (another)
白湯|さゆ|(plain) hot water; boiled water
白湯|しらゆ|(plain) hot water; boiled water
白湯|はくとう|(plain) hot water; boiled water
さ湯|さゆ|(plain) hot water; boiled water
素湯|さゆ|(plain) hot water; boiled water
ツメ||to close up (editing mark)
トル||torr
トル||to delete (editor's mark)
スペ||insert a space (editor's mark)
二次電池|にじでんち|rechargeable battery
プチトマト||cherry tomato
プチ・トマト||cherry tomato
アメリカンチェリー||Bing cherry
アメリカンチェリー||cherries imported to Japan from America
アメリカン・チェリー||Bing cherry
アメリカン・チェリー||cherries imported to Japan from America
ロケット花火|ロケットはなび|skyrocket; bottle rocket
鳴く猫は鼠を捕らぬ|なくねこはねずみをとらぬ|empty vessels make the most sound
瞬間湯沸し器|しゅんかんゆわかしき|instant water heater; on-demand water heater
どうかしたのか||is something up?; is something wrong?
どうかしたのですか||is something up?; is something wrong?
どうかしたんですか||is something up?; is something wrong?
やあ||Yo! (greeting)
やあ||Wow! (expression of surprise)
順接|じゅんせつ|resultative (refers to a conjunction where what follows is a result of the preceding)
それ計り|そればかり|that much; as much; to that extent; only that; that alone; no more than that
其許り|そればかり|that much; as much; to that extent; only that; that alone; no more than that
其れ許り|そればかり|that much; as much; to that extent; only that; that alone; no more than that
それはどうも||why yes, thank you
お上手|おじょうず|skill; skillful; dexterity
お上手|おじょうず|flattery
お上手を言う|おじょうずをいう|to flatter; to boot-lick; to curry favour (favor)
切れ字|きれじ|punctuation words in haiku, renga, etc. such as "ya", "kana", "keri", etc.
切字|きれじ|punctuation words in haiku, renga, etc. such as "ya", "kana", "keri", etc.
蹴り|けり|kick
蹴り付ける|けりつける|to kick (at someone, something)
蹴りつける|けりつける|to kick (at someone, something)
蹴り入れる|けりいれる|to kick (into something, e.g. a goal)
蹴り出す|けりだす|to kick out (e.g. someone from a house)
蹴りだす|けりだす|to kick out (e.g. someone from a house)
鳧|けり|gray-headed lapwing (Microsarcops cinereus); grey-headed lapwing
計里|けり|gray-headed lapwing (Microsarcops cinereus); grey-headed lapwing
ケリ||gray-headed lapwing (Microsarcops cinereus); grey-headed lapwing
けり||indicates recollection or realization (i.e. of hearsay or the past); can form a poetic past tense
けり||indicates continuation from the past to the present
けり||end; conclusion
それはさておき||apart from that; to return to the topic; enough of that
屠所の羊|としょのひつじ|discouraged person; (like a) sheep being led to a slaughterhouse
にこよん||day laborer
ニコヨン||day laborer
奴|め|derogatory suffix (referring to others)
奴|め|humble suffix (referring to oneself)
どうしよう||what to do
どうしょう||what to do
籾殻|もみがら|rice husks; chaff
もみ殻|もみがら|rice husks; chaff
電磁誘導|でんじゆうどう|electromagnetic induction
お||oh! (expression of slight surprise)
売れ筋|うれすじ|well-selling line (goods)
手が掛かる|てがかかる|to take a lot of dealing with; to be a handful
手がかかる|てがかかる|to take a lot of dealing with; to be a handful
鍵が掛かる|かぎがかかる|to become locked (e.g. of automatic locking)
鍵がかかる|かぎがかかる|to become locked (e.g. of automatic locking)
底をつく|そこをつく|to run out of; to dry up; to be depleted
底をつく|そこをつく|to hit the bottom; to bottom out
底を突く|そこをつく|to run out of; to dry up; to be depleted
底を突く|そこをつく|to hit the bottom; to bottom out
何かいい手はないか|なにかいいてはないか|what would be a good way to do it?
なにかいい手はないか|なにかいいてはないか|what would be a good way to do it?
何かいい手は無いか|なにかいいてはないか|what would be a good way to do it?
きし麺|きしめん|noodles made in flat strips
棊子麺|きしめん|noodles made in flat strips
碁子麺|きしめん|noodles made in flat strips
トライアル版|トライアルばん|(software) trial version
手が早い|てがはやい|to be a quick worker
手が早い|てがはやい|to be fast in forming relationships with women
手が早い|てがはやい|to be quick to resort to violence
気が置けない|きがおけない|easy to get on with; not needing reserve or formality; personable; affable; approachable
水産養殖|すいさんようしょく|aquaculture
池泉|ちせん|pond in a garden
池泉回遊式|ちせんかいゆうしき|style of garden that features a path around a pond
枯山水|こせんすい|karesansui, traditional (Chinese or Japanese) dry landscape garden
私年号|しねんごう|era name selected by commoners (as opposed to the imperial court)
中国銀行|ちゅうごくぎんこう|Bank of China
五葉松|ごようまつ|Japanese white pine (favored for gardens and bonsai)
五葉|ごよう|Japanese white pine (favored for gardens and bonsai); goyoumatsu
大化|たいか|Taika era (645.6.19-650.2.15)
白雉|はくち|Hakuchi era (650.2.15-654.10.?)
朱鳥|しゅちょう|Shuchō era (686.7.20-686.12.?); Suchō era; Akamitori era
朱鳥|すちょう|Shuchō era (686.7.20-686.12.?); Suchō era; Akamitori era
朱鳥|あかみとり|Shuchō era (686.7.20-686.12.?); Suchō era; Akamitori era
大宝|たいほう|great treasure
大宝|たいほう|Taihō era (701.3.21-704.5.10); Daihō era
大宝|たいほう|great treasure (used to refer to bodhisattvas, esoteric teachings, etc.)
大宝|たいほう|homa-mandala (fire altar)
大宝|だいほう|great treasure
大宝|だいほう|Taihō era (701.3.21-704.5.10); Daihō era
大宝|だいほう|great treasure (used to refer to bodhisattvas, esoteric teachings, etc.)
大宝|だいほう|homa-mandala (fire altar)
慶雲|けいうん|auspicious cloud
慶雲|けいうん|Keiun era (704.5.10-708.1.11); Kyōun era
慶雲|きょううん|Keiun era (704.5.10-708.1.11); Kyōun era
景雲|けいうん|auspicious cloud
卿雲|けいうん|auspicious cloud
和銅|わどう|Wadō era (708.1.11-715.9.2)
霊亀|れいき|mysterious turtle (an omen of good luck)
霊亀|れいき|Reiki era (715.9.2-717.11.17)
神亀|じんき|Jinki era (724.2.4-729.8.5); Shinki era
神亀|しんき|mysterious turtle (an omen of good luck)
神亀|しんき|Jinki era (724.2.4-729.8.5); Shinki era
天平|てんぴょう|Tenpyō era (729.8.5-749.4.14); Tenbyō era; Tenhei era
天平|てんびょう|Tenpyō era (729.8.5-749.4.14); Tenbyō era; Tenhei era
天平|てんへい|Tenpyō era (729.8.5-749.4.14); Tenbyō era; Tenhei era
天平感宝|てんぴょうかんぽう|Tenpyō-kanpō era (749.4.14-749.7.2); Tenbyō-kanpō era
天平感宝|てんびょうかんぽう|Tenpyō-kanpō era (749.4.14-749.7.2); Tenbyō-kanpō era
天平勝宝|てんぴょうしょうほう|Tenpyō-shōhō era (749.7.2-757.8.18)
天平宝字|てんぴょうほうじ|Tenpyō-hōji era (757.8.18-765.1.7)
天平神護|てんぴょうじんご|Tenpyō-jingo era (765.1.7-767.8.16)
神護景雲|じんごけいうん|Jingo-keiun era (767.8.16-770.10.1)
宝亀|ほうき|Hōki era (770.10.1-781.1.1)
天応|てんおう|Ten'ō era (781.1.1-782.8.19)
延暦|えんりゃく|Enryaku era (782.8.19-806.5.18)
弘仁|こうにん|Kōnin era (810.9.19-824.1.5)
天長|てんちょう|Tenchō era (824.1.5-834.1.3)
承和|じょうわ|Jōwa era (834.1.3-848.6.13); Shōwa era
承和|しょうわ|Jōwa era (834.1.3-848.6.13); Shōwa era
嘉祥|かしょう|Kashō era (848.6.13-851.4.28)
仁寿|にんじゅ|Ninju era (851.4.28-854.11.30)
斉衡|さいこう|Saikō era (854.11.30-857.2.21)
天安|てんあん|Ten'an era (857.2.21-859.4.15)
貞観|じょうがん|Jōgan era (859.4.15-877.4.16)
元慶|がんぎょう|Gangyō era (877.4.16-885.2.21); Genkei era
元慶|げんけい|Gangyō era (877.4.16-885.2.21); Genkei era
仁和|にんな|Ninna era (885.2.21-889.4.27)
寛平|かんぴょう|Kanpyō era (889.4.27-898.4.26); Kanbyō era
寛平|かんびょう|Kanpyō era (889.4.27-898.4.26); Kanbyō era
寛平|かんぺい|Kanpyō era (889.4.27-898.4.26); Kanbyō era
寛平|かんべい|Kanpyō era (889.4.27-898.4.26); Kanbyō era
昌泰|しょうたい|Shōtai era (898.4.26-901.7.15)
延喜|えんぎ|Engi era (901.7.15-923.4.11)
承平|じょうへい|Jōhei era (931.4.26-938.5.22); Shōhei era
承平|しょうへい|Jōhei era (931.4.26-938.5.22); Shōhei era
天慶|てんぎょう|Tengyō era (938.5.22-947.4.22); Tenkei era
天慶|てんきょう|Tengyō era (938.5.22-947.4.22); Tenkei era
天慶|てんけい|Tengyō era (938.5.22-947.4.22); Tenkei era
天暦|てんりゃく|Tenryaku era (947.4.22-957.10.27)
天徳|てんとく|Tentoku era (957.10.27-961.2.16)
応和|おうわ|Ōwa era (961.2.16-964.7.10)
康保|こうほう|Kōhō era (964.7.10-968.8.13)
安和|あんな|Anna era (968.8.13-970.3.25); Anwa era
安和|あんわ|Anna era (968.8.13-970.3.25); Anwa era
天禄|てんろく|Tenroku era (970.3.25-973.12.20)
天延|てんえん|Ten'en era (973.12.20-976.7.13)
貞元|じょうげん|Jōgen era (976.7.13-978.11.29); Teigen era
貞元|ていげん|Jōgen era (976.7.13-978.11.29); Teigen era
天元|てんげん|central black dot on a go board
天元|てんげん|Tengen era (978.11.29-983.4.15)
永観|えいかん|Eikan era (983.4.15-985.4.27)
寛和|かんな|Kanna era (985.4.27-987.4.5); Kanwa era
寛和|かんわ|Kanna era (985.4.27-987.4.5); Kanwa era
永延|えいえん|Eien era (987.4.5-989.8.8)
永祚|えいそ|Eiso era (989.8.8-990.11.7)
正暦|しょうりゃく|Shōryaku era (990.11.7-995.2.22)
長徳|ちょうとく|Chōtoku era (995.2.22-999.1.13)
長保|ちょうほう|Chōhō era (999.1.13-1004.7.20)
寛弘|かんこう|Kankō era (1004.7.20-1012.12.25)
長和|ちょうわ|Chōwa era (1012.12.25-1017.4.23)
寛仁|かんにん|Kannin era (1017.4.23-1021.2.2)
治安|じあん|Jian era (1021.2.2-1024.7.13)
万寿|まんじゅ|Manju era (1024.7.13-1028.7.25)
長元|ちょうげん|Chōgen era (1028.7.25-1037.4.21)
長暦|ちょうりゃく|Chōryaku era (1037.4.21-1040.11.10)
寛徳|かんとく|Kantoku era (1044.11.24-1046.4.14)
永承|えいしょう|Eishō era (1046.4.14-1053.1.11)
天喜|てんぎ|Tengi era (1053.1.11-1058.8.29)
康平|こうへい|Kōhei era (1058.8.29-1065.8.2)
治暦|じりゃく|Jiryaku era (1065.8.2-1069.4.13); Chiryaku era
治暦|ちりゃく|Jiryaku era (1065.8.2-1069.4.13); Chiryaku era
延久|えんきゅう|Enkyū era (1069.4.13-1074.8.23)
承暦|じょうりゃく|Jōryaku era (1077.11.17-1081.2.10); Shōryaku era
承暦|しょうりゃく|Jōryaku era (1077.11.17-1081.2.10); Shōryaku era
永保|えいほう|Eihō era (1081.2.10-1084.2.7); Eiho era
永保|えいほ|Eihō era (1081.2.10-1084.2.7); Eiho era
応徳|おうとく|Ōtoku era (1084.2.7-1087.4.7)
寛治|かんじ|Kanji era (1087.4.7-1094.12.15)
嘉保|かほう|Kahō era (1094.12.15-1096.12.17)
永長|えいちょう|Eichō era (1096.12.17-1097.11.21)
承徳|じょうとく|Jōtoku era (1097.11.21-1099.8.28); Shōtoku era
承徳|しょうとく|Jōtoku era (1097.11.21-1099.8.28); Shōtoku era
康和|こうわ|Kōwa era (1099.8.28-1104.2.10)
長治|ちょうじ|Chōji era (1104.2.10-1106.4.9)
嘉承|かしょう|Kashō era (1106.4.9-1108.8.3)
天仁|てんにん|Tennin era (1108.8.3-1110.7.13)
天永|てんえい|Ten'ei era (1110.7.13-1113.7.13)
元永|げんえい|Gen'ei era (1118.4.3-1120.4.10)
保安|ほうあん|Hōan era (1120.4.10-1124.4.3); Hoan era
保安|ほあん|Hōan era (1120.4.10-1124.4.3); Hoan era
天治|てんじ|Tenji era (1124.4.3-1126.1.22)
大治|だいじ|Daiji era (1126.1.22-1131.1.29)
天承|てんしょう|Tenshō era (1131.1.29-1132.8.11)
長承|ちょうしょう|Chōshō era (1132.8.11-1135.4.27)
保延|ほうえん|Hōen era (1135.4.27-1141.7.10)
永治|えいじ|Eiji era (1141.7.10-1142.4.28)
康治|こうじ|Kōji era (1142.4.28-1144.2.23)
天養|てんよう|Ten'yō era (1144.2.23-1145.7.22)
久安|きゅうあん|Kyūan era (1145.7.22-1151.1.26)
仁平|にんぺい|Ninpei era (1151.1.26-1154.10.28)
久寿|きゅうじゅ|Kyūju era (1154.10.28-1156.4.27)
保元|ほうげん|Hōgen era (1156.4.27-1159.4.20); Hogen era
保元|ほげん|Hōgen era (1156.4.27-1159.4.20); Hogen era
平治|へいじ|Heiji era (1159.4.20-1160.1.10)
永暦|えいりゃく|Eiryaku era (1160.1.10-1161.9.4)
応保|おうほう|Ōhō era (1161.9.4-1163.3.29)
長寛|ちょうかん|Chōkan era (1163.3.29-1165.6.5)
永万|えいまん|Eiman era (1165.6.5-1166.8.27)
仁安|にんあん|Nin'an era (1166.8.27-1169.4.8)
嘉応|かおう|Kaō era (1169.4.8-1171.4.21)
承安|しょうあん|Shōan era (1171.4.21-1175.7.28); Jōan era
承安|じょうあん|Shōan era (1171.4.21-1175.7.28); Jōan era
安元|あんげん|Angen era (1175.7.28-1177.8.4)
養和|ようわ|Yōwa era (1181.7.14-1182.5.27)
寿永|じゅえい|Juei era (1182.5.27-1184.4.16)
元暦|げんりゃく|Genryaku era (1184.4.16-1185.8.14)
建久|けんきゅう|Kenkyū era (1190.4.11-1199.4.27)
正治|しょうじ|Shōji era (1199.4.27-1201.2.13)
建仁|けんにん|Kennin era (1201.2.13-1204.2.20)
元久|げんきゅう|Genkyū era (1204.2.20-1206.4.27)
建永|けんえい|Ken'ei era (1206.4.27-1207.10.25)
承元|じょうげん|Jōgen era (1207.10.25-1211.3.9); Shōgen era
承元|しょうげん|Jōgen era (1207.10.25-1211.3.9); Shōgen era
建暦|けんりゃく|Kenryaku era (1211.3.9-1213.12.6)
建保|けんぽう|Kenpō era (1213.12.6-1219.4.12)
承久|じょうきゅう|Jōkyū era (1219.4.12-1222.4.13); Shōkyū era
承久|しょうきゅう|Jōkyū era (1219.4.12-1222.4.13); Shōkyū era
貞応|じょうおう|Jōō era (1222.4.13-1224.11.20)
元仁|げんにん|Gennin era (1224.11.20-1225.4.20)
嘉禄|かろく|Karoku era (1225.4.20-1227.12.10)
安貞|あんてい|Antei era (1227.12.10-1229.3.5)
貞永|じょうえい|Jōei era (1232.4.2-1233.4.15)
文暦|ぶんりゃく|Bunryaku era (1234.11.5-1235.9.19)
嘉禎|かてい|Katei era (1235.9.19-1238.11.23)
