卵泡立て器|たまごあわだてき|egg beater
泡沫|うたがた|bubble on surface of liquid
泡沫|うたがた|ephemeral; transient
胞衣|えな|afterbirth; placenta
胞衣|ほうい|afterbirth; placenta
胞衣|ほうえ|afterbirth; placenta
乏しい|とぼしい|meagre; meager; scarce; limited; destitute; hard up; lacking; scanty; poor
乏しい|ともしい|meagre; meager; scarce; limited; destitute; hard up; lacking; scanty; poor
はた目|はため|outsider's perspective; as seen by an observer
傍目|はため|outsider's perspective; as seen by an observer
頬|ほお|cheek (of face)
頬|ほほ|cheek (of face)
頰|ほお|cheek (of face)
頰|ほほ|cheek (of face)
北国|きたぐに|northern provinces; northern countries
北国|ほっこく|northern provinces; northern countries
北側|きたがわ|north side; north bank
北側|ほくそく|north side; north bank
北東|ほくとう|northeast
北東|きたひがし|northeast
北氷洋|ほくひょうよう|Arctic Ocean
北氷洋|ほっぴょうよう|Arctic Ocean
北風|きたかぜ|north wind
北風|ほくふう|north wind
墨客|ぼっかく|artist; writer
墨客|ぼっきゃく|artist; writer
墨刑|ぼくけい|tattooing (form of punishment in ancient China)
墨刑|ぼっけい|tattooing (form of punishment in ancient China)
牧場|ぼくじょう|farm (livestock); ranch (US); station (Aus, NZ)
牧場|ぼくじょう|pasture land; meadow; grazing land
牧場|まきば|farm (livestock); ranch (US); station (Aus, NZ)
牧場|まきば|pasture land; meadow; grazing land
本腹|ほんばら|legitimate (child)
本腹|ほんぷく|legitimate (child)
本文|ほんぶん|text (of document); body (of letter)
本文|ほんもん|text (of document); body (of letter)
凡|ぼん|mediocrity
凡人|ぼんじん|ordinary person; average person; mediocre person
凡人|ぼんにん|ordinary person; average person; mediocre person
凡百|ぼんひゃく|many; many kinds
凡百|ぼんぴゃく|many; many kinds
凡夫|ぼんぷ|ordinary person
凡夫|ぼんぷ|prthag-jana (unenlightened person)
凡夫|ぼんぶ|ordinary person
凡夫|ぼんぶ|prthag-jana (unenlightened person)
盆灯籠|ぼんとうろう|Bon Festival lantern
盆灯籠|ぼんどうろう|Bon Festival lantern
麻衣|あさごろも|linen robe
麻衣|まい|linen robe
埋まる|うまる|to be buried; to be covered; to be surrounded
埋まる|うまる|to overflow; to be crowded; to be filled
埋まる|うまる|to be repaid (e.g. debt); to be replenished
埋まる|うずまる|to be buried; to be covered; to be surrounded
埋まる|うずまる|to overflow; to be crowded; to be filled
毎月|まいつき|every month; each month; monthly
毎月|まいげつ|every month; each month; monthly
毎年|まいとし|every year; yearly; annually
毎年|まいねん|every year; yearly; annually
また聞き|またぎき|hearsay; learning by hearsay
又聞き|またぎき|hearsay; learning by hearsay
末っ子|すえっこ|youngest child
末席|ばっせき|lowest seat; foot of the table
末席|まっせき|lowest seat; foot of the table
末弟|ばってい|youngest brother
末弟|ばってい|last disciple
末弟|まってい|youngest brother
末弟|まってい|last disciple
末葉|うらば|end leaves; top leaves; last leaves
末葉|うれは|end leaves; top leaves; last leaves
末葉|すえば|end leaves; top leaves; last leaves
末葉|すえば|the last descendant; the last days of any age; end; close
末葉|ばつよう|the last descendant; the last days of any age; end; close
末葉|まつよう|the last descendant; the last days of any age; end; close
杪葉|うれは|end leaves; top leaves; last leaves
末流|ばつりゅう|descendants
末流|まつりゅう|descendants
末路|まつろ|last days; the end; one's fate
末路|ばつろ|last days; the end; one's fate
末裔|まつえい|descendant
末裔|ばつえい|descendant
万|まん|10,000; ten thousand
万|まん|myriad
万|よろず|10,000; ten thousand
万|よろず|myriad
万|よろず|everything; all
万|よろず|various
萬|まん|10,000; ten thousand
萬|まん|myriad
萬|よろず|10,000; ten thousand
萬|よろず|myriad
萬|よろず|everything; all
萬|よろず|various
万華鏡|まんげきょう|kaleidoscope
万華鏡|ばんかきょう|kaleidoscope
万劫|ばんごう|eternity
万劫|まんごう|eternity
万国旗|ばんこくき|flags of all nations
万国旗|ばんこっき|flags of all nations
万人|ばんにん|all people; everybody
万人|ばんにん|ten thousand people
万人|ばんじん|all people; everybody
万人|ばんじん|ten thousand people
万人|まんにん|all people; everybody
万人|まんにん|ten thousand people
万全|ばんぜん|perfection; flawlessness
万善|まんぜん|all good works; all good deeds
万代|ばんだい|thousands of years; eternity; all generations
万代|まんだい|thousands of years; eternity; all generations
万代|よろずよ|thousands of years; eternity; all generations
万世|よろずよ|thousands of years; eternity; all generations
万能|ばんのう|all-purpose; utility
万能|ばんのう|almighty; omnipotent
万能|まんのう|all-purpose; utility
万能|まんのう|almighty; omnipotent
万能薬|ばんのうやく|cure-all; panacea
万能薬|まんのうやく|cure-all; panacea
万福|ばんぷく|all health and happiness
万福|まんぷく|all health and happiness
万物|ばんぶつ|all things; all creation
万物|ばんもつ|all things; all creation
万万一|ばんばんいち|by any chance; ten thousand to one
万万一|まんまんいち|by any chance; ten thousand to one
万々一|ばんばんいち|by any chance; ten thousand to one
万々一|まんまんいち|by any chance; ten thousand to one
味気ない|あじけない|wearisome; insipid; dull; irksome; wretched; vain
味気ない|あじきない|wearisome; insipid; dull; irksome; wretched; vain
味気無い|あじけない|wearisome; insipid; dull; irksome; wretched; vain
味気無い|あじきない|wearisome; insipid; dull; irksome; wretched; vain
味けない|あじけない|wearisome; insipid; dull; irksome; wretched; vain
未曾有|みぞう|unprecedented; unheard of
未曾有|みそう|unprecedented; unheard of
未曽有|みぞう|unprecedented; unheard of
未曽有|みそう|unprecedented; unheard of
密入国|みつにゅうこく|smuggling oneself into a country; illegal immigration
密入国|みつにゅうごく|smuggling oneself into a country; illegal immigration
民草|たみくさ|people; populace
民草|たみぐさ|people; populace
命|めい|command; decree
命|めい|life
命|めい|destiny
明後日|あさって|day after tomorrow
明後日|みょうごにち|day after tomorrow
明示的|めいじてき|explicit
明日|あした|tomorrow
明日|あす|tomorrow
明日|あす|near future
明日|みょうにち|tomorrow
免れる|まぬがれる|to escape (disaster, death, etc.); to be saved from; to be rescued from
免れる|まぬがれる|to avoid (e.g. punishment); to evade (e.g. responsibility); to avert; to elude; to be exempted from
免れる|まぬかれる|to escape (disaster, death, etc.); to be saved from; to be rescued from
免れる|まぬかれる|to avoid (e.g. punishment); to evade (e.g. responsibility); to avert; to elude; to be exempted from
面|おもて|face
面|おもて|surface
面|おもて|mask (esp. a noh or kyogen mask)
面|おも|face
面|おも|surface
面|も|face
面|も|surface
面|もて|face
面|もて|surface
面|もて|mask (esp. a noh or kyogen mask)
面|つら|face; mug
面|つら|surface
面|つら|surrounding area
面|つら|cheek; cheeks
頬|つら|face; mug
頬|つら|surface
頬|つら|surrounding area
頬|つら|cheek; cheeks
面|めん|face
面|めん|mask; face guard
面|めん|(in kendo) striking the head
面|めん|surface (esp. a geometrical surface)
面|めん|page
面|めん|aspect; facet; side
面|めん|chamfer
面|めん|counter for broad, flat objects, levels or stages, e.g. in a video game
妄言|ぼうげん|reckless remark; rash remark; abusive language; thoughtless words
妄言|もうげん|reckless remark; rash remark; abusive language; thoughtless words
暴言|ぼうげん|reckless remark; rash remark; abusive language; thoughtless words
妄信|ぼうしん|blind acceptance; blind belief; credulity
妄信|もうしん|blind acceptance; blind belief; credulity
盲信|もうしん|blind acceptance; blind belief; credulity
妄説|ぼうせつ|fallacy; false report
妄説|もうせつ|fallacy; false report
妄想|もうそう|wild idea; delusion
妄想|ぼうそう|wild idea; delusion
盲想|もうそう|wild idea; delusion
盲想|ぼうそう|wild idea; delusion
妄動|ぼうどう|acting rashly; acting recklessly
妄動|もうどう|acting rashly; acting recklessly
盲動|ぼうどう|acting rashly; acting recklessly
盲動|もうどう|acting rashly; acting recklessly
妄評|ぼうひょう|unfair criticism; abusive remarks
妄評|もうひょう|unfair criticism; abusive remarks
盲|めくら|blindness; blind person
盲|めくら|illiteracy; illiterate person
盲|めくら|ignorance; ignoramus
盲|めしい|blindness; blind person
瞽|めくら|blindness; blind person
瞽|めくら|illiteracy; illiterate person
瞽|めくら|ignorance; ignoramus
木目|きめ|grain (of wood); curly grain
木目|もくめ|grain (of wood); curly grain
杢目|もくめ|grain (of wood); curly grain
勿|まな|must not; may not
莫|まな|must not; may not
問屋|とんや|wholesale store
問屋|といや|wholesale store
門|もん|gate
門|もん|branch of learning based on the teachings of a single master
門|もん|division; phylum
門|もん|counter for cannons
門|かど|gate
夜寒|よさむ|night cold; cold night
夜寒|よざむ|night cold; cold night
夜行|やこう|walking around at night; night train; night travel
夜行|やぎょう|walking around at night; night train; night travel
夜中|やちゅう|during the night; at night
夜半|やはん|midnight; dead of night
夜半|よわ|midnight; dead of night
夜番|やばん|night watch; night sentry
夜番|よばん|night watch; night sentry
夜話|やわ|night chat; tale told at night
夜話|やわ|book of informal essays
夜話|よばなし|night chat; tale told at night
夜話|よばなし|evening tea party (starting around 6 pm)
夜咄|よばなし|night chat; tale told at night
夜咄|よばなし|evening tea party (starting around 6 pm)
爺|じじ|old man
爺|じじい|old man
爺|じじい|old geezer
爺|じい|old man
ジジイ||old man
ジジイ||old geezer
雄しべ|おしべ|stamen
雄蕊|おしべ|stamen
雄蕊|ゆうずい|stamen
雄蘂|おしべ|stamen
雄蘂|ゆうずい|stamen
雄蕋|おしべ|stamen
雄蕋|ゆうずい|stamen
融通|ゆうずう|lending (money); finance; loan
融通|ゆうずう|adaptability; versatility; flexibility; accommodation
融通|ゆうづう|lending (money); finance; loan
融通|ゆうづう|adaptability; versatility; flexibility; accommodation
融通|ゆずう|lending (money); finance; loan
融通|ゆずう|adaptability; versatility; flexibility; accommodation
夕飯|ゆうはん|evening meal
夕飯|ゆうめし|evening meal
予言|よげん|prediction; prophecy; prognostication
余り|あまり|remainder; rest; balance; remains; scraps; residue; remnant
余り|あまり|not very (with negative sentence); not much
余り|あまり|surplus; excess; fullness; too much
余り|あまり|more than; over
余り|あんまり|remainder; rest; balance; remains; scraps; residue; remnant
余り|あんまり|not very (with negative sentence); not much
余り|あんまり|surplus; excess; fullness; too much
余り|あんまり|more than; over
餘り|あまり|remainder; rest; balance; remains; scraps; residue; remnant
餘り|あまり|not very (with negative sentence); not much
餘り|あまり|surplus; excess; fullness; too much
餘り|あまり|more than; over
餘り|あんまり|remainder; rest; balance; remains; scraps; residue; remnant
餘り|あんまり|not very (with negative sentence); not much
餘り|あんまり|surplus; excess; fullness; too much
餘り|あんまり|more than; over
よそ行き|よそゆき|going out
よそ行き|よそゆき|one's best clothes
よそ行き|よそゆき|formal (e.g. language); best (behaviour, manners, etc.)
よそ行き|よそいき|going out
よそ行き|よそいき|one's best clothes
よそ行き|よそいき|formal (e.g. language); best (behaviour, manners, etc.)
余所行き|よそゆき|going out
余所行き|よそゆき|one's best clothes
余所行き|よそゆき|formal (e.g. language); best (behaviour, manners, etc.)
余所行き|よそいき|going out
余所行き|よそいき|one's best clothes
余所行き|よそいき|formal (e.g. language); best (behaviour, manners, etc.)
他所行き|よそゆき|going out
他所行き|よそゆき|one's best clothes
他所行き|よそゆき|formal (e.g. language); best (behaviour, manners, etc.)
他所行き|よそいき|going out
他所行き|よそいき|one's best clothes
他所行き|よそいき|formal (e.g. language); best (behaviour, manners, etc.)
余人|よじん|others; other people
余人|よにん|others; other people
輿|かご|palanquin; litter; bier
輿|こし|palanquin; litter; bier
駕篭|かご|palanquin; litter; bier
駕籠|かご|palanquin; litter; bier
預かり所|あずかりじょ|cloakroom; parcel room
預かり所|あずかりしょ|cloakroom; parcel room
揺る|ゆる|to shake; to jolt; to rock (cradle); to swing
淘る|ゆる|to shake; to jolt; to rock (cradle); to swing
汰る|ゆる|to shake; to jolt; to rock (cradle); to swing
揺する|ゆする|to shake; to jolt; to rock (cradle); to swing
揺する|ゆする|to blackmail; to extort; to shake down
浴衣|ゆかた|yukata (light cotton kimono worn in the summer or used as a bathrobe)
浴衣|よくい|yukata (light cotton kimono worn in the summer or used as a bathrobe)
翌朝|よくあさ|next morning
翌朝|よくちょう|next morning
螺子|ねじ|screw
螺子|ねじ|key (of a clock, watch, etc.); spring (of a clock, watch, etc.)
螺子|らし|screw
螺子|らし|key (of a clock, watch, etc.); spring (of a clock, watch, etc.)
捻子|ねじ|screw
捻子|ねじ|key (of a clock, watch, etc.); spring (of a clock, watch, etc.)
捩子|ねじ|screw
捩子|ねじ|key (of a clock, watch, etc.); spring (of a clock, watch, etc.)
螺旋|ねじ|screw
螺旋|ねじ|key (of a clock, watch, etc.); spring (of a clock, watch, etc.)
ネジ||screw
ネジ||key (of a clock, watch, etc.); spring (of a clock, watch, etc.)
螺旋|らせん|spiral; helix
螺旋|らせん|screw
来し方|きしかた|the past
来し方|こしかた|the past
来客|らいきゃく|visitor; caller
来客|らいかく|visitor; caller
来春|らいしゅん|next spring
来春|らいはる|next spring
来場|らいじょう|attendance
来場|らいば|attendance
雷|かみなり|lightning; thunder; thunderbolt
雷|かみなり|god of thunder; god of lightning
雷|かみなり|anger; fit of anger
雷|いかずち|lightning; thunder; thunderbolt
雷|いかづち|lightning; thunder; thunderbolt
雷|らい|lightning; thunder; thunderbolt
落ち葉|おちば|fallen leaves; leaf litter
落葉|おちば|fallen leaves; leaf litter
落葉|らくよう|fallen leaves; leaf litter
落葉|らくよう|deciduous
卵形|らんけい|oval; egg-shaped
卵形|たまごがた|oval; egg-shaped
卵型|たまごがた|oval; egg-shaped
裏日本|うらにっぽん|Japan Sea coastal areas; Sea of Japan coastal areas
裏日本|うらにほん|Japan Sea coastal areas; Sea of Japan coastal areas
陸稲|おかぼ|rice grown on dry land; dry land rice plant
陸稲|りくとう|rice grown on dry land; dry land rice plant
流行|はやり|fashion; fad; vogue; craze
流行|はやり|prevalence (e.g. of a disease)
流行|りゅうこう|fashion; fad; vogue; craze
流行|りゅうこう|prevalence (e.g. of a disease)
流行り|はやり|fashion; fad; vogue; craze
流行り|はやり|prevalence (e.g. of a disease)
竜顔|りゅうがん|imperial countenance
竜顔|りょうがん|imperial countenance
竜虎|りゅうこ|dragon and tiger; two mighty rivals
竜虎|りょうこ|dragon and tiger; two mighty rivals
龍虎|りゅうこ|dragon and tiger; two mighty rivals
龍虎|りょうこ|dragon and tiger; two mighty rivals
両側|りょうがわ|both sides
両側|りょうそく|both sides
両足|りょうそく|both feet
両足|りょうあし|both feet
両足|りょうあし|both legs
両足|もろあし|both feet
両損|りょうそん|loss on both sides
両損|りょうぞん|loss on both sides
両端|りょうたん|both ends; either end; both edges
両端|りょうたん|double-mindedness; sitting on the fence
両端|りょうはし|both ends; either end; both edges
両端|りょうはじ|both ends; either end; both edges
涼風|りょうふう|cool breeze; refreshing breeze
涼風|すずかぜ|cool breeze; refreshing breeze
療養所|りょうようじょ|sanatorium
療養所|りょうようしょ|sanatorium
力付く|ちからづく|to recover one's strength; to recover one's spirit; to revive; to be refreshed; to be invigorated; to be encouraged
力づく|ちからづく|to recover one's strength; to recover one's spirit; to revive; to be refreshed; to be invigorated; to be encouraged
力ずく|ちからずく|(brute) force; using all one's might
力尽く|ちからずく|(brute) force; using all one's might
力尽く|ちからづく|(brute) force; using all one's might
力尽|ちからずく|(brute) force; using all one's might
力尽|ちからづく|(brute) force; using all one's might
隣国|りんごく|neighbouring country; neighboring country; neighbouring state; neighboring state
隣国|りんこく|neighbouring country; neighboring country; neighbouring state; neighboring state
令旨|りょうじ|prince's message; command of a prince
令旨|れいし|prince's message; command of a prince
例|れい|custom; practice; habit; usual
例|れい|said; aforementioned
例|れい|instance; example; case; illustration; usage
例|れい|precedent
冷酒|ひやざけ|cold sake
冷酒|れいしゅ|cold sake
冷や酒|ひやざけ|cold sake
恋歌|こいうた|love song; love poem
恋歌|こいうた|mating call (animals)
恋歌|れんか|love song; love poem
恋歌|れんか|mating call (animals)
恋歌|こいか|love song; love poem
恋歌|こいか|mating call (animals)
恋心|こいごころ|one's love; awakening of love
恋心|こいこころ|one's love; awakening of love
恋病|こいやまい|lovesickness
恋病|こいやみ|lovesickness
老若|ろうにゃく|young and old; all ages
老若|ろうじゃく|young and old; all ages
老弱|ろうじゃく|infirmities of old age
老弱|ろうじゃく|young and old; all ages
老舗|しにせ|old shop; shop of long standing
老舗|しにせ|well-established; first of the kind; veteran
老舗|ろうほ|old shop; shop of long standing
老舗|ろうほ|well-established; first of the kind; veteran
老鋪|ろうほ|old shop; shop of long standing
老鋪|ろうほ|well-established; first of the kind; veteran
聾|つんぼ|deafness
聾|つんぼ|deaf person
聾|みみしい|deafness
聾|みみしい|deaf person
六|ろく|six
六|む|six
六|むう|six
６|ろく|six
６|む|six
６|むう|six
陸|ろく|six
陸|む|six
陸|むう|six
六つ|むっつ|six
六つ|むつ|six
６つ|むっつ|six
６つ|むつ|six
肋骨|あばらぼね|rib
肋骨|ろっこつ|rib
肋骨|ろっこつ|frame (of a ship)
あばら骨|あばらぼね|rib
ろっ骨|ろっこつ|rib
ろっ骨|ろっこつ|frame (of a ship)
大和|やまと|Yamato; ancient province corresponding to modern-day Nara Prefecture
大和|やまと|(ancient) Japan
大和|やまと|Japanese
倭|やまと|Yamato; ancient province corresponding to modern-day Nara Prefecture
倭|やまと|(ancient) Japan
倭|やまと|Japanese
和太鼓|わだいこ|Japanese drum
和太鼓|わたいこ|Japanese drum
和名|わみょう|Japanese name (often of plants and animals, and written in kana)
和名|わめい|Japanese name (often of plants and animals, and written in kana)
歪む|ゆがむ|to warp; to swerve; to deflect; to be crooked; to be distorted; to be bent; to incline; to slant; to be perverted; to be gross-grained; to get bent; to be strained
歪む|いがむ|to warp; to swerve; to deflect; to be crooked; to be distorted; to be bent; to incline; to slant; to be perverted; to be gross-grained; to get bent; to be strained
歪む|ひずむ|to warp; to swerve; to deflect; to be crooked; to be distorted; to be bent; to incline; to slant; to be perverted; to be gross-grained; to get bent; to be strained
歪める|ゆがめる|to bend; to curve; to warp; to distort; to disfigure
歪める|ゆがめる|to bend (the truth); to falsify; to twist
歪める|ゆがめる|to corrupt; to sully
歪める|いがめる|to bend; to curve; to warp; to distort; to disfigure
歪める|いがめる|to bend (the truth); to falsify; to twist
歪める|いがめる|to corrupt; to sully
佚|いつ|being comfortable; relaxing
儘|まま|as it is; as one likes; because; as
儘|まま|condition; state
儘|まんま|as it is; as one likes; because; as
儘|まんま|condition; state
侭|まま|as it is; as one likes; because; as
侭|まま|condition; state
侭|まんま|as it is; as one likes; because; as
侭|まんま|condition; state
ママ||as it is; as one likes; because; as
ママ||condition; state
ママ||sic; sic erat scriptum; indicates that the quoted matter has been transcribed exactly as found in the source text
虜|とりこ|captive; prisoner
虜|とりこ|victim (of love, etc.); slave (to one's lust, etc.)
擒|とりこ|captive; prisoner
擒|とりこ|victim (of love, etc.); slave (to one's lust, etc.)
俘|とりこ|captive; prisoner
俘|とりこ|victim (of love, etc.); slave (to one's lust, etc.)
倅|せがれ|son
倅|せがれ|punk; brat
倅|せがれ|penis
悴|せがれ|son
悴|せがれ|punk; brat
悴|せがれ|penis
伜|せがれ|son
伜|せがれ|punk; brat
伜|せがれ|penis
倩々|つらつら|carefully; attentively; profoundly; deeply; at length
倩|つらつら|carefully; attentively; profoundly; deeply; at length
熟々|つらつら|carefully; attentively; profoundly; deeply; at length
偖|さて|well; now; then
扨|さて|well; now; then
扠|さて|well; now; then
傀儡|かいらい|puppet; dummy
傀儡|かいらい|prostitute
傀儡|くぐつ|puppet; dummy
傀儡|くぐつ|prostitute
佝僂|くる|rickets
佝僂|くる|someone suffering from rickets
儺|な|(ceremony of) driving out evil spirits
抉る|えぐる|to gouge; to hollow out; to bore; to excavate; to scoop out
抉る|えぐる|to greatly perturb; to cause emotional pain
抉る|えぐる|to get to the bottom of things; to relentlessly bring the truth to light
刳る|えぐる|to gouge; to hollow out; to bore; to excavate; to scoop out
刳る|えぐる|to greatly perturb; to cause emotional pain
刳る|えぐる|to get to the bottom of things; to relentlessly bring the truth to light
刳る|くる|to gouge; to hollow out; to bore; to excavate; to scoop out
剔る|えぐる|to gouge; to hollow out; to bore; to excavate; to scoop out
剔る|えぐる|to greatly perturb; to cause emotional pain
剔る|えぐる|to get to the bottom of things; to relentlessly bring the truth to light
刹|さつ|temple (Buddhist)
刹|さつ|central pillar of a pagoda
刹|さつ|kshetra (realm, country); ksetra
刹|せつ|temple (Buddhist)
刹|せつ|central pillar of a pagoda
刹|せつ|kshetra (realm, country); ksetra
檫|さつ|central pillar of a pagoda
檫|せつ|central pillar of a pagoda
匍球|ほきゅう|grounder
匙|さじ|spoon
匙|しゃじ|spoon
匙|かい|spoon
匕|さじ|spoon
匕|しゃじ|spoon
匕|かい|spoon
匕首|あいくち|dagger; dirk
匕首|ひしゅ|dagger; dirk
箱|はこ|box; case; chest; package; pack; crate
箱|はこ|car (of a train, etc.)
箱|はこ|shamisen case; shamisen
箱|はこ|public building; community building
箱|はこ|man who carries a geisha's shamisen
箱|はこ|receptacle for human waste; feces (faeces)
箱|はこ|counter for boxes (or boxed objects)
函|はこ|box; case; chest; package; pack; crate
函|はこ|car (of a train, etc.)
函|はこ|shamisen case; shamisen
函|はこ|public building; community building
函|はこ|man who carries a geisha's shamisen
函|はこ|receptacle for human waste; feces (faeces)
函|はこ|counter for boxes (or boxed objects)
匣|はこ|box; case; chest; package; pack; crate
匣|はこ|car (of a train, etc.)
匣|はこ|shamisen case; shamisen
匣|はこ|public building; community building
匣|はこ|man who carries a geisha's shamisen
匣|はこ|receptacle for human waste; feces (faeces)
匣|はこ|counter for boxes (or boxed objects)
筥|はこ|box; case; chest; package; pack; crate
筥|はこ|car (of a train, etc.)
筥|はこ|shamisen case; shamisen
筥|はこ|public building; community building
筥|はこ|man who carries a geisha's shamisen
筥|はこ|receptacle for human waste; feces (faeces)
筥|はこ|counter for boxes (or boxed objects)
筐|はこ|box; case; chest; package; pack; crate
筐|はこ|car (of a train, etc.)
筐|はこ|shamisen case; shamisen
筐|はこ|public building; community building
筐|はこ|man who carries a geisha's shamisen
筐|はこ|receptacle for human waste; feces (faeces)
筐|はこ|counter for boxes (or boxed objects)
凾|はこ|box; case; chest; package; pack; crate
凾|はこ|car (of a train, etc.)
凾|はこ|shamisen case; shamisen
凾|はこ|public building; community building
凾|はこ|man who carries a geisha's shamisen
凾|はこ|receptacle for human waste; feces (faeces)
凾|はこ|counter for boxes (or boxed objects)
ハコ||box; case; chest; package; pack; crate
ハコ||car (of a train, etc.)
ハコ||shamisen case; shamisen
ハコ||public building; community building
ハコ||man who carries a geisha's shamisen
ハコ||receptacle for human waste; feces (faeces)
ハコ||counter for boxes (or boxed objects)
吝嗇|りんしょく|stinginess; miser; miserliness; selfishness
悋嗇|りんしょく|stinginess; miser; miserliness; selfishness
堡塁|ほうるい|fort; stronghold
堡塁|ほるい|fort; stronghold
娑婆気|しゃばけ|worldly desires or ambitions
娑婆気|しゃばき|worldly desires or ambitions
嬌態|きょうたい|coquetry
孑孑|ぼうふら|mosquito larva; wriggler; maggot
孑孑|ぼうふり|mosquito larva; wriggler; maggot
孑々|ぼうふら|mosquito larva; wriggler; maggot
孑々|ぼうふり|mosquito larva; wriggler; maggot
棒振|ぼうふら|mosquito larva; wriggler; maggot
棒振|ぼうふり|mosquito larva; wriggler; maggot
ボーフラ||mosquito larva; wriggler; maggot
ボウフラ||mosquito larva; wriggler; maggot
幇間|たいこもち|professional jester; professional entertainer; comedian; buffoon
幇間|たいこもち|flatterer; sycophant; brown-noser
幇間|ほうかん|professional jester; professional entertainer; comedian; buffoon
幇間|ほうかん|flatterer; sycophant; brown-noser
太鼓持ち|たいこもち|professional jester; professional entertainer; comedian; buffoon
太鼓持ち|たいこもち|flatterer; sycophant; brown-noser
憤怒|ふんぬ|anger; rage; resentment; indignation; exasperation
憤怒|ふんど|anger; rage; resentment; indignation; exasperation
忿怒|ふんぬ|anger; rage; resentment; indignation; exasperation
忿怒|ふんど|anger; rage; resentment; indignation; exasperation
懺悔|さんげ|repentance; confession; penitence
懺悔|ざんげ|repentance; confession; penitence
拱手傍観|きょうしゅぼうかん|stand idly by and watch
拱手傍観|こうしゅぼうかん|stand idly by and watch
梵刹|ぼんさつ|temple
梵刹|ぼんせつ|temple
歴青|れきせい|asphalt; bitumen
歴青|チャン|asphalt; bitumen
瀝青|れきせい|asphalt; bitumen
瀝青|チャン|asphalt; bitumen
獰猛|どうもう|ferocious; fierce; truculent; savage
獰猛|ねいもう|ferocious; fierce; truculent; savage
どう猛|どうもう|ferocious; fierce; truculent; savage
甕|みか|large earthenware pot (for brewing sake)
甕|みかわ|large earthenware pot (for brewing sake)
甕わ|みかわ|large earthenware pot (for brewing sake)
癸|き|10th in rank; tenth sign of the Chinese calendar
癸|みずのと|10th in rank; tenth sign of the Chinese calendar
瞑る|つぶる|to close (eyes); to shut
瞑る|つむる|to close (eyes); to shut
暝る|つぶる|to close (eyes); to shut
暝る|つむる|to close (eyes); to shut
禀性|ひんせい|nature; character
禀性|りんせい|nature; character
臍帯|さいたい|umbilical cord
臍帯|せいたい|umbilical cord
茹だる|ゆだる|to boil; to seethe
茹だる|うだる|to boil; to seethe
茹だる|うだる|to be oppressed by heat
茹る|ゆだる|to boil; to seethe
茹る|うだる|to boil; to seethe
茹る|うだる|to be oppressed by heat
蜉蝣|かげろう|mayfly; ephemeropteran
蜉蝣|かげろう|ephemerality (of human life)
蜉蝣|かげろう|dragonfly; damselfly
蜉蝣|ふゆう|mayfly; ephemeropteran
蜉蝣|ふゆう|ephemerality (of human life)
カゲロウ||mayfly; ephemeropteran
カゲロウ||ephemerality (of human life)
蜻蛉|とんぼ|dragonfly; damselfly
蜻蛉|とんぼう|dragonfly; damselfly
蜻蛉|せいれい|dragonfly; damselfly
蜻蜓|とんぼ|dragonfly; damselfly
蜻蜓|とんぼう|dragonfly; damselfly
蜻蜓|せいれい|dragonfly; damselfly
トンボ||dragonfly; damselfly
螟虫|ずいむし|pyralid larva; borer
螟虫|めいちゅう|pyralid larva; borer
髄虫|ずいむし|pyralid larva; borer
蟷螂|かまきり|praying mantis (esp. the narrow-winged mantis, Tenodera angustipennis)
蟷螂|とうろう|praying mantis (esp. the narrow-winged mantis, Tenodera angustipennis)
蟷螂|いもじり|praying mantis (esp. the narrow-winged mantis, Tenodera angustipennis)
蟷螂|いいぼむしり|praying mantis (esp. the narrow-winged mantis, Tenodera angustipennis)
螳螂|かまきり|praying mantis (esp. the narrow-winged mantis, Tenodera angustipennis)
螳螂|とうろう|praying mantis (esp. the narrow-winged mantis, Tenodera angustipennis)
鎌切|かまきり|praying mantis (esp. the narrow-winged mantis, Tenodera angustipennis)
蟐螂|かまきり|praying mantis (esp. the narrow-winged mantis, Tenodera angustipennis)
カマキリ||praying mantis (esp. the narrow-winged mantis, Tenodera angustipennis)
杜父魚|かくぶつ|fourspine sculpin (species of fish, Cottus kazika)
杜夫魚|かくぶつ|fourspine sculpin (species of fish, Cottus kazika)
衾|ふすま|quilt; bedding
襁褓|おしめ|diaper; nappy
襁褓|おしめ|swaddling clothes
襁褓|おしめ|loincloth
襁褓|むつき|diaper; nappy
襁褓|むつき|swaddling clothes
襁褓|むつき|loincloth
御湿|おしめ|diaper; nappy
御湿|おしめ|swaddling clothes
御湿|おしめ|loincloth
貪|たん|coveting
貪|たん|raga (desire)
貪|どん|coveting
貪|どん|raga (desire)
貪婪|たんらん|covetousness; greed
貪婪|どんらん|covetousness; greed
貪焚|たんらん|covetousness; greed
貪焚|どんらん|covetousness; greed
釉薬|うわぐすり|glaze; overglaze; enamel
釉薬|ゆうやく|glaze; overglaze; enamel
上薬|うわぐすり|glaze; overglaze; enamel
釉|うわぐすり|glaze; overglaze; enamel
上釉|うわぐすり|glaze; overglaze; enamel
鮠|はや|minnow; shinner
鮠|はえ|minnow; shinner
鮠|はい|minnow; shinner
鰷|はや|minnow; shinner
鰷|はえ|minnow; shinner
鰷|はい|minnow; shinner
合い印|あいいん|verification seal; tally
合印|あいいん|verification seal; tally
合い鍵|あいかぎ|duplicate key
合い鍵|あいかぎ|pass key; master key; skeleton key
