無限軌道|むげんきどう|continuous track; caterpillar track
水の泡|みずのあわ|something that is short-lived
数ヶ国|すうかこく|various countries; several countries
数ケ国|すうかこく|various countries; several countries
数か国|すうかこく|various countries; several countries
数カ国|すうかこく|various countries; several countries
数箇国|すうかこく|various countries; several countries
数ヶ所|すうかしょ|various places; several sources
数ケ所|すうかしょ|various places; several sources
数か所|すうかしょ|various places; several sources
数カ所|すうかしょ|various places; several sources
数箇所|すうかしょ|various places; several sources
数件|すうけん|several items; many items
数行|すうぎょう|several lines; many lines
数社|すうしゃ|several companies
数珠繋ぎ|じゅずつなぎ|linking together; tying in a row
数珠つなぎ|じゅずつなぎ|linking together; tying in a row
数少ない|かずすくない|few in number
数多い|かずおおい|many; a multiplicity of
世にも|よにも|extremely; very
清爽|せいそう|refreshing
清爽|せいそう|neat; tidy; trim
清爽|かわらか|refreshing
清爽|かわらか|neat; tidy; trim
生まれながら|うまれながら|by nature; naturally; by birth; inborn
生れながら|うまれながら|by nature; naturally; by birth; inborn
生まれ乍ら|うまれながら|by nature; naturally; by birth; inborn
生れ乍ら|うまれながら|by nature; naturally; by birth; inborn
製する|せいする|to make (something)
惜し気もなく|おしげもなく|freely; generously; liberally; ungrudgingly
惜しげもなく|おしげもなく|freely; generously; liberally; ungrudgingly
惜気もなく|おしげもなく|freely; generously; liberally; ungrudgingly
石壁|いしかべ|stone wall; dry wall
石壁|いしかべ|rocky cliff; stone precipice
石壁|せきへき|stone wall; dry wall
石壁|せきへき|rocky cliff; stone precipice
赤煉瓦|あかれんが|red brick
赤レンガ|あかレンガ|red brick
赤ワイン|あかワイン|red wine
白ワイン|しろワイン|white wine
切れ口|きれくち|cut end; section; opening; slit
先述|せんじゅつ|aforesaid; aforementioned
川縁|かわぶち|riverbank; riverside
川縁|かわべり|riverbank; riverside
川べり|かわべり|riverbank; riverside
線上|せんじょう|on the line; borderline
選び方|えらびかた|choice
前月|ぜんげつ|last month; previous month
前作|ぜんさく|previous work; preceding work
前作|ぜんさく|first crop grown in a double-cropped field; preceding crop
前作|まえさく|previous work; preceding work
前作|まえさく|first crop grown in a double-cropped field; preceding crop
組み直す|くみなおす|to reschedule; to recompose; to recross (one's legs); to reset
組みなおす|くみなおす|to reschedule; to recompose; to recross (one's legs); to reset
組織立つ|そしきだつ|to have orderly plans; to be systematic
双方向|そうほうこう|two-way; bidirectional; interactive
早くから|はやくから|early on; earlier on; from early
窓側|まどがわ|window-side
総じて|そうじて|in general; generally
総じて|そうじて|as a whole; all in all; altogether; summing it up
走り出る|はしりでる|to run out (e.g. of the room)
憎たらしい|にくたらしい|odious; hateful; awful; horrid; revolting
憎たらしい|にくったらしい|odious; hateful; awful; horrid; revolting
足繁く|あししげく|frequently
足しげく|あししげく|frequently
足繁く通う|あししげくかよう|to visit frequently; to haunt
足しげく通う|あししげくかよう|to visit frequently; to haunt
袖の下|そでのした|bribe; money under the table
存じ上げる|ぞんじあげる|to know; to think
尊師|そんし|holy master; guru
太りすぎ|ふとりすぎ|overweight
太り過ぎ|ふとりすぎ|overweight
帯出|たいしゅつ|taking out; using at home
苔生す|こけむす|to become covered in moss; to be moss-covered; to have moss growing on itself; to become aged (e.g. building, stone)
苔むす|こけむす|to become covered in moss; to be moss-covered; to have moss growing on itself; to become aged (e.g. building, stone)
大儲け|おおもうけ|large profit; a killing
大もうけ|おおもうけ|large profit; a killing
大リーグ|だいリーグ|the major leagues
大金持ち|おおがねもち|very rich person
大金持ち|おおかねもち|very rich person
大金持|おおがねもち|very rich person
大金持|おおかねもち|very rich person
大人びる|おとなびる|to become grown-up; to age; to mature
大発見|だいはっけん|breakthrough; great discovery
大忙し|おおいそがし|very busy (person or thing)
誰もかも|だれもかも|everyone
知らす|しらす|to inform; to notify
知らす|しらす|to know
知らす|しらす|to reign
地ビール|じビール|local beer; microbrew
恥ずべき|はずべき|disgraceful; shameful
着こなし|きこなし|dressing well
着の身着の儘|きのみきのまま|(with) only the clothes one happens to wear
着の身着の侭|きのみきのまま|(with) only the clothes one happens to wear
着のみ着のまま|きのみきのまま|(with) only the clothes one happens to wear
着の身着のまま|きのみきのまま|(with) only the clothes one happens to wear
着古し|きふるし|old clothes; cast-off clothes
駐禁|ちゅうきん|no parking
叉焼|チャーシュー|roasted pork fillet (often used in ramen)
文句なし|もんくなし|undisputed; entirely; perfect
文句無し|もんくなし|undisputed; entirely; perfect
目に浮かぶ|めにうかぶ|to picture; to come into one's mind; to remember
頼みごと|たのみごと|favour; favor
頼み事|たのみごと|favour; favor
度ごと|たびごと|each time; every time
度毎|たびごと|each time; every time
繊維質|せんいしつ|dietary fiber (fibre)
調査官|ちょうさかん|examiner; investigator; inquisitor; agent
長たらしい|ながたらしい|tedious; lengthy; overlong; long-winded
長ったらしい|ながったらしい|tedious; lengthy; overlong; long-winded
長期間|ちょうきかん|extended period of time; prolonged; long-range
長年の夢|ながねんのゆめ|long-cherished dream
直営店|ちょくえいてん|company store
賃料|ちんりょう|rent; rental
賃貸料|ちんたいりょう|rent; rental
賃貸料金|ちんたいりょうきん|rent; rental
追っかけ|おっかけ|chase scene
追っかけ|おっかけ|groupie; paparazzo
追っかけ|おっかけ|soon; by-and-by
追っ掛け|おっかけ|chase scene
追っ掛け|おっかけ|groupie; paparazzo
追っ掛け|おっかけ|soon; by-and-by
呈する|ていする|to present; to offer
呈する|ていする|to show; to display; to exhibit
呈する|ていする|to assume (e.g. a shape)
庭付き|ていづき|having a garden
溺れ死ぬ|おぼれじぬ|to die by drowning; to drown
塗りたくる|ぬりたくる|to bedaub (with paint); to besmear; to paint heavily; to spread thickly
倒れこむ|たおれこむ|to collapse into; to flop onto
倒れ込む|たおれこむ|to collapse into; to flop onto
冬作物|ふゆさくもつ|winter crops
冬作|ふゆさく|winter crops
東証|とうしょう|Tokyo Stock Exchange
当会|とうかい|present society; this company; the organization; the organisation
動き出す|うごきだす|to come alive; to get going; to start to move
動きだす|うごきだす|to come alive; to get going; to start to move
同年代|どうねんだい|the same generation; coeval
道すがら|みちすがら|along the road; along the way
読み掛ける|よみかける|to begin to read; to leaf through a book
読掛ける|よみかける|to begin to read; to leaf through a book
読みかける|よみかける|to begin to read; to leaf through a book
突っ撥ねる|つっぱねる|to reject; to spurn; to turn down; to refuse
突っぱねる|つっぱねる|to reject; to spurn; to turn down; to refuse
取締役会長|とりしまりやくかいちょう|chairman of board of directors
取締役社長|とりしまりやくしゃちょう|managing director; president of a company (US)
取締役副社長|とりしまりやくふくしゃちょう|executive vice-president
ちんけ||worst; poor and boring; uncool
チンケ||worst; poor and boring; uncool
等幅|とうはば|fixed-width (e.g. font)
等幅フォント|とうはばフォント|fixed-width font; typewriter font
曇らす|くもらす|to encloud; to make dim; to make dull; to tarnish; to obscure; to darken; to muffle
難くせ|かたくせ|fault-finding
二日間|ふつかかん|a period of two days
２日間|ふつかかん|a period of two days
日暮らし|ひぐらし|from morning to evening; all day long
日暮し|ひぐらし|from morning to evening; all day long
蜩|ひぐらし|evening cicada (Tanna japonensis)
茅蜩|ひぐらし|evening cicada (Tanna japonensis)
ヒグラシ||evening cicada (Tanna japonensis)
カナカナ||evening cicada (Tanna japonensis)
入退院|にゅうたいいん|entering and leaving hospital
熱っぽい|ねつっぽい|feverish
熱っぽい|ねつっぽい|enthusiastic
年度末|ねんどまつ|end of the fiscal year; end of the school year
粘り抜く|ねばりぬく|to stick it out; to see it to the end
馬の背|うまのせ|horseback
排する|はいする|to push aside; to overcome (e.g. difficulties); to reject
排する|はいする|to align; to put in order
排する|はいする|to push open
排ガス|はいガス|exhaust gas; exhaust fumes
背もたれ|せもたれ|back (of a chair)
背凭れ|せもたれ|back (of a chair)
買い換える|かいかえる|to buy a replacement; to replace by buying something new
買い替える|かいかえる|to buy a replacement; to replace by buying something new
買いかえる|かいかえる|to buy a replacement; to replace by buying something new
買い付ける|かいつける|to buy in; to purchase
鸊鷉|かいつぶり|little grebe (Tachybaptus ruficollis)
鸊鷉|かいつぶり|grebe (any waterbird of family Podicipedidae)
カイツブリ||little grebe (Tachybaptus ruficollis)
カイツブリ||grebe (any waterbird of family Podicipedidae)
買い与える|かいあたえる|to buy as a gift
売り買い|うりかい|trade; buying and selling
這い出す|はいだす|to crawl out; to creep out
這い出す|はいだす|to begin to crawl
はい出す|はいだす|to crawl out; to creep out
はい出す|はいだす|to begin to crawl
這い出る|はいでる|to crawl out of; to creep out of
はい出る|はいでる|to crawl out of; to creep out of
博する|はくする|to win; to gain; to earn
博する|はくする|to spread (one's name, etc.)
博す|はくす|to win; to gain; to earn
博す|はくす|to spread (one's name, etc.)
肌荒れ|はだあれ|dry skin; bad skin; rough skin; unhealthy skin
肌荒|はだあれ|dry skin; bad skin; rough skin; unhealthy skin
肌あれ|はだあれ|dry skin; bad skin; rough skin; unhealthy skin
非の打ち所がない|ひのうちどころがない|impeccable; unimpeachable; cannot be faulted; above reproach; beyond reproach; faultless; perfect
非の打ち所が無い|ひのうちどころがない|impeccable; unimpeachable; cannot be faulted; above reproach; beyond reproach; faultless; perfect
非の打ちどころがない|ひのうちどころがない|impeccable; unimpeachable; cannot be faulted; above reproach; beyond reproach; faultless; perfect
非の打ちどころが無い|ひのうちどころがない|impeccable; unimpeachable; cannot be faulted; above reproach; beyond reproach; faultless; perfect
非核|ひかく|non-nuclear; anti-nuclear
筆まめ|ふでまめ|good correspondent; ready writer
筆忠実|ふでまめ|good correspondent; ready writer
不美人|ふびじん|plain woman
封切る|ふうきる|to release (e.g. a film)
封切る|ふうぎる|to release (e.g. a film)
風の音|かぜのおと|sound of the wind; voice of the wind
復する|ふくする|to return to normal; to recover; to restore
復す|ふくす|to return to normal; to recover; to restore
腹の中で笑う|はらのなかでわらう|to laugh to oneself; to smile to oneself
キモイ||gross; disgusting
キモい||gross; disgusting
きもい||gross; disgusting
ナルキッソス||Narcissus
物書き|ものかき|writer; copyist
物書|ものかき|writer; copyist
片棒|かたぼう|partner; accomplice
放りっぱなし|ほうりっぱなし|untouched; unrestrained; unscathed
萌える|もえる|to burst into bud; to sprout
萌える|もえる|to have a crush; to be infatuated
忘れかける|わすれかける|to start forgetting
没する|ぼっする|to sink; to go down; to set
没する|ぼっする|to pass away; to die
没する|ぼっする|to disappear; to vanish
没する|ぼっする|to confiscate
歿する|ぼっする|to pass away; to die
本状|ほんじょう|this document; this letter; this writing
埋め合わす|うめあわす|to make up for; to compensate for
埋め合す|うめあわす|to make up for; to compensate for
埋めあわす|うめあわす|to make up for; to compensate for
釣り浮き|つりうき|fishing float; bobber
視する|しする|to take a view or perspective; to regard as; to consider to be
物干し台|ものほしだい|clothes-drying platform; place for drying laundry
物干台|ものほしだい|clothes-drying platform; place for drying laundry
胸が悪くなる|むねがわるくなる|to feel sick; to be nauseated
胸がわるくなる|むねがわるくなる|to feel sick; to be nauseated
賦存|ふそん|existence; presence (of resources)
賦存量|ふそんりょう|abundance
塗り分ける|ぬりわける|to paint in different colors (for different purposes) (colours)
鳴り分け|なりわけ|distinctive ring tones
離れ|ばなれ|separation from; loss of interest in; independence of; distancing (of oneself) from; disillusionment with; alienation from (something)
離れ|はなれ|detached (dwelling, room)
親離れ|おやばなれ|independence from parents
子離れ|こばなれ|parents' ability (or inability) to let go of their children
活字離れ|かつじばなれ|aliteracy; loss of interest in or shift away from reading (especially serious) books or literature
客離れ|きゃくばなれ|customers losing interest in product or shop
金融機関離れ|きんゆうきかんばなれ|disintermediation; removing money from banks; seeking non-bank funds sources
素人離れ|しろうとばなれ|amateur as good as a professional
時代離れ|じだいばなれ|not up with the times; out of touch
浮き世離れ|うきよばなれ|unworldly; other-worldly; free from worldliness
浮世離れ|うきよばなれ|unworldly; other-worldly; free from worldliness
政治離れ|せいじばなれ|disillusionment with politics
未処理|みしょり|untreated; left unattended (to); still to be dealt with; unprocessed
名演|めいえん|fine performance; tour de force
名演技|めいえんぎ|fine performance; tour de force
明かり窓|あかりまど|transom; skylight; dormer window
明り窓|あかりまど|transom; skylight; dormer window
鳴り出す|なりだす|to begin making a sound (ringing, singing, crying, etc.)
鳴りだす|なりだす|to begin making a sound (ringing, singing, crying, etc.)
滅ぶ|ほろぶ|to be ruined; to go under; to perish; to be destroyed
亡ぶ|ほろぶ|to be ruined; to go under; to perish; to be destroyed
猛る|たける|to rage; to be fierce
猛る|たける|to be excited
野暮ったい|やぼったい|unfashionable (e.g. clothes); uncouth; unpolished
躍り出る|おどりでる|to jump (e.g. to first place); to spring out
おどり出る|おどりでる|to jump (e.g. to first place); to spring out
友愛会|ゆうあいかい|fraternal association; friendship society; fraternity
遊びまわる|あそびまわる|to jaunt around; to play around; to visit one place after another without effect
遊び回る|あそびまわる|to jaunt around; to play around; to visit one place after another without effect
遊び廻る|あそびまわる|to jaunt around; to play around; to visit one place after another without effect
夕空|ゆうぞら|evening sky; twilight sky
夕ご飯|ゆうごはん|evening meal; dinner; supper
夕御飯|ゆうごはん|evening meal; dinner; supper
夕ごはん|ゆうごはん|evening meal; dinner; supper
浴びせかける|あびせかける|to throw (liquid) at; to dash
浴びせかける|あびせかける|to inundate (with questions); to heap (praise); to hurl (abuse); to level (insults)
浴びせ掛ける|あびせかける|to throw (liquid) at; to dash
浴びせ掛ける|あびせかける|to inundate (with questions); to heap (praise); to hurl (abuse); to level (insults)
来はじめる|きはじめる|to come for the first time; to become for the first time
来始める|きはじめる|to come for the first time; to become for the first time
落ち込み|おちこみ|decline (of something)
落込み|おちこみ|decline (of something)
落つ|おつ|to fall down; to drop; to fall (e.g. rain); to sink (e.g. sun or moon); to fall onto (e.g. light or one's gaze)
落つ|おつ|to be omitted; to be missing
落つ|おつ|to crash; to degenerate; to degrade; to fall behind
落つ|おつ|to be removed (e.g. illness, possessing spirit, name on a list)
落つ|おつ|to fall (into someone's hands); to become someone's possession
落つ|おつ|to fall; to be defeated; to surrender
墜つ|おつ|to fall down; to drop; to fall (e.g. rain); to sink (e.g. sun or moon); to fall onto (e.g. light or one's gaze)
墜つ|おつ|to be omitted; to be missing
墜つ|おつ|to crash; to degenerate; to degrade; to fall behind
墜つ|おつ|to be removed (e.g. illness, possessing spirit, name on a list)
墜つ|おつ|to fall (into someone's hands); to become someone's possession
墜つ|おつ|to fall; to be defeated; to surrender
堕つ|おつ|to fall down; to drop; to fall (e.g. rain); to sink (e.g. sun or moon); to fall onto (e.g. light or one's gaze)
堕つ|おつ|to be omitted; to be missing
堕つ|おつ|to crash; to degenerate; to degrade; to fall behind
堕つ|おつ|to be removed (e.g. illness, possessing spirit, name on a list)
堕つ|おつ|to fall (into someone's hands); to become someone's possession
堕つ|おつ|to fall; to be defeated; to surrender
理解しあう|りかいしあう|to reach mutual understanding; to understand each other
理解し合う|りかいしあう|to reach mutual understanding; to understand each other
立たす|たたす|to help a person stand; to get someone to their feet; to raise; to rouse
流れ落ちる|ながれおちる|to run off (fluid); to run down; to flow down
旅客船|りょかくせん|passenger ship
旅客船|りょきゃくせん|passenger ship
両社|りょうしゃ|both companies
両方向|りょうほうこう|two directions; both directions; two-way; bidirectional
涙する|なみだする|to shed tears; to bring tears to one's eyes
話し出す|はなしだす|to begin talking; to open up
話しだす|はなしだす|to begin talking; to open up
襷|たすき|cord used to tuck up the sleeves of a kimono
襷|たすき|sash (worn across chest, e.g. by election candidate or relay runners)
襷|たすき|wrapper band on books, CDs, etc.
繦|たすき|cord used to tuck up the sleeves of a kimono
繦|たすき|sash (worn across chest, e.g. by election candidate or relay runners)
繦|たすき|wrapper band on books, CDs, etc.
手繦|たすき|cord used to tuck up the sleeves of a kimono
手繦|たすき|sash (worn across chest, e.g. by election candidate or relay runners)
手繦|たすき|wrapper band on books, CDs, etc.
星界|せいかい|star world (SF term)
踏んだり蹴ったり|ふんだりけったり|it never rains but it pours; misfortunes never come singly
リストッキングフィー||restocking fee
青粉|あおこ|powderized green laver
青粉|あおこ|blue-green algae (esp. Microcystis spp.); cyanobacteria
青粉|あおこ|algal bloom; water bloom
アオコ||powderized green laver
アオコ||blue-green algae (esp. Microcystis spp.); cyanobacteria
アオコ||algal bloom; water bloom
アオコ毒|アオコどく|poisonous algae bloom (often green in color) (colour)
青粉毒|あおこどく|poisonous algae bloom (often green in color) (colour)
絶する|ぜっする|to be unspeakable; to be unimaginable
道州制|どうしゅうせい|administrative reform proposal, involving integration of prefectures into 7 or 9 states
光解離|ひかりかいり|photodissociation; photo-dissociation
霧状|きりじょう|spray; mist (not meteorological)
ヘアカラー||hair dye; hair coloring; hair colouring
ヘア・カラー||hair dye; hair coloring; hair colouring
ぷにぷに||squishy; springy; bouncy
プニプニ||squishy; springy; bouncy
乗り乗り|のりのり|in high spirits
ノリノリ||in high spirits
丸一晩|まるひとばん|whole night; all night
溶存|ようぞん|dissolved
溶存|ようぞん|dissolving; dissolution
溶存酸素|ようぞんさんそ|dissolved oxygen
ちゃう||to do something completely
じゃう||to do something completely
ちゃう||No!
ちゃう||isn't it?; wasn't it?
現地調達|げんちちょうたつ|local procurement; local content; sourcing locally
現調|げんちょう|local procurement; local content; sourcing locally
叫びだす|さけびだす|to let out a cry; to break forth
叫び出す|さけびだす|to let out a cry; to break forth
馬鹿な真似|ばかなまね|tomfoolery; monkey business
怒りっぽい|おこりっぽい|hot-tempered; quick to take offense; quick to take offence; irascible; touchy
現先|げんさき|repurchase (esp. bonds, debt, etc.); buy-back
現先取引|げんさきとりひき|transaction with repurchase agreement
キャッシュバック||cash-back; rebate
仕損ずる|しそんずる|to blunder; to fail; to make a mistake
為損ずる|しそんずる|to blunder; to fail; to make a mistake
し損ずる|しそんずる|to blunder; to fail; to make a mistake
赤|あか|red; crimson; scarlet
赤|あか|red-containing colour (e.g. brown, pink, orange)
赤|あか|Red (i.e. communist)
赤|あか|red light
赤|あか|red ink (i.e. in finance or proof-reading); (in) the red
赤|あか|complete; total; perfect; obvious
赤|あか|copper
紅|あか|red; crimson; scarlet
紅|あか|red-containing colour (e.g. brown, pink, orange)
紅|あか|Red (i.e. communist)
紅|あか|red light
紅|あか|red ink (i.e. in finance or proof-reading); (in) the red
紅|あか|complete; total; perfect; obvious
朱|あか|red; crimson; scarlet
朱|あか|red-containing colour (e.g. brown, pink, orange)
朱|あか|Red (i.e. communist)
朱|あか|red light
朱|あか|red ink (i.e. in finance or proof-reading); (in) the red
朱|あか|complete; total; perfect; obvious
緋|あか|red; crimson; scarlet
緋|あか|red-containing colour (e.g. brown, pink, orange)
緋|あか|Red (i.e. communist)
緋|あか|red light
緋|あか|red ink (i.e. in finance or proof-reading); (in) the red
緋|あか|complete; total; perfect; obvious
に渡って|にわたって|throughout; over a period of ...; over a span of ...
に亘って|にわたって|throughout; over a period of ...; over a span of ...
みみっちい||tightfisted; stingy; miserly; small-minded
来年度|らいねんど|next year; next fiscal year
副長|ふくちょう|deputy head; deputy director; vice chief (of something)
副長|ふくちょう|executive officer (navy)
同区|どうく|same ward
都銀|とぎん|city bank; metropolitan bank
臨調|りんちょう|special council or commission
米兵|べいへい|American military (force)
中高年|ちゅうこうねん|middle and old age
興銀|こうぎん|industrial bank
大師範|だいしはん|master; grandmaster; senior instructor
豚骨|とんこつ|dish made with pork belly and bones, simmered with miso, sake, vegetables, etc. (from Kagoshima)
いつの日にか|いつのひにか|one of these days; someday
いつかそのうち||one of these days; before very long; in the near future
近日中に|きんじつちゅうに|in a few days; in the near future; soon; one of these days
トップコンテンダー||top contender; top competitor
トップ・コンテンダー||top contender; top competitor
経伺|けいし|asking for instructions; consulting and obtaining approval
多筒|たとう|multiple barrels; multi-barrel
多筒式|たとうしき|multiple barrel model; multi-barrel model
単筒|たんとう|single barrel; single-barrelled
丸網機|まるあみき|circular knitting machine
ぺこん||sound of thin metal or plastic surface caving in and springing back
ぺこん||action of quickly bowing or lowering one's head; (with a) bob of the head
ぺこり||sound of thin metal or plastic surface caving in and springing back
ぺこり||action of quickly bowing or lowering one's head; (with a) bob of the head
ぺこりん||sound of thin metal or plastic surface caving in and springing back
ぺこりん||action of quickly bowing or lowering one's head; (with a) bob of the head
インテグラル||integral
王太子|おうたいし|crown prince
王太子妃|おうたいしひ|crown princess
王太妃|おうたいひ|crown princess
王弟|おうてい|royal prince; crown prince's younger brother
月夜見の尊|つくよみのみこと|Moon God; Tsukuyomi no Mikoto; brother of Amaterasu
人間魚雷回天|にんげんぎょらいかいてん|kaiten; human torpedo in WW2
武家諸法度|ぶけしょはっと|law decreeing rules for daimyo during Tokugawa shogunate
壇ノ浦の戦い|だんのうらのたたかい|Battle of Dan-no-ura; final battle of the Genpei War (1185)
壇ノ浦の戦|だんのうらのたたかい|Battle of Dan-no-ura; final battle of the Genpei War (1185)
尋|ひろ|fathom
尋|じん|fathom
読み仮名|よみがな|kana indicating the pronunciation of kanji; furigana
読みがな|よみがな|kana indicating the pronunciation of kanji; furigana
涯|はて|horizon
埒|らち|bounds; limits
埓|らち|bounds; limits
絃|げん|string (of a shamisen, etc.)
絃|げん|stringed instrument
王党派|おうとうは|royalists; royalist faction
立憲王政|りっけんおうせい|constitutional monarchy
工場主|こうじょうしゅ|factory owner
君主制|くんしゅせい|monarchy
君主政|くんしゅせい|monarchy
大天使|だいてんし|archangel
姉君|あねぎみ|elder sister
密|みつ|density; thickness
密|みつ|secrecy
密|みつ|minute; fine
密|みつ|esoteric Buddhism; secret Buddhist teachings
街々|まちまち|streets
街街|まちまち|streets
撃鉄|げきてつ|percussion hammer; firing hammer; cocking piece
バーミリオン||vermillion
ギムナジウム||gymnasium
バシリカ||basilica (church)
オリーブオイル||olive oil
オリーブ・オイル||olive oil
聖|せい|Saint; St.; S.
聖|せい|sacred; holy; pure
焼きごて|やきごて|soldering iron; hot iron
焼きごて|やきごて|brand; mark; stigma
焼き鏝|やきごて|soldering iron; hot iron
焼き鏝|やきごて|brand; mark; stigma
焼鏝|やきごて|soldering iron; hot iron
焼鏝|やきごて|brand; mark; stigma
隊士|たいし|regimental soldier
前王|ぜんのう|former king; late king
前王|ぜんおう|former king; late king
遠征軍|えんせいぐん|expeditionary force
次ぐ身|つぐみ|next in line; heir
軽竜騏兵|けいりゅうきへい|(Royal) light cavalry
伯夫人|はくふじん|countess
王后|おうこう|queen
王后陛下|おうこうへいか|Her Majesty the Queen
四神獣|しじんじゅう|four divine beasts; guardian deities of the four cardinal points
磁気浮上式鉄道|じきふじょうしきてつどう|maglev train
超電導磁気浮上式鉄道|ちょうでんどうじきふじょうしきてつどう|superconducting maglev train
超伝導磁気浮上式鉄道|ちょうでんどうじきふじょうしきてつどう|superconducting maglev train
常電導磁気浮上式鉄道|じょうでんどうじきふじょうしきてつどう|non-superconducting maglev train
温もる|ぬくもる|to get warm; to become warm
のた打ち回る|のたうちまわる|to writhe (in pain)
のたうち回る|のたうちまわる|to writhe (in pain)
蠢かす|うごめかす|to wriggle
いったい何なんですか|いったいなんなんですか|what is it exactly?; what is it precisely
真秀等|まほら|great and splendid land (Yamato word); excellent location; splendid place
防滴|ぼうてき|rainproof; treated against drops of water penetrating
グラビアアイドル||bikini model (usually teenage); pin-up girl
グラビア・アイドル||bikini model (usually teenage); pin-up girl
長尺|ちょうじゃく|long; lengthy
ボンタイル||thick spray-on coating for walls
避止|ひし|abstention
ミルラ||myrrh
多者間|たしゃかん|multilateral; multi-party
他者間|たしゃかん|multilateral; multi-party
累損|るいそん|accumulated loss
累積損失|るいせきそんしつ|accumulated loss
やる気十分|やるきじゅうぶん|sufficiently motivated (to do something)
遣る気十分|やるきじゅうぶん|sufficiently motivated (to do something)
やる気充分|やるきじゅうぶん|sufficiently motivated (to do something)
遣る気充分|やるきじゅうぶん|sufficiently motivated (to do something)
逡巡|しゅんじゅん|hesitation; indecision
食料雑貨店|しょくりょうざっかてん|grocery; grocer's shop
麺麻|めんま|bamboo shoots boiled, sliced, fermented, dried or preserved in salt, then soaked in hot water and sea salt
麺碼|めんま|bamboo shoots boiled, sliced, fermented, dried or preserved in salt, then soaked in hot water and sea salt
麺媽|めんま|bamboo shoots boiled, sliced, fermented, dried or preserved in salt, then soaked in hot water and sea salt
メンマ||bamboo shoots boiled, sliced, fermented, dried or preserved in salt, then soaked in hot water and sea salt
支那竹|しなちく|bamboo shoots boiled, sliced, fermented, dried or preserved in salt, then soaked in hot water and sea salt
支那チク|しなチク|bamboo shoots boiled, sliced, fermented, dried or preserved in salt, then soaked in hot water and sea salt
アポローン||Apollo (Greek and Roman god)
アポロン||Apollo (Greek and Roman god)
アンキロザウルス||ankylosaurus
飯綱|いづな|a type of fox spirit
維吾爾|ういぐる|Uighur (Turkic people and language in China); Uygur
ウイグル||Uighur (Turkic people and language in China); Uygur
ＳＬ|エスエル|steam locomotive
閻魔大王|えんまだいおう|Yama; judge of the afterlife
御庭番衆|おにわばんしゅう|Oniwaban; the Shogunate's "guard of the inner garden"
ガシャポン||capsule-toy vending machine; machine-vended capsule toy
ガチャポン||capsule-toy vending machine; machine-vended capsule toy
関東軍|かんとうぐん|Kwantung Army (Japanese armed forces in Manchukuo)
功夫|カンフー|kung fu
功夫|クンフー|kung fu
カルビ||kalbi; Korean-style marinated barbecued ribs
クラーケン||kraken
鍬形虫|くわがたむし|stag beetle
クワガタムシ||stag beetle
経絡|けいらく|meridian (e.g. in acupuncture); channel; one of the lines connecting vital points in the body
経絡|けいらく|thread of connection; chain of reasoning
五形拳|ごけいけん|Wu Xing Fist; Five Form Fist (Dragon, Snake, Tiger, Crane, Leopard)
五車星|ごしゃせい|Auriga (constellation); the Charioteer
ごわす||(Satsuma) to be
ごわんす||(Satsuma) to be
釵|さい|sai (an Okinawan weapon)
猿拳|さるけん|Monkey Fist; Monkey-Style kung-fu
ざんす||to be
ざます||to be
斬馬刀|ざんばとう|zanbato; a type of long sword
宿星|しゅくせい|star of fate; a zodiac
シュラスコ||Brazilian barbecue
酔拳|すいけん|Drunken Fist; Drunken Boxing
スクイーズ||squeeze; squeezing; pressing; wringing
スクイーズ||anamorphic format (DVD)
生命体|せいめいたい|life-form
泰山北斗|たいざんほくと|a great authority
ティラノサウルス||Tyrannosaurus rex; T. rex
ティラノサウルス||tyrannosaurus
ティラノザウルス||Tyrannosaurus rex; T. rex
ティラノザウルス||tyrannosaurus
ティランノサウルス||Tyrannosaurus rex; T. rex
ティランノサウルス||tyrannosaurus
チラノサウルス||Tyrannosaurus rex; T. rex
チラノサウルス||tyrannosaurus
チラノザウルス||Tyrannosaurus rex; T. rex
チラノザウルス||tyrannosaurus
タイラノサウルス||Tyrannosaurus rex; T. rex
タイラノサウルス||tyrannosaurus
タイラノザウルス||Tyrannosaurus rex; T. rex
タイラノザウルス||tyrannosaurus
天帝星|てんていせい|Polaris (star in the constellation Ursa Minor); Alpha Ursae Minoris; the North Star
汝|なんじ|thou; you
爾|なんじ|thou; you
南斗六星|なんとろくせい|Milk Dipper; southern dipper asterism (star pattern) within Sagittarius
背水の陣|はいすいのじん|fighting with one's back to the wall; having burnt one's bridges; last stand; from strategy of general Han Xin in the Battle of Jingxing
廃刀令|はいとうれい|sword prohibition
ビビンバ||bibimbap (Korean rice dish)
ビビンパ||bibimbap (Korean rice dish)
ピビンパプ||bibimbap (Korean rice dish)
ビビンバップ||bibimbap (Korean rice dish)
ＶＴＲ|ブイティーアール|videotape recorder; VTR
ＶＴＲ|ブイティーアール|video recording; video
ＶＴＲ|ブイティアール|videotape recorder; VTR
ＶＴＲ|ブイティアール|video recording; video
風林火山|ふうりんかざん|as fast as the wind, as quiet as the forest, as daring as fire, and immovable as the mountain
プテラノドン||Pteranodon
プレシオザウルス||Plesiosaurus
ブロントザウルス||Brontosaurus; Apatosaurus
平ちゃら|へっちゃら|cool; calm; composed; unconcerned
平ちゃら|へっちゃら|easy; simple
平ちゃら|へいちゃら|cool; calm; composed; unconcerned
平ちゃら|へいちゃら|easy; simple
